id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/15/value
2816351781,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-18T11:07:14.851Z,2025-05-18T12:19:43Z,,,,5735977277,197,22117,5735977271,130,4,5735977273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735977265,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, 7eo3ceto09y3x4j4gh9m91kvd, 4mroygq2ruxkml5c5j4awwted, 5s647zr10m1nxt4xxpxkpgmw9, 9s3boszvqn3fzsx0r1xswqyqy, cyfvxg9z9aqfsoydhz7sr3qxg, chzhwdk4l54t2kf606bkuiaqd, 5ib5990rsa8y9pf2bu4risjqh, 8hq0so8nzsuzmsffae5nwdwmi, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, p4vij77v1xw1bl68jl4jts0k, 6mworg0saiu0e3pfg8sqopo2c, 7d1yx4r4omxp8q8n5ft2l9fys, 8fle9xgnd83jth2i2d6vh0k16, b1sztx2xd79amygbbvdia24et, 5e2tf15sp7zo70njveqg1b2z9, 2v1tnyzorjyx7pyf3auj73ytw, dwmmr57jqlzrzvkpxr01fnt3o",5735977279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735977269,59,"1, 2, 19, 5, 6, 4, 8, 20, 23, 7, 18, 27, 13, 15, 16, 17, 21, 22, 26, 29",5735977275,194,chzhwdk4l54t2kf606bkuiaqd,5735977267,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816353589,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-18T11:10:17.628Z,2025-05-18T12:21:14Z,,,,5735987377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735987373,59,"15, 17, 19, 3, 4, 32, 43, 7, 11, 10, 33, 30, 5, 8, 9, 16, 22, 26, 45, 47",5735987371,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5735987379,194,99i96gbkvesmh3wspv8rl1ln9,5735987369,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eyqeg6wzhjibkt4zs5dfgzc9h, eqfhoh81e8uj2as95ev3yfnx1, cwkz9uxtres4bockr3spd4hxx, eahcgnvlq1tkswvjuovyzxxw5, 3hz7fbme9sm4xkj5fo3moeluc, 99i96gbkvesmh3wspv8rl1ln9, 3xx0l8c30mjstvxq7z1s0fnit, prvbf3gxwflgzxuvgvb7ls5x, 8ez1awevbmegf1z0kgjtp048a, 7gbgk4q4bxc1h7kcd0u96o9nt, b0rem4wo1p6sumrp6mb77f11w, alxccjq2y6il5yjw108a0axnt, azvjk1schroxi2dq22hwnqr1m, 9yb0exf35kl3avhdnlhv23glx, 6oaqk4pdojnlefa3zubsysmvp, 642iajthdnr0zophv7ys35q1g, b5efwfrqbzdfknrjq3agklvdg, 6utvjndbc0etrvdrul1oajdp0",5735987375,130,11,5735987381,197,25072,5735987383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389407,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-18T12:15:31.210Z,2025-05-19T05:56:17Z,,,,5736179325,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389417,3,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-18T12:15:31.210Z,2025-05-18T12:15:34Z,,,,5736179369,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389453,3,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,50.0,50.0,2025-05-18T12:15:31.211Z,2025-05-18T12:15:34Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,5736179547,212,29.9,5736179551,213,3.16,5736179541,140,21.5,5736179543,141,49.0,5736179555,279,S,5736179539,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389499,4,1,1,0,3,2nnlsjfbcea40t4jeclcbw9lk,1,21.6,48.8,2025-05-18T12:15:34.578Z,2025-05-18T12:15:37Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,5736179785,157,,5736179795,213,6.16,5736179787,56,Center,5736179797,1,,5736179791,141,39.2,5736179793,212,51.8,5736179789,140,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389501,5,61,1,0,6,2nnlsjfbcea40t4jeclcbw9lk,0,71.1,28.0,2025-05-18T12:15:37.747Z,2025-05-18T12:15:42Z,5ib5990rsa8y9pf2bu4risjqh,A. Boudah,,5736179805,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389529,4,5,1,0,7,5mbo4f0vps12dr0fcvjn3wyp5,1,10.6,101.8,2025-05-18T12:15:39.195Z,2025-05-18T12:20:32Z,3xx0l8c30mjstvxq7z1s0fnit,J. Guidetti,,5736179945,56,Back,5736179997,233,6,5736179947,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389537,6,5,1,0,7,2nnlsjfbcea40t4jeclcbw9lk,0,89.4,-1.8,2025-05-18T12:15:39.195Z,2025-05-18T12:20:32Z,5ib5990rsa8y9pf2bu4risjqh,A. Boudah,,5736180019,233,4,5736179965,56,Right,5736179967,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389767,5,1,1,0,27,5mbo4f0vps12dr0fcvjn3wyp5,0,15.9,100.0,2025-05-18T12:15:58.604Z,2025-05-18T12:16:00Z,eyqeg6wzhjibkt4zs5dfgzc9h,D. Beširović,,5736181249,107,,5736181255,141,90.0,5736181259,213,5.61,5736181257,212,12.9,5736181253,140,25.5,5736181251,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389787,7,1,1,0,29,2nnlsjfbcea40t4jeclcbw9lk,0,70.6,15.8,2025-05-18T12:16:00.996Z,2025-05-18T12:16:01Z,1ojl4m8rsuzsjufucdotav4es,H. Skoglund,,5736181335,56,Right,5736181341,212,5.3,5736181343,213,0.17,5736181339,141,17.1,5736181337,140,75.6,5736181333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389801,6,1,1,0,30,5mbo4f0vps12dr0fcvjn3wyp5,1,25.1,89.1,2025-05-18T12:16:01.771Z,2025-05-18T12:27:30Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,5736181429,212,13.8,5736181427,141,88.5,5736181421,3,,5736181423,56,Back,5736181431,213,6.25,5736181425,140,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816396425,78,44,1,0,31,5mbo4f0vps12dr0fcvjn3wyp5,1,39.0,97.7,2025-05-18T12:16:02.581Z,2025-05-18T12:28:56Z,3xx0l8c30mjstvxq7z1s0fnit,J. Guidetti,,5736220961,56,Back,5736220963,285,,5736221451,233,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816396447,118,44,1,0,31,2nnlsjfbcea40t4jeclcbw9lk,0,61.0,2.3,2025-05-18T12:16:02.582Z,2025-05-18T12:28:56Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,5736221433,56,Right,5736221489,233,78,5736221435,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389809,7,1,1,0,31,5mbo4f0vps12dr0fcvjn3wyp5,1,28.9,83.0,2025-05-18T12:16:02.764Z,2025-05-18T12:16:03Z,3xx0l8c30mjstvxq7z1s0fnit,J. Guidetti,,5736181481,213,2.30,5736181475,140,24.0,5736181489,156,,5736181479,212,7.7,5736181477,141,91.5,5736181473,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389843,8,3,1,0,33,5mbo4f0vps12dr0fcvjn3wyp5,1,38.0,96.5,2025-05-18T12:16:05.051Z,2025-05-18T12:29:30Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,5736181661,56,Back,5736181909,233,9,5736181913,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389881,9,45,1,0,33,2nnlsjfbcea40t4jeclcbw9lk,0,62.0,3.5,2025-05-18T12:16:05.051Z,2025-05-18T12:29:30Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,5736181919,233,8,5736181895,56,Right,5736181897,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389849,9,3,1,0,35,5mbo4f0vps12dr0fcvjn3wyp5,0,39.7,97.0,2025-05-18T12:16:06.235Z,2025-05-18T13:16:01Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,5736181695,56,Back,5736181697,286,,5736181915,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816389875,8,7,1,0,35,2nnlsjfbcea40t4jeclcbw9lk,1,60.3,3.0,2025-05-18T12:16:06.236Z,2025-05-18T13:16:01Z,1ojl4m8rsuzsjufucdotav4es,H. Skoglund,,5736181905,233,9,5736181869,285,,5736181863,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
