id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2802935223,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-19T12:07:43.918Z,2025-04-19T13:03:45Z,,,,5662066749,30,"c6xakidja1353l11ws0apj1t5, 5l4q2q8nszqp6k8exo9eyqnrp, 2d1dh619cfgvel4bv7tpfxjo5, agsollzstr45ee0z17tle8d1w, 6legryh9z8lvc4bq4s456m09h, amgtzrnw9lmo9o506a0mhzip6, 60fbyywnjiz6l8n7gmi2mjld5, 21abg7evjtjt6kzisu43jckmi, 1vr7p76nx255ikv7w00s6gnsa, 25ytwmg2c5xcqp5ta12oznm22, 6tqclthbz4m9kqiukixum1mhg, 5uek9dtfn577w1mv9w83oznbp, 1qyvk3eveiz8n40houjgtko9h, 3vezn38wnyk5dtstopwbl0dn8, eyn7izezzer5izneismz7dm8l, 9hybzhhut4ac2xinqk7kzzpwp, 116vh3v105pa9vyw10hpvuwdm, 5kgu7z697mnyizf6pbaf5j5zo, 8zvc2mjym1u4uev3t60rhmvis, 85mzxov9sqq8gec4e0wwt8h78",5662066753,59,"31, 15, 23, 2, 8, 6, 10, 27, 11, 25, 20, 30, 4, 16, 17, 19, 24, 26, 28, 29",5662066763,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662066755,130,13,5662066761,197,25078,5662066759,194,6legryh9z8lvc4bq4s456m09h,5662066757,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662066751,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802936103,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-19T12:08:42.343Z,2025-04-19T12:08:44Z,,,,5662071255,59,"25, 16, 2, 7, 5, 4, 11, 8, 10, 20, 21, 1, 9, 15, 17, 18, 22, 23, 24, 27",5662071261,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662071259,130,13,5662071267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662071251,30,"6pdqmo7vuzy9lt7v6vvmqybu2, 3ihcnb7xmqlsefg10xbdraqqd, 7qsp3fm0wkymgiej6s7jj06p5, a4f6z4alegkvrhm4k864w9lg5, b5kncgqkpiofwduo2snjz74dl, 3n6cx9whi75ybd9h6pv7i3mga, 9ajfpzjfipsub15tats3mo2j9, 9469qatlpe6rdqko8c6ha4out, 2mk86jc25lu7lqklnvntxmtxw, c2pfggtw5hreyomdwogbhjpqs, 59dtrk7ly4lepf7s0gywhu51w, 43tfpd1zge7whbwd5xchiu06i, cxq6miltbekjrfil30uuo0tn8, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, bldfwo1qulwwguw05wrv0setw, 46ups8z9vhv73u0op2ld07wus, 10dorj1evvavs9abofp4ix4b8, 8e8v25kjfqsohkczqxj5xsmj8",5662071265,197,10418,5662071253,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5662071263,194,9469qatlpe6rdqko8c6ha4out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975495,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-19T13:00:50.080Z,2025-04-19T13:00:50Z,,,,5662277443,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975505,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-19T13:00:50.080Z,2025-04-19T13:00:52Z,,,,5662277495,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975545,3,1,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,49.9,49.9,2025-04-19T13:00:50.748Z,2025-04-19T13:00:54Z,9469qatlpe6rdqko8c6ha4out,N. Girmai Netabay,,5662277707,140,34.4,5662277711,212,18.6,5662277713,213,3.65,5662277709,141,36.6,5662277705,56,Back,5662277715,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975587,4,1,1,0,4,46yo78zak2j7kaxc5ak1fnm60,1,36.7,40.3,2025-04-19T13:00:54.097Z,2025-04-19T13:00:58Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,5662277917,141,85.9,5662277911,157,,5662277923,1,,5662277919,212,52.6,5662277915,140,77.2,5662277913,56,Left,5662277921,213,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975575,3,43,1,0,5,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-19T13:00:56.005Z,2025-04-19T13:01:01Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,5662277851,56,Back,5662277853,285,0,5662278119,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975603,5,1,1,0,7,46yo78zak2j7kaxc5ak1fnm60,1,77.6,86.6,2025-04-19T13:00:58.066Z,2025-04-19T13:00:59Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,5662277999,168,,5662278001,56,Left,5662278007,212,5.3,5662277997,3,,5662278005,141,87.7,5662278009,213,0.14,5662278003,140,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975607,6,61,1,0,9,46yo78zak2j7kaxc5ak1fnm60,0,83.1,88.0,2025-04-19T13:00:59.448Z,2025-04-19T13:00:59Z,59dtrk7ly4lepf7s0gywhu51w,E. Pihlström,,5662278017,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802978177,39,1,1,0,10,1939bnru25svvgv15k2c7tw2y,1,23.1,8.2,2025-04-19T13:01:00.438Z,2025-04-19T13:05:20Z,5l4q2q8nszqp6k8exo9eyqnrp,S. Hedlund,,5662294527,140,8.7,5662294533,213,3.11,5662294525,56,Back,5662294529,141,9.0,5662294531,212,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975639,4,1,1,0,12,1939bnru25svvgv15k2c7tw2y,0,14.2,7.3,2025-04-19T13:01:02.789Z,2025-04-19T13:01:03Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,5662278203,141,16.7,5662278199,56,Back,5662278205,212,8.1,5662278227,233,7,5662278231,286,,5662278207,213,2.23,5662278201,140,9.5,5662278225,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975633,7,74,1,0,12,46yo78zak2j7kaxc5ak1fnm60,1,83.8,87.1,2025-04-19T13:01:02.790Z,2025-04-19T13:01:04Z,2mk86jc25lu7lqklnvntxmtxw,M. Rafferty,,5662278171,285,,5662278257,233,4,5662278169,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975671,5,5,1,0,14,1939bnru25svvgv15k2c7tw2y,1,-0.8,18.4,2025-04-19T13:01:04.857Z,2025-04-19T13:53:20Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,5662278341,346,,5662278361,233,8,5662278339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975661,8,5,1,0,14,46yo78zak2j7kaxc5ak1fnm60,0,100.8,81.6,2025-04-19T13:01:04.857Z,2025-04-19T13:01:08Z,2mk86jc25lu7lqklnvntxmtxw,M. Rafferty,,5662278301,56,Left,5662278375,233,5,5662278303,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
