id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2810121165,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-04T11:05:22.966Z,2025-05-04T11:05:23Z,,,,,5701572555,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5701572561,130,4,5701572557,59,"45, 12, 27, 8, 5, 3, 20, 13, 11, 18, 7, 35, 4, 9, 10, 14, 19, 29, 31, 32",5701572575,197,5157,5701572565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701572569,194,23p0dby12ymf55wwi0xz2fnx1,5701572579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701572553,30,"d5jgrd0clyl4rskqu6j8hcwkp, csd7qb9u0a9am2ltse9w31uz8, ab3og2sas7q4czd31wbdbnro, 6n7sw8r0fhcoa8hfuxrtm96tx, 5jos8v6hr086q8at9iuyhwded, 23p0dby12ymf55wwi0xz2fnx1, dkc69jkzi4e9ysgmwldz249as, bhaqw4112j43c753dlxhy61ud, 1utyorvutnk14hp6dr079t1m2, bv57jiquzqjnzuxzw5r663aad, 370kkwnidcltqyooh51z6uzqi, 26dlb4txygf7qzukjikr23mxh, ebhyx7fm13sy9qjf4vylzg89h, 3bepi58wwope38a478y7jwlxw, dvl8q7nwvz3o6d73220d1ag2d, 6051gs5j7d6zss35h2twoqnd, 9jszz4regvdvl0v4i8s41jbah, a3jetivxcnpp4z36nhboz5ysq, 8awq0zw9oyj9gy3ruxv105jis, 2zjl0xu23wp9j6ciq25irsq38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810121481,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-04T11:05:51.980Z,2025-05-05T03:07:01Z,,,,,5701574165,59,"15, 17, 19, 3, 4, 16, 8, 33, 11, 10, 7, 30, 5, 9, 20, 22, 26, 43, 47, 32",5701574175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701574167,130,12,5701574169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701574163,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5701574173,197,22091,5701574171,194,99i96gbkvesmh3wspv8rl1ln9,5701574161,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eyqeg6wzhjibkt4zs5dfgzc9h, eqfhoh81e8uj2as95ev3yfnx1, cwkz9uxtres4bockr3spd4hxx, 9yb0exf35kl3avhdnlhv23glx, alxccjq2y6il5yjw108a0axnt, 8ez1awevbmegf1z0kgjtp048a, 3xx0l8c30mjstvxq7z1s0fnit, prvbf3gxwflgzxuvgvb7ls5x, 99i96gbkvesmh3wspv8rl1ln9, 7gbgk4q4bxc1h7kcd0u96o9nt, b0rem4wo1p6sumrp6mb77f11w, azvjk1schroxi2dq22hwnqr1m, 5rbr8z5frgawr2ykcmcxbbluy, 6oaqk4pdojnlefa3zubsysmvp, 642iajthdnr0zophv7ys35q1g, 3hz7fbme9sm4xkj5fo3moeluc, 6utvjndbc0etrvdrul1oajdp0, eahcgnvlq1tkswvjuovyzxxw5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155917,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-04T12:00:26.850Z,2025-05-04T12:00:29Z,,,,,5701752481,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155909,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-04T12:00:26.850Z,2025-05-04T12:00:27Z,,,,,5701752443,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155921,3,1,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,49.9,49.4,2025-05-04T12:00:26.851Z,2025-05-04T12:00:33Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5701752541,212,22.3,5701752539,141,40.0,5701752537,140,29.6,5701752535,56,Back,5701752543,213,3.43,5701752545,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155977,4,1,1,0,6,5mbo4f0vps12dr0fcvjn3wyp5,0,36.5,35.1,2025-05-04T12:00:33.305Z,2025-05-04T12:00:37Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5701752835,212,37.7,5701752839,1,,5701752837,213,6.07,5701752827,157,,5701752833,141,23.4,5701752829,56,Center,5701752831,140,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155981,3,44,1,0,9,czkf5t3ai00ghwbga03i5aqxw,1,28.3,80.1,2025-05-04T12:00:36.339Z,2025-05-04T12:00:38Z,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,5701752847,56,Back,5701752849,285,,5701752951,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155985,5,44,1,0,9,5mbo4f0vps12dr0fcvjn3wyp5,0,71.7,19.9,2025-05-04T12:00:36.340Z,2025-05-04T12:02:27Z,alxccjq2y6il5yjw108a0axnt,J. Hove,,,5701752969,233,3,5701752877,56,Right,5701752879,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155993,4,12,1,0,9,czkf5t3ai00ghwbga03i5aqxw,1,22.5,91.5,2025-05-04T12:00:36.563Z,2025-05-04T12:00:39Z,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,5701752913,141,96.6,5701752909,56,Back,5701752911,140,33.6,5701752917,213,0.29,5701752929,15,,5701752915,212,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156057,6,1,1,0,11,5mbo4f0vps12dr0fcvjn3wyp5,0,59.2,15.2,2025-05-04T12:00:38.009Z,2025-05-04T12:06:09Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5701753213,140,70.0,5701753211,56,Right,5701753209,3,,5701753215,141,14.1,5701753219,213,6.22,5701753217,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
