id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId
2799773075,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-12T14:36:09.512Z,2025-04-12T15:31:24Z,,,,,5644571363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5644571367,197,25078,5644571359,59,"31, 6, 23, 27, 8, 2, 15, 10, 11, 25, 20, 30, 4, 16, 17, 19, 24, 26, 28, 29",5644571361,130,8,5644571355,30,"c6xakidja1353l11ws0apj1t5, amgtzrnw9lmo9o506a0mhzip6, 2d1dh619cfgvel4bv7tpfxjo5, 21abg7evjtjt6kzisu43jckmi, 6legryh9z8lvc4bq4s456m09h, agsollzstr45ee0z17tle8d1w, 5l4q2q8nszqp6k8exo9eyqnrp, 60fbyywnjiz6l8n7gmi2mjld5, 1vr7p76nx255ikv7w00s6gnsa, 25ytwmg2c5xcqp5ta12oznm22, 6tqclthbz4m9kqiukixum1mhg, 5uek9dtfn577w1mv9w83oznbp, 1qyvk3eveiz8n40houjgtko9h, 3vezn38wnyk5dtstopwbl0dn8, eyn7izezzer5izneismz7dm8l, 9hybzhhut4ac2xinqk7kzzpwp, 116vh3v105pa9vyw10hpvuwdm, 5kgu7z697mnyizf6pbaf5j5zo, 8zvc2mjym1u4uev3t60rhmvis, 85mzxov9sqq8gec4e0wwt8h78",5644571357,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5644571369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5644571365,194,6legryh9z8lvc4bq4s456m09h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799778463,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-04-12T14:38:14.536Z,2025-04-12T15:42:08Z,,,,,5644599447,197,24931,5644599443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5644599441,130,4,5644599437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5644599435,30,"3qlfkqrawehngfhe1zmy1a61g, 7a08ravzlia5dhw5dm1q707pw, 3hn1o03lxsjzju3uorl6rnpxw, 9d08simhpio6vi217mqtro6ad, 4er21aspnwqojlenu6lhc2b4l, bfnqlxk0wiv1uy0ptwwqhk9hw, ekiy8mogxcfn05kwouydbdwr8, 5jv0xmo83g4lbzo8nodqbh46i, 8ntq70sdmvbmmvchvu5jd6ndh, 2k1v6526ielemu1w3rayxdkkq, a2ggooyqi2s1berhxtm75j5qt, b8022a60ucgg0syjuj2m85atw, 2lafgzvhv0er31i6c2nb6xqfo, sxahqo62pj3wu3yfeah4fiay, 3kgwkv2bjw5h244h675kmsclx, ay6mgdylpu08d9pydxejbd562, 3yr67mc539f140lpoowkrtgyc, 3v40cf58jryvu4l4cxu4w9ht6, 7e058o66inex7g90wrwaeauw9, 4xkiduv00nq24op9s8nuxbqxg",5644599449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5644599439,59,"40, 37, 14, 9, 19, 2, 20, 21, 5, 15, 10, 30, 3, 4, 7, 8, 18, 22, 24, 28",5644599445,194,8ntq70sdmvbmmvchvu5jd6ndh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799877347,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-12T15:30:47.465Z,2025-04-12T15:30:48Z,,,,,5645112561,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799877329,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-04-12T15:30:47.465Z,2025-04-12T15:30:47Z,,,,,5645112487,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799877435,3,1,1,0,0,7hlumphk42363z3i2nry2wrzj,1,49.8,50.3,2025-04-12T15:30:47.466Z,2025-04-12T15:46:49Z,2k1v6526ielemu1w3rayxdkkq,S. Jørgensen,,,5645112925,279,S,5645112919,141,65.1,5645112909,56,Back,5645112921,212,24.3,5645112913,140,28.7,5645112923,213,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799877579,4,1,1,0,3,7hlumphk42363z3i2nry2wrzj,1,31.2,64.3,2025-04-12T15:30:50.890Z,2025-04-12T15:30:55Z,bfnqlxk0wiv1uy0ptwwqhk9hw,K. Peprah Oppong,,,5645113661,1,,5645113659,213,5.65,5645113647,56,Center,5645113645,155,,5645113653,141,21.8,5645113649,140,68.8,5645113657,212,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799877599,5,44,1,0,5,7hlumphk42363z3i2nry2wrzj,1,63.9,18.6,2025-04-12T15:30:53.430Z,2025-04-12T17:42:06Z,8ntq70sdmvbmmvchvu5jd6ndh,C. Nyman,,,5645113717,56,Right,5645113789,233,3,5645113719,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799877529,3,44,1,0,5,1939bnru25svvgv15k2c7tw2y,0,36.1,81.4,2025-04-12T15:30:53.431Z,2025-04-12T17:42:07Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5645113411,56,Back,5645113879,233,5,5645113413,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799877649,6,1,1,0,6,7hlumphk42363z3i2nry2wrzj,0,68.9,21.8,2025-04-12T15:30:54.394Z,2025-04-12T15:42:08Z,8ntq70sdmvbmmvchvu5jd6ndh,C. Nyman,,,5645114015,168,,5645114019,140,84.1,5645114021,141,16.1,5645114017,56,Right,5645114023,212,16.4,5645114013,3,,5645114027,213,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799877641,4,12,1,0,9,1939bnru25svvgv15k2c7tw2y,1,26.8,85.7,2025-04-12T15:30:57.004Z,2025-04-12T15:30:58Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5645113951,140,28.9,5645113957,213,1.37,5645113953,141,100.0,5645113949,56,Back,5645114171,167,,5645113955,212,10.9,5645114087,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
