id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2820651139,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-06-01T11:07:55.113Z,2025-06-01T12:00:22Z,,,,5759935949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759935947,130,13,5759935941,30,"87x84p759ef1d1qyffeghbp3p, atxo9oz3czimyk1t4xigfrkrt, 9bmo8w8t7slkzbb5owilyoqju, 2s9ra3bnhkcid5uz7abhdhr6d, bdw87kq6mx8rdkkpb9w5nar1m, b248ue8bteo0awvp627dokd0, edzj7i715cpyuuumcttajkc0l, bpzni5riygngh99pfbcu8f78q, 8uzx6yb66zjn0ke2rwqlg7wus, bzm752bvefjt54nj6ruf9tbtg, eikthetfmpxyeqsisa7vs3hsl, 2trecv075gi4o78mfuyh4xiol, 9uumw2ntt4397bee2p3m2qdt6, c36ffo382u9flu5foebt4di39, e9q5sweea5ymhqqwh5tucuzth, eacqkvqbdrk7h93nzhwk0jff9, c3jxdm8s5meuohhv6hthhdy0a, 2iaisohuaaw7ioyox0d9zuvl6, l7librn1vzdub2poztkj3fv8, d4nz5uqb2xsmza0ui0l20sgk",5759935955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759935953,197,28383,5759935951,194,edzj7i715cpyuuumcttajkc0l,5759935945,59,"12, 11, 15, 21, 4, 2, 6, 25, 9, 29, 13, 1, 3, 5, 8, 14, 18, 20, 26, 28",5759935943,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820651487,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-06-01T11:11:23.242Z,2025-06-01T11:56:42Z,,,,5759937979,59,"45, 18, 27, 20, 4, 3, 32, 7, 25, 29, 19, 35, 5, 8, 10, 11, 12, 14, 34",5759937987,197,26350,5759937981,130,4,5759937977,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5759937989,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759937975,30,"d5jgrd0clyl4rskqu6j8hcwkp, bv57jiquzqjnzuxzw5r663aad, ab3og2sas7q4czd31wbdbnro, dkc69jkzi4e9ysgmwldz249as, ebhyx7fm13sy9qjf4vylzg89h, 23p0dby12ymf55wwi0xz2fnx1, 2zjl0xu23wp9j6ciq25irsq38, 370kkwnidcltqyooh51z6uzqi, 820rgu4x8w0jmh6v9d6udhwyc, a3jetivxcnpp4z36nhboz5ysq, 9jszz4regvdvl0v4i8s41jbah, 26dlb4txygf7qzukjikr23mxh, 5jos8v6hr086q8at9iuyhwded, 6n7sw8r0fhcoa8hfuxrtm96tx, dvl8q7nwvz3o6d73220d1ag2d, 1utyorvutnk14hp6dr079t1m2, csd7qb9u0a9am2ltse9w31uz8, 6051gs5j7d6zss35h2twoqnd, aklu4afzffv8ggxwn5wm5wphw",5759937983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5759937985,194,ebhyx7fm13sy9qjf4vylzg89h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659287,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-06-01T12:00:41.321Z,2025-06-01T12:00:43Z,,,,5759982611,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659283,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-06-01T12:00:41.321Z,2025-06-01T12:00:41Z,,,,5759982605,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659299,3,1,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,49.9,49.9,2025-06-01T12:00:41.322Z,2025-06-01T12:00:44Z,820rgu4x8w0jmh6v9d6udhwyc,K. Jawla,,5759982689,141,45.5,5759982687,140,27.7,5759982695,279,S,5759982693,213,3.27,5759982691,212,23.5,5759982685,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659325,4,1,1,0,2,czkf5t3ai00ghwbga03i5aqxw,1,26.8,44.5,2025-06-01T12:00:44.156Z,2025-06-01T12:00:48Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,5759982799,157,,5759982805,141,19.5,5759982803,140,65.4,5759982811,1,,5759982801,56,Right,5759982809,213,5.89,5759982807,212,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659329,5,44,1,0,5,czkf5t3ai00ghwbga03i5aqxw,1,60.8,23.6,2025-06-01T12:00:46.567Z,2025-06-01T14:08:27Z,2zjl0xu23wp9j6ciq25irsq38,I. Alemayehu,,5759982827,286,,5759982845,233,3,5759982825,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659319,3,44,1,0,5,6i936isoyj6d0uuxdj537uc97,0,39.2,76.4,2025-06-01T12:00:46.568Z,2025-06-01T14:08:28Z,eikthetfmpxyeqsisa7vs3hsl,G. Eyjólfsson,,5759982781,56,Back,5759982853,233,5,5759982783,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659339,6,1,1,0,5,czkf5t3ai00ghwbga03i5aqxw,1,63.8,21.6,2025-06-01T12:00:47.125Z,2025-06-01T12:10:16Z,2zjl0xu23wp9j6ciq25irsq38,I. Alemayehu,,5759982869,141,22.4,5759982867,140,73.0,5759982861,3,,5759982871,212,9.7,5759982865,56,Center,5759982863,168,,5759982873,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820662283,119,1,1,0,7,czkf5t3ai00ghwbga03i5aqxw,0,75.1,23.5,2025-06-01T12:00:49.088Z,2025-06-01T12:09:38Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,5759999887,213,1.28,5759999879,56,Center,5759999881,140,77.4,5759999877,3,,5759999883,141,35.4,5759999885,212,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
