id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2805162737,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-23T16:05:45.434Z,2025-04-23T16:05:45Z,,,,,5674233191,194,chzhwdk4l54t2kf606bkuiaqd,5674233179,59,"1, 2, 19, 5, 4, 6, 8, 20, 9, 7, 18, 27, 13, 16, 17, 21, 23, 26, 29, 34",5674233187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674233177,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5674233195,197,22116,5674233173,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, 7eo3ceto09y3x4j4gh9m91kvd, 4mroygq2ruxkml5c5j4awwted, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, cyfvxg9z9aqfsoydhz7sr3qxg, chzhwdk4l54t2kf606bkuiaqd, au1cbzehllmo4yyt6s0d16rkk, 8hq0so8nzsuzmsffae5nwdwmi, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, p4vij77v1xw1bl68jl4jts0k, 7d1yx4r4omxp8q8n5ft2l9fys, 8fle9xgnd83jth2i2d6vh0k16, b1sztx2xd79amygbbvdia24et, 5ib5990rsa8y9pf2bu4risjqh, 2v1tnyzorjyx7pyf3auj73ytw, dwmmr57jqlzrzvkpxr01fnt3o, cp6wq9yycl773piudi3we5b84",5674233183,130,4,5674233199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805162905,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-23T16:06:11.208Z,2025-04-23T17:04:50Z,,,,,5674234149,130,4,5674234157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674234145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5674234143,30,"cj7aybqox4kzoicnzea7b64t1, 4yg4i2wvdz87rrxpn0rqn2xg5, carpl05zgalgbsd6gnk3akc89, azcjwvw9799e6bawnlcb0lt2i, as6coaak724tr7igyz1wwlfc9, 7si8brq1p8o6fvw93hq9v9bmc, 1pkp4fqrgj87mk6x7lhryt6vo, d58ji96mcnebbci6skc46x9uc, 53dvtfms2uxd500y87x5jf2eh, 7hugqbtot3c8fmxtfqld9l15g, dvi2tleym136aqpvwfi4lustm, 7iv79dtpsplpjl1jxod3swmlm, lh30ckelpek3u7jbzotxuvze, 90eoelhr2oxpg3ejr2whwwu6t, 62w849kqrnjm00xr12suencgl, 4az5n8aekw6ipzu7fagqhkys4, b9tsqyrv0xp0tt5nzwrmy9gb9, 8ydeghsg8bdyovqjnr56hz8x5, 329r6jq5pn0m174v3berarh90, 27w9691m35wlxy4ujti7sppn8",5674234147,59,"1, 17, 25, 23, 19, 35, 37, 7, 20, 38, 22, 33, 2, 9, 10, 11, 16, 29, 32, 40",5674234155,197,25087,5674234153,194,azcjwvw9799e6bawnlcb0lt2i,5674234151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190015,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-23T17:00:36.681Z,2025-04-23T17:00:42Z,,,,,5674389259,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190001,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-23T17:00:36.681Z,2025-04-25T12:00:10Z,,,,,5674389189,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190027,3,1,1,0,0,93ohqui2qgqm8408viwmm1ken,1,49.8,50.0,2025-04-23T17:00:37.120Z,2025-04-23T17:00:40Z,7hugqbtot3c8fmxtfqld9l15g,H. Bolin,,,5674389307,212,14.6,5674389313,279,S,5674389301,56,Back,5674389303,140,36.7,5674389305,141,57.0,5674389309,213,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190029,4,1,1,0,1,93ohqui2qgqm8408viwmm1ken,0,37.4,55.5,2025-04-23T17:00:37.799Z,2025-04-23T17:07:48Z,d58ji96mcnebbci6skc46x9uc,O. Rosengren,,,5674389323,56,Right,5674389321,157,,5674389331,213,5.65,5674389325,140,76.2,5674389333,1,,5674389329,212,50.4,5674389327,141,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805194457,79,44,1,0,4,2nnlsjfbcea40t4jeclcbw9lk,1,27.2,90.6,2025-04-23T17:00:41.139Z,2025-04-23T18:00:53Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5674416593,285,,5674416591,56,Back,5674416635,233,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805194425,60,44,1,0,4,93ohqui2qgqm8408viwmm1ken,0,72.8,9.4,2025-04-23T17:00:41.140Z,2025-04-23T18:00:53Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5674415667,56,Right,5674415669,286,,5674416667,233,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190065,3,1,1,0,4,2nnlsjfbcea40t4jeclcbw9lk,0,37.2,85.1,2025-04-23T17:00:41.619Z,2025-04-23T17:07:55Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5674389527,140,57.1,5674389529,141,90.8,5674389531,212,21.3,5674389525,56,Left,5674389533,213,0.18,5674389523,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190089,5,1,1,0,9,93ohqui2qgqm8408viwmm1ken,1,49.9,11.0,2025-04-23T17:00:46.425Z,2025-04-23T17:00:49Z,azcjwvw9799e6bawnlcb0lt2i,L. Berg Johnsen,,,5674389689,1,,5674389685,212,29.3,5674389681,140,75.9,5674389673,157,,5674389683,141,26.7,5674389687,213,0.37,5674389677,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
