id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2819414291,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-26T16:07:53.897Z,2025-05-26T17:22:35Z,,,,,5752947547,30,"3qlfkqrawehngfhe1zmy1a61g, 7a08ravzlia5dhw5dm1q707pw, 2lafgzvhv0er31i6c2nb6xqfo, ekiy8mogxcfn05kwouydbdwr8, 4er21aspnwqojlenu6lhc2b4l, bfnqlxk0wiv1uy0ptwwqhk9hw, a2ggooyqi2s1berhxtm75j5qt, 3kgwkv2bjw5h244h675kmsclx, 2k1v6526ielemu1w3rayxdkkq, 9d08simhpio6vi217mqtro6ad, ay6mgdylpu08d9pydxejbd562, b8022a60ucgg0syjuj2m85atw, sxahqo62pj3wu3yfeah4fiay, ez7xc7vakt4fmabtp61w72yju, 3hn1o03lxsjzju3uorl6rnpxw, 5jv0xmo83g4lbzo8nodqbh46i, 3v40cf58jryvu4l4cxu4w9ht6, 7e058o66inex7g90wrwaeauw9, 34e59kt77fthmmbc8sp9mya96, 4xkiduv00nq24op9s8nuxbqxg",5752947549,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5752947555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5752947561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5752947553,130,8,5752947557,194,9d08simhpio6vi217mqtro6ad,5752947551,59,"40, 37, 3, 20, 19, 2, 10, 7, 15, 9, 8, 30, 4, 11, 14, 21, 22, 24, 25, 28",5752947559,197,8325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819417433,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-26T16:21:23.594Z,2025-05-26T17:03:13Z,,,,,5752965365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5752965371,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5752965367,194,czfitwajt0sayki90i3fk5n85,5752965361,59,"1, 17, 11, 24, 4, 14, 22, 10, 18, 6, 19, 35, 15, 16, 25, 26, 27, 39",5752965363,130,17,5752965357,30,"4cytj4f9uirlo8vb8mcsv6v6y, 9hg51o20uf6u2bjgshjax9soa, 9dfl060r1skgp74piehh2uvhl, 5h6xr50d54zcxnktz7q58oa1h, 507n9mr51v21q8isz9ll3m6eh, 23iwje6cgkgc05szzf2l5z97u, czfitwajt0sayki90i3fk5n85, drzdo6ouxi5n4jafhfajpor85, 15mg49mqn215ce4ojukev0o2x, bbrdybdlcobf8cc9epxzeledw, f0iow2x82mfh6x1olrrjo5puc, bomd9wl2cnqwck46ctwjqju1h, bqravo7lm21jq5m4cz8uhx638, dgxqp83lhb316dec1rpi5op62, b7bmxh0q5aa8646sxmvy0etqs, 43anppywo7v1ydan12sq816ac, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw",5752965359,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5752965369,197,7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819425979,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-26T17:00:30.448Z,2025-05-26T17:00:33Z,,,,,5753015799,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819425973,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-26T17:00:30.448Z,2025-05-26T17:00:30Z,,,,,5753015763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819425995,3,1,1,0,0,spvvjmk37iid7hsky9g3nce7,1,50.1,50.3,2025-05-26T17:00:31.081Z,2025-05-26T17:00:34Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5753015869,56,Back,5753015879,279,S,5753015877,213,3.13,5753015871,140,25.3,5753015873,141,50.7,5753015875,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426009,4,1,1,0,3,spvvjmk37iid7hsky9g3nce7,0,25.2,50.7,2025-05-26T17:00:34.109Z,2025-05-26T17:14:52Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5753015965,1,,5753015955,141,4.1,5753015945,157,,5753015961,213,5.66,5753015957,212,54.6,5753015947,56,Right,5753015951,140,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426017,3,44,1,0,5,7hlumphk42363z3i2nry2wrzj,1,32.0,94.2,2025-05-26T17:00:35.937Z,2025-05-26T17:37:53Z,2lafgzvhv0er31i6c2nb6xqfo,M. Baggesen,,,5753016001,233,5,5753015995,56,Back,5753015997,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426013,5,44,1,0,5,spvvjmk37iid7hsky9g3nce7,0,68.0,5.8,2025-05-26T17:00:35.938Z,2025-05-26T17:37:53Z,9hg51o20uf6u2bjgshjax9soa,E. Stroud,,,5753015977,286,,5753015975,56,Right,5753016005,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426025,4,1,1,0,7,7hlumphk42363z3i2nry2wrzj,1,29.8,94.4,2025-05-26T17:00:37.968Z,2025-05-26T17:00:40Z,2lafgzvhv0er31i6c2nb6xqfo,M. Baggesen,,,5753016059,213,0.20,5753016053,140,36.4,5753016051,56,Back,5753016057,212,7.1,5753016049,3,,5753016055,141,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426029,5,1,1,0,9,7hlumphk42363z3i2nry2wrzj,0,36.4,96.5,2025-05-26T17:00:40.080Z,2025-05-26T17:16:29Z,ay6mgdylpu08d9pydxejbd562,Í. Sigurgeirsson,,,5753016077,56,Left,5753016085,213,0.00,5753016081,141,96.6,5753016079,140,59.6,5753016083,212,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
