id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2800696253,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-04-13T13:41:35.621Z,2025-04-13T14:36:03Z,,,,,5649529243,30,"dsw7clrtv93nkdnppqhfm1n9, bdgqvvkpadpthmlm40wa6dcyx, 77767sxrg8n7kfm58qf1wq32s, di0z3rihhkz11o1ccqo2b654a, 4ly7t29cozmc49wu7avkvv3yt, 10lj2qekb1e4c8ful68b1pazt, 451liwl34giar3r8y7b295w16, 3xrja99d4b0jewfjzelq4rspg, 9mvwnz2zlvx54nggvvw3l9ega, 21ht7s882is4sisnr8dpf61yi, 546vmchsyl1wt10pr13r5oup6, 6f0gn0s326avqwshii5mvfz10, 5k4gsy5f7ius93bbks9wbvqei, dcewpavwmjbplo5fahrzfxega, 6lykrd3hzedl7xljr167gow5x, 9jqz6yi90pj9dlvgktdwrsf10, cdlngd5oc988etq8dp8bh4s7p, dy1lhnql8cpw307wcxw3brndg, rxypx04u4hxdd5dfwoazp2xg, es8z1xh8vhhtrjs8jrfbrqrro",5649529255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649529257,194,3xrja99d4b0jewfjzelq4rspg,5649529261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649529245,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5649529253,130,2,5649529259,197,5798,5649529249,59,"1, 3, 33, 14, 5, 4, 17, 18, 9, 7, 10, 34, 8, 13, 15, 20, 21, 24, 29, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800702335,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-04-13T13:46:14.365Z,2025-04-13T14:49:31Z,,,,,5649561721,130,8,5649561725,194,8unnvgvft6knxupbp9oxh621h,5649561727,197,5165,5649561719,59,"25, 21, 6, 5, 2, 3, 19, 24, 23, 10, 7, 40, 17, 18, 20, 32, 33, 34, 39, 77",5649561723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649561715,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 2lyhi7j3id7emsh54ehdva3ca, 17zz0x6tm20e9yfh4q5ehaf9x, 253za05jf3mmaqkjndm10d2lm, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, c9qk8n9d4130okk9go1brzskq, 9niqy9wbsy6b03fa5iyx22gic, aw75jdzi3u012jkwj7t0eln2s, 7qgiqoaaarr6c2bs4yffqwju2, 89ow55pri5urh5lk857koiihg, av9lz5umeimwlq7v4q4d7twr8, 4yzhx4io71t5wxd461rf2s1sk, 7srm9q1vlw55g0p0tugtlr3ai, bpu2cfexsy3lcf7avl9im6gb8, c7uvrj36f6lhfurysy774ku8k, 47ymu9whey6w61nk2nx7gpv6c, 32xfhqnf7sa2pyyttqac9u385, 4smb0sorl9dms1k26si6tbqzu",5649561717,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5649561731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750573,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-04-13T14:30:49.160Z,2025-04-13T14:30:52Z,,,,,5649826531,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750541,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-04-13T14:30:49.160Z,2025-04-13T14:30:49Z,,,,,5649826323,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750615,3,1,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,50.0,50.0,2025-04-13T14:30:49.161Z,2025-04-13T14:30:52Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5649826797,213,3.54,5649826795,212,14.0,5649826789,56,Back,5649826793,141,41.9,5649826791,140,37.7,5649826799,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750661,4,1,1,0,2,ac8jow4mdkvnsv5s0och4qqm,1,38.7,41.5,2025-04-13T14:30:51.810Z,2025-04-13T14:30:54Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5649827059,212,21.2,5649827055,140,23.5,5649827057,141,62.0,5649827061,213,2.42,5649827053,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750679,5,1,1,0,5,ac8jow4mdkvnsv5s0och4qqm,1,24.9,63.6,2025-04-13T14:30:54.314Z,2025-04-13T14:30:55Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5649827155,140,30.2,5649827159,212,10.6,5649827157,141,76.9,5649827161,213,1.02,5649827153,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750747,6,1,1,0,5,ac8jow4mdkvnsv5s0och4qqm,1,30.2,76.9,2025-04-13T14:30:54.953Z,2025-04-13T14:30:58Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,,5649827563,140,30.2,5649827565,141,95.9,5649827561,56,Back,5649827569,213,1.57,5649827567,212,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750767,7,1,1,0,9,ac8jow4mdkvnsv5s0och4qqm,0,30.2,95.9,2025-04-13T14:30:58.706Z,2025-04-13T14:31:01Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,,5649827641,212,7.8,5649827637,140,36.7,5649827639,141,100.0,5649827635,56,Back,5649827643,213,0.49,5649827633,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750753,3,5,1,0,9,4jg5vd59i24chckyua90dr1lg,1,63.1,-1.6,2025-04-13T14:30:58.744Z,2025-04-13T15:18:00Z,451liwl34giar3r8y7b295w16,M. Lindberg,,,5649827585,347,,5649827717,233,8,5649827583,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
