id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2812611785,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-05-10T14:50:59.641Z,2025-05-10T14:51:00Z,,,,,5715378045,59,"1, 13, 21, 10, 15, 4, 7, 17, 9, 14, 19, 34, 3, 5, 8, 18, 29, 33, 36, 24",5715378053,197,5798,5715378051,194,dsw7clrtv93nkdnppqhfm1n9,5715378055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5715378041,30,"dsw7clrtv93nkdnppqhfm1n9, dcewpavwmjbplo5fahrzfxega, cdlngd5oc988etq8dp8bh4s7p, 546vmchsyl1wt10pr13r5oup6, 6lykrd3hzedl7xljr167gow5x, 10lj2qekb1e4c8ful68b1pazt, 21ht7s882is4sisnr8dpf61yi, 451liwl34giar3r8y7b295w16, 9mvwnz2zlvx54nggvvw3l9ega, di0z3rihhkz11o1ccqo2b654a, 2cvq4wyrr0xtelibpirkxqpsk, 6f0gn0s326avqwshii5mvfz10, bdgqvvkpadpthmlm40wa6dcyx, 4ly7t29cozmc49wu7avkvv3yt, 5k4gsy5f7ius93bbks9wbvqei, 3xrja99d4b0jewfjzelq4rspg, rxypx04u4hxdd5dfwoazp2xg, 77767sxrg8n7kfm58qf1wq32s, es8z1xh8vhhtrjs8jrfbrqrro, dy1lhnql8cpw307wcxw3brndg",5715378043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5715378047,130,8,5715378049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2812622787,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-10T15:01:40.420Z,2025-05-10T15:08:12Z,,,,,5715435933,130,8,5715435937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5715435941,194,3durmgxmp7tzxsr234mlhot1,5715435943,197,25091,5715435925,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5715435929,59,"99, 28, 21, 14, 22, 7, 24, 15, 19, 10, 11, 32, 9, 13, 16, 17, 29, 39, 44",5715435945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5715435921,30,"42p4op3tm9umpwxyxde5xjefp, 8kkbwlif9496fekfraadrws9g, 3ks6pxe94hk9l4q46do2c628l, 3durmgxmp7tzxsr234mlhot1, 5sobeblelb6fl7aafw833iwwk, 504qkt70jvof5yzffmwwo5c5x, dmj5oe18blqnxozkfd8q5myfp, eq9x5pboy1dehdauroonsw3c9, e8s9kg55x4npvg6tkuwe5wj6c, bar5tlyxm2vim2ewqauywgb85, 4iguik2n53ywq82altuqoouwa, dzdryjruyr4lpu3t7d5pgpn11, epnkff9nsysx1eyh90muhmvl6, 7sez5w47trh4xnngir0epzl04, 780mdhlnrheqczv6o7p5l8hzo, c3okou4sh3r5i7mei6lpjks4q, 8k4fw4zak03as07nwf1kiktuc, acredwjpf6ou0mdqx2cpxm4no, 50xax4sqxz9mbfney5xxi47pw",,,,,,,,,,,,,,,,,,,,,,,,
2812667823,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-05-10T15:30:41.121Z,2025-05-10T15:30:41Z,,,,,5715673495,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812667843,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-10T15:30:41.121Z,2025-05-10T15:30:46Z,,,,,5715673577,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812667851,3,1,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,50.1,49.9,2025-05-10T15:30:41.524Z,2025-05-10T15:30:46Z,e8s9kg55x4npvg6tkuwe5wj6c,J. Dembe,,,5715673621,212,12.4,5715673623,213,3.20,5715673619,141,48.8,5715673625,279,S,5715673617,140,38.3,5715673611,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812667931,4,1,1,0,1,9zqn9ugvg64it0lr5z8cq4g9v,1,37.1,49.6,2025-05-10T15:30:42.859Z,2025-05-10T15:30:47Z,eq9x5pboy1dehdauroonsw3c9,S. Leach Holm,,,5715674063,56,Back,5715674067,141,53.4,5715674069,212,7.0,5715674065,140,43.3,5715674073,213,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812667937,5,1,1,0,2,9zqn9ugvg64it0lr5z8cq4g9v,1,43.5,53.7,2025-05-10T15:30:44.107Z,2025-05-10T15:30:47Z,3durmgxmp7tzxsr234mlhot1,S. Gustafson,,,5715674105,140,29.8,5715674113,213,2.46,5715674111,212,18.5,5715674149,156,,5715674107,141,70.9,5715674101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812667943,6,1,1,0,4,9zqn9ugvg64it0lr5z8cq4g9v,1,29.8,70.9,2025-05-10T15:30:45.498Z,2025-05-10T15:30:47Z,504qkt70jvof5yzffmwwo5c5x,J. Laursen,,,5715674175,141,84.2,5715674171,56,Back,5715674173,140,43.1,5715674177,212,16.6,5715674179,213,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812667961,7,1,1,0,5,9zqn9ugvg64it0lr5z8cq4g9v,1,43.1,84.2,2025-05-10T15:30:46.203Z,2025-05-10T15:36:29Z,3ks6pxe94hk9l4q46do2c628l,A. Lundkvist,,,5715674279,141,72.0,5715674277,140,47.8,5715674283,213,5.25,5715674281,212,9.7,5715674275,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812667979,8,1,1,0,7,9zqn9ugvg64it0lr5z8cq4g9v,0,45.6,75.7,2025-05-10T15:30:48.651Z,2025-05-10T15:30:49Z,3durmgxmp7tzxsr234mlhot1,S. Gustafson,,,5715674367,56,Center,5715674369,140,67.2,5715674375,213,5.94,5715674365,155,,5715674373,212,24.1,5715674371,141,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
