id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value
2820695795,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-06-01T13:38:23.726Z,2025-06-01T14:24:58Z,,,,,5760189767,197,5798,5760189757,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760189755,30,"dsw7clrtv93nkdnppqhfm1n9, dcewpavwmjbplo5fahrzfxega, cdlngd5oc988etq8dp8bh4s7p, 546vmchsyl1wt10pr13r5oup6, 6lykrd3hzedl7xljr167gow5x, 10lj2qekb1e4c8ful68b1pazt, rxypx04u4hxdd5dfwoazp2xg, 451liwl34giar3r8y7b295w16, 9mvwnz2zlvx54nggvvw3l9ega, di0z3rihhkz11o1ccqo2b654a, es8z1xh8vhhtrjs8jrfbrqrro, 6f0gn0s326avqwshii5mvfz10, bdgqvvkpadpthmlm40wa6dcyx, 4ly7t29cozmc49wu7avkvv3yt, 5k4gsy5f7ius93bbks9wbvqei, 3907otfahqaiqsy7hx3k142dw, 3xrja99d4b0jewfjzelq4rspg, 9jqz6yi90pj9dlvgktdwrsf10, dy1lhnql8cpw307wcxw3brndg, 8rd3ahkalx8n0uwwavbjdnv2s",5760189765,194,dsw7clrtv93nkdnppqhfm1n9,5760189763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760189761,130,8,5760189759,59,"1, 13, 21, 10, 15, 4, 29, 17, 9, 14, 36, 34, 3, 5, 8, 12, 18, 20, 24, 26",5760189769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820696989,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-06-01T13:41:22.297Z,2025-06-01T14:32:40Z,,,,,5760196467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760196473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760196461,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760196471,197,22091,5760196465,130,3,5760196463,59,"15, 17, 3, 33, 32, 4, 8, 5, 10, 11, 19, 30, 9, 16, 18, 21, 22, 43, 45, 47",5760196459,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eqfhoh81e8uj2as95ev3yfnx1, 8ez1awevbmegf1z0kgjtp048a, eahcgnvlq1tkswvjuovyzxxw5, cwkz9uxtres4bockr3spd4hxx, alxccjq2y6il5yjw108a0axnt, b0rem4wo1p6sumrp6mb77f11w, prvbf3gxwflgzxuvgvb7ls5x, 3xx0l8c30mjstvxq7z1s0fnit, eyqeg6wzhjibkt4zs5dfgzc9h, 7gbgk4q4bxc1h7kcd0u96o9nt, azvjk1schroxi2dq22hwnqr1m, 9yb0exf35kl3avhdnlhv23glx, 2q5dedfrzn793s2alaaig8i6s, 2l14t89f2n27b28xqfguvr4es, 6oaqk4pdojnlefa3zubsysmvp, 3hz7fbme9sm4xkj5fo3moeluc, b5efwfrqbzdfknrjq3agklvdg, 6utvjndbc0etrvdrul1oajdp0",5760196469,194,a0vo94v0vvnojrnvvscd7zp3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710319,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-06-01T14:30:36.479Z,2025-06-01T14:30:36Z,,,,,5760272765,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710331,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-06-01T14:30:36.479Z,2025-06-01T14:30:55Z,,,,,5760272821,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710361,3,1,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,50.0,50.0,2025-06-01T14:30:36.480Z,2025-06-01T14:39:06Z,b0rem4wo1p6sumrp6mb77f11w,K. Karlsson,,,5760272957,56,Back,5760272967,279,S,5760272965,213,3.28,5760272961,141,45.5,5760272963,212,21.9,5760272959,140,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710371,4,1,1,0,6,5mbo4f0vps12dr0fcvjn3wyp5,0,31.7,42.1,2025-06-01T14:30:42.635Z,2025-06-01T14:30:54Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5760273035,141,12.9,5760273041,1,,5760273039,213,5.91,5760273033,140,80.0,5760273029,155,,5760273037,212,54.5,5760273031,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710379,3,1,1,0,8,4jg5vd59i24chckyua90dr1lg,0,18.4,82.9,2025-06-01T14:30:45.179Z,2025-06-01T14:30:45Z,10lj2qekb1e4c8ful68b1pazt,T. Anker,,,5760273083,213,0.07,5760273077,140,36.8,5760273081,212,19.4,5760273073,3,,5760273079,141,85.0,5760273075,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820712769,63,44,1,0,9,5mbo4f0vps12dr0fcvjn3wyp5,1,58.8,35.3,2025-06-01T14:30:46.040Z,2025-06-01T16:42:36Z,b0rem4wo1p6sumrp6mb77f11w,K. Karlsson,,,5760288347,56,Center,5760288915,233,95,5760288349,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820712777,95,44,1,0,9,4jg5vd59i24chckyua90dr1lg,0,41.2,64.7,2025-06-01T14:30:46.041Z,2025-06-01T16:42:36Z,es8z1xh8vhhtrjs8jrfbrqrro,A. Ljungberg,,,5760288691,56,Back,5760288693,285,,5760288935,233,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710397,5,1,1,0,10,5mbo4f0vps12dr0fcvjn3wyp5,1,72.2,13.4,2025-06-01T14:30:46.956Z,2025-06-01T14:30:54Z,b0rem4wo1p6sumrp6mb77f11w,K. Karlsson,,,5760273183,56,Right,5760273193,141,8.2,5760273189,140,78.4,5760273195,212,7.4,5760273181,3,,5760273197,213,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
