id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2794294535,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-03-31T16:07:50.809Z,2025-03-31T17:30:21Z,,,,,5614304277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614304271,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614304275,197,25126,5614304265,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5614304267,59,"39, 5, 3, 8, 2, 24, 11, 22, 10, 7, 9, 1, 6, 15, 16, 17, 18, 20, 28, 32",5614304269,130,4,5614304263,30,"4id56bnddab7qd1mxxsm8ueqc, 4w8yuib6lrya8ucle0j9maxka, reelt18o0lhvy8vl8h33glpl, 174tz9lh744fhcxzabu00746h, 2mfqgk982ky4y88ddcljx25n8, 8ebx705t6jvq53z6tjk0ke1d6, 6vy0wrnn1jz4tjp9ofxr9qesq, 8wz2m0yj4f0ci90m0wjftnoid, 30117qloj2vhnxq4djfktp7u1, 40l3vtezw1ofwk2occi4z5w45, cntz26i7p4q9fyzh55xswpudw, 27hg1g0tz1l6mt4eugz841hw5, 1t67kvg37jg2elz9voix5kcet, 659a50ce2qqdoptyyjyo4whjp, 7uqexxe985u3bbx5lxx2vgand, b83hbe115qfbfh703m5idim8k, 5svga5s2fg0n058ms3pndyhhw, 2e1j4tbrlrgqvm7io0hfu7is5, 2e1xnfe3hisebv1tytnkzk178, 9eaa74frc7sjli4e48cey3r4k",5614304273,194,8wz2m0yj4f0ci90m0wjftnoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794296177,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-03-31T16:15:56.573Z,2025-03-31T17:14:03Z,,,,,5614313927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614313921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614313925,197,5798,5614313915,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5614313917,59,"1, 3, 33, 18, 5, 4, 10, 14, 9, 7, 29, 34, 8, 12, 13, 17, 21, 26, 36, 38",5614313919,130,8,5614313923,194,3xrja99d4b0jewfjzelq4rspg,5614313913,30,"dsw7clrtv93nkdnppqhfm1n9, bdgqvvkpadpthmlm40wa6dcyx, 77767sxrg8n7kfm58qf1wq32s, 3xrja99d4b0jewfjzelq4rspg, 4ly7t29cozmc49wu7avkvv3yt, 10lj2qekb1e4c8ful68b1pazt, 546vmchsyl1wt10pr13r5oup6, di0z3rihhkz11o1ccqo2b654a, 9mvwnz2zlvx54nggvvw3l9ega, 21ht7s882is4sisnr8dpf61yi, rxypx04u4hxdd5dfwoazp2xg, 6f0gn0s326avqwshii5mvfz10, 5k4gsy5f7ius93bbks9wbvqei, 3907otfahqaiqsy7hx3k142dw, dcewpavwmjbplo5fahrzfxega, 451liwl34giar3r8y7b295w16, cdlngd5oc988etq8dp8bh4s7p, 8rd3ahkalx8n0uwwavbjdnv2s, es8z1xh8vhhtrjs8jrfbrqrro, dy1lhnql8cpw307wcxw3brndg",,,,,,,,,,,,,,,,,,,,,,,,,,,
2794307023,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-03-31T17:00:39.504Z,2025-03-31T17:00:39Z,,,,,5614377701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794307029,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-03-31T17:00:39.504Z,2025-03-31T17:00:42Z,,,,,5614377725,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794307085,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,50.1,50.0,2025-03-31T17:00:39.505Z,2025-03-31T17:00:44Z,30117qloj2vhnxq4djfktp7u1,A. Zeljković,,,5614378029,141,42.5,5614378035,1,,5614378037,279,S,5614378031,212,32.4,5614378033,213,3.30,5614378025,56,Back,5614378027,140,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794307111,4,1,1,0,5,durq4oppf7c08tnbzrlebt0uz,1,20.6,44.0,2025-03-31T17:00:44.577Z,2025-03-31T17:04:10Z,2mfqgk982ky4y88ddcljx25n8,J. Rapp,,,5614378165,56,Left,5614378167,140,69.8,5614378171,212,62.5,5614378175,1,,5614378173,213,0.60,5614378163,155,,5614378169,141,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794307121,5,1,1,0,7,durq4oppf7c08tnbzrlebt0uz,1,73.1,96.8,2025-03-31T17:00:46.593Z,2025-03-31T17:00:48Z,cntz26i7p4q9fyzh55xswpudw,J. Kalu,,,5614378225,140,59.0,5614378227,141,94.5,5614378229,212,14.9,5614378231,213,3.25,5614378223,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794307125,6,1,1,0,8,durq4oppf7c08tnbzrlebt0uz,0,52.0,94.0,2025-03-31T17:00:48.081Z,2025-03-31T17:04:29Z,reelt18o0lhvy8vl8h33glpl,A. Björnström,,,5614378249,213,6.25,5614378243,140,60.5,5614378241,56,Left,5614378247,212,8.9,5614378245,141,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794307131,3,61,1,0,9,4jg5vd59i24chckyua90dr1lg,1,28.5,3.7,2025-03-31T17:00:48.841Z,2025-03-31T17:03:00Z,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,5614378281,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794307139,4,5,1,0,10,4jg5vd59i24chckyua90dr1lg,0,34.6,-1.4,2025-03-31T17:00:49.763Z,2025-03-31T17:03:50Z,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,5614378305,347,,5614378303,56,Back,5614378487,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
