id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/11/value
2803776109,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-20T11:10:50.486Z,2025-04-20T12:03:12Z,,,,5666571025,59,"15, 17, 19, 3, 4, 32, 8, 33, 10, 11, 7, 30, 5, 9, 20, 21, 22, 26, 43, 47",5666571023,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5666571029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666571021,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eyqeg6wzhjibkt4zs5dfgzc9h, eqfhoh81e8uj2as95ev3yfnx1, cwkz9uxtres4bockr3spd4hxx, eahcgnvlq1tkswvjuovyzxxw5, alxccjq2y6il5yjw108a0axnt, 8ez1awevbmegf1z0kgjtp048a, prvbf3gxwflgzxuvgvb7ls5x, 3xx0l8c30mjstvxq7z1s0fnit, 99i96gbkvesmh3wspv8rl1ln9, 7gbgk4q4bxc1h7kcd0u96o9nt, b0rem4wo1p6sumrp6mb77f11w, azvjk1schroxi2dq22hwnqr1m, 5rbr8z5frgawr2ykcmcxbbluy, 2l14t89f2n27b28xqfguvr4es, 6oaqk4pdojnlefa3zubsysmvp, 642iajthdnr0zophv7ys35q1g, 3hz7fbme9sm4xkj5fo3moeluc, 6utvjndbc0etrvdrul1oajdp0",5666571033,197,25072,5666571035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666571031,194,99i96gbkvesmh3wspv8rl1ln9,5666571027,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803781789,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-20T11:22:09.726Z,2025-04-20T12:05:26Z,,,,5666601671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666601673,194,4kmd502s272vf5wgkx8hk4vl5,5666601675,197,17685,5666601667,59,"13, 33, 21, 8, 5, 15, 19, 7, 20, 9, 25, 32, 4, 6, 10, 14, 18, 22, 23, 26",5666601665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5666601663,30,"aadwnc8p356rns7i7nyttyy5m, 6son8ikuumxto9h6yiy7ylckp, c09quzlxh0hscffbfzbtohi7e, 1dvhwhz4n5f9cf4ts58rfu21, e96wc563k8h3w7049l1nvcokq, 4kmd502s272vf5wgkx8hk4vl5, 9401ndwivx7fpdplnv57v965m, 4p1gi0hkamzt27nm2nf1j90bt, bmdhp0p1sqy48a5algqcdv6qx, rz5zhw17e2j2xp4h4c40pnca, 5r3h17uip2r1dlw1tde1e4hzo, 3qtrkzdi4nbb6lnsti2v6hgq1, 7x9rvw3fkbdq9ape85thu5pzp, 32bvga34o0hleev3duw2342ui, bs0mkqzsgcrk6tswsxj5a83c9, 3cplil800nf4znsypobvc22qy, 6bri5bqx4wq8jy49qf5hjney2, 9mr7ry4dyqgtk6ejbcmwoyuc4, czrpc1phedwtryuc92x244yqd, dl3faj0dj1z16de9rb63nxyp5",5666601677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666601669,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803814567,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-20T12:03:50.983Z,2025-04-20T12:03:53Z,,,,5666765403,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803814553,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-20T12:03:50.983Z,2025-04-20T12:03:51Z,,,,5666765347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803814625,3,1,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,49.9,50.1,2025-04-20T12:03:50.984Z,2025-04-20T12:03:54Z,3xx0l8c30mjstvxq7z1s0fnit,J. Guidetti,,5666765729,212,20.5,5666765725,140,31.6,5666765723,56,Back,5666765731,213,3.50,5666765727,141,39.5,5666765733,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803814671,4,1,1,0,3,5mbo4f0vps12dr0fcvjn3wyp5,0,31.8,38.9,2025-04-20T12:03:54.033Z,2025-04-20T12:03:56Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,5666765945,212,50.4,5666765943,141,31.0,5666765937,157,,5666765941,140,79.5,5666765949,1,,5666765939,56,Center,5666765947,213,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803814709,3,12,1,0,5,cfvya7igkhkas7wvsktwz6j8k,1,23.6,65.1,2025-04-20T12:03:56.027Z,2025-04-20T12:03:58Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,5666766129,56,Back,5666766137,213,0.32,5666766135,212,20.2,5666766133,141,74.4,5666766165,15,,5666766131,140,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803814777,4,1,1,0,8,cfvya7igkhkas7wvsktwz6j8k,0,41.9,74.4,2025-04-20T12:03:59.668Z,2025-04-20T12:04:01Z,bmdhp0p1sqy48a5algqcdv6qx,A. Aliev,,5666766405,3,,5666766427,141,84.2,5666766431,213,0.53,5666766409,56,Left,5666766425,140,52.7,5666766429,212,13.2,5666766407,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803814825,5,1,1,0,10,5mbo4f0vps12dr0fcvjn3wyp5,1,44.5,14.3,2025-04-20T12:04:01.089Z,2025-04-20T12:04:03Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,5666766623,157,,5666766625,56,Right,5666766629,141,12.0,5666766635,1,,5666766633,213,6.19,5666766627,140,60.5,5666766631,212,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803814831,6,44,1,0,12,5mbo4f0vps12dr0fcvjn3wyp5,1,60.4,12.2,2025-04-20T12:04:03.712Z,2025-04-20T12:04:04Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,5666766661,56,Right,5666766705,233,5,5666766663,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
