id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/17/value
2796233291,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-05T14:34:02.210Z,2025-04-05T15:35:48Z,,,,,5625092319,194,4kmd502s272vf5wgkx8hk4vl5,5625092313,59,"13, 33, 21, 8, 5, 15, 19, 7, 20, 6, 25, 32, 2, 4, 9, 10, 14, 22, 29, 26",5625092311,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5625092315,130,2,5625092325,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5625092321,197,17685,5625092309,30,"aadwnc8p356rns7i7nyttyy5m, 6son8ikuumxto9h6yiy7ylckp, c09quzlxh0hscffbfzbtohi7e, 1dvhwhz4n5f9cf4ts58rfu21, e96wc563k8h3w7049l1nvcokq, 4kmd502s272vf5wgkx8hk4vl5, 9401ndwivx7fpdplnv57v965m, 4p1gi0hkamzt27nm2nf1j90bt, bmdhp0p1sqy48a5algqcdv6qx, 32bvga34o0hleev3duw2342ui, 5r3h17uip2r1dlw1tde1e4hzo, 3qtrkzdi4nbb6lnsti2v6hgq1, ah01wimesmr2z3ngqdeme6k15, 7x9rvw3fkbdq9ape85thu5pzp, rz5zhw17e2j2xp4h4c40pnca, bs0mkqzsgcrk6tswsxj5a83c9, 3cplil800nf4znsypobvc22qy, 9mr7ry4dyqgtk6ejbcmwoyuc4, 4rxaizp3a327azz02f6tsop1x, dl3faj0dj1z16de9rb63nxyp5",5625092317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796260345,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-05T14:43:46.725Z,2025-04-05T14:43:46Z,,,,,5625234801,59,"1, 5, 21, 8, 4, 25, 16, 14, 9, 24, 29, 32, 10, 13, 15, 17, 19, 22, 39, 42",5625234805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5625234799,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5625234807,194,3durmgxmp7tzxsr234mlhot1,5625234811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5625234809,197,4756,5625234797,30,"xtbkmjbqwop0n2jvmnovidp1, a3p681d64e0k9qse621eqi9xx, 3ks6pxe94hk9l4q46do2c628l, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, 8h4jv2n2b8w3hmn4oec3tvevo, 780mdhlnrheqczv6o7p5l8hzo, 3durmgxmp7tzxsr234mlhot1, epnkff9nsysx1eyh90muhmvl6, dmj5oe18blqnxozkfd8q5myfp, 8k4fw4zak03as07nwf1kiktuc, dzdryjruyr4lpu3t7d5pgpn11, bar5tlyxm2vim2ewqauywgb85, 7sez5w47trh4xnngir0epzl04, eq9x5pboy1dehdauroonsw3c9, c3okou4sh3r5i7mei6lpjks4q, e8s9kg55x4npvg6tkuwe5wj6c, 5sobeblelb6fl7aafw833iwwk, acredwjpf6ou0mdqx2cpxm4no, b8d9uwfw2r74ueh6vskteqvx0",5625234803,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796355919,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-05T15:30:49.933Z,2025-04-05T15:30:50Z,,,,,5625733043,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796355957,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-05T15:30:49.933Z,2025-04-05T15:30:51Z,,,,,5625733207,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796355977,3,1,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,49.6,50.0,2025-04-05T15:30:49.934Z,2025-04-05T15:30:52Z,epnkff9nsysx1eyh90muhmvl6,S. Hrstić,,,5625733325,213,2.92,5625733321,212,16.1,5625733317,141,55.2,5625733329,279,S,5625733311,56,Back,5625733315,140,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796356051,4,1,1,0,1,9zqn9ugvg64it0lr5z8cq4g9v,1,35.4,55.2,2025-04-05T15:30:51.598Z,2025-04-05T15:30:54Z,8j55jduxd0jfxrxh88kdqgcq2,S. Andersen,,,5625733721,56,Back,5625733725,140,35.8,5625733731,212,25.0,5625733729,141,92.0,5625733735,213,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796356079,5,1,1,0,4,9zqn9ugvg64it0lr5z8cq4g9v,0,34.5,92.4,2025-04-05T15:30:54.062Z,2025-04-05T15:30:54Z,3ks6pxe94hk9l4q46do2c628l,A. Lundkvist,,,5625733875,213,5.53,5625733877,1,,5625733871,141,58.5,5625733863,157,,5625733873,212,33.8,5625733867,140,58.0,5625733865,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796356259,3,1,1,0,7,cfvya7igkhkas7wvsktwz6j8k,1,41.7,57.0,2025-04-05T15:30:57.178Z,2025-04-05T15:30:59Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5625734897,3,,5625734903,141,50.1,5625734901,140,57.0,5625734899,56,Center,5625734905,212,16.7,5625734907,213,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796356389,5,1,1,0,9,cfvya7igkhkas7wvsktwz6j8k,1,56.3,48.7,2025-04-05T15:30:59.201Z,2025-04-05T15:31:03Z,bmdhp0p1sqy48a5algqcdv6qx,A. Aliev,,,5625735637,140,55.0,5625735641,141,49.0,5625735645,212,1.4,5625735653,213,2.99,5625735635,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796356395,6,4,1,0,10,cfvya7igkhkas7wvsktwz6j8k,1,57.3,46.8,2025-04-05T15:31:00.628Z,2025-04-05T15:39:03Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5625735785,152,,5625735781,13,,5625735867,233,6,5625833219,295,,5625735789,286,,5625735783,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796356319,6,4,1,0,10,9zqn9ugvg64it0lr5z8cq4g9v,0,42.7,53.2,2025-04-05T15:31:00.629Z,2025-04-05T15:39:01Z,780mdhlnrheqczv6o7p5l8hzo,P. Dahbo,,,5625735981,233,6,5625735363,285,,5625735359,152,,5625832737,295,,5625735355,56,Back,5625735351,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
