id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2745515333,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-11-08T17:09:33.054Z,2024-11-08T21:24:10Z,,,,,5348784597,130,4,5348784601,194,3od63zrf6cay4d6ync9i2iuqc,5348784595,59,"90, 14, 17, 6, 4, 5, 21, 7, 16, 97, 98, 1, 2, 3, 8, 11, 13, 18, 19, 20",5348784603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348784599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348884495,197,11563,5348784591,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 23sc7wc7my7wes6cuaxw1v0no, ayxi2m0g0pm6rl1ba5pto66z9, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 6wfu6s6xo5zjeke21fgbouql0, 4m3slt6iikaxklqd12i719rl5, 7ztdirfvd9d0x2yw1v051xzbo, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck",5348784593,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745516287,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-11-08T17:11:52.568Z,2024-11-08T17:58:38Z,,,,,5348789967,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, e8vt8711wb40afht2v13omket, 2uellcocrvapu7o70g5zdcmad, 8xe0fufxfgf5cuwgysz3r2j85, egnjbmbxkceiygmp2jty4b47o, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 5u9zrgsm6wycfcbk04m64wd1w, 5mmgppapbchmcj9zdtyw0w5xw, 86mx27krl6c613x6e3t9g3cic, ct7z1lwc3kc5oblzcewgipzl6, 6dki65mdd3letfjjj51i0w3c9, ab3nxxoj7bxlnhot9htoex1xw, 38shfw53eg5qtvem3d3ou04r8, 8viazilbghyogmhd7w3lg2six",5348803881,194,ezbixgm2km8iapnsl57bn4wkp,5348789971,59,"13, 2, 3, 14, 5, 28, 17, 8, 11, 27, 22, 1, 6, 9, 18, 19, 20, 21, 23, 29",5348789969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5348886435,197,19798,5348789983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348789979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348789975,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534809,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-11-08T18:01:18.296Z,2024-11-08T18:01:20Z,,,,,5348889567,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534805,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-11-08T18:01:18.296Z,2024-11-08T18:01:18Z,,,,,5348889551,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534831,3,1,1,0,0,6wwwud48qahpwrfxs20334qk5,1,49.4,50.0,2024-11-08T18:01:18.297Z,2024-11-08T18:01:20Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5348889665,278,,5348889655,212,7.6,5348889643,56,Back,5348889659,213,3.25,5348889647,140,42.2,5348889651,141,48.8,5348889663,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534837,4,1,1,0,1,6wwwud48qahpwrfxs20334qk5,1,42.2,48.8,2024-11-08T18:01:19.977Z,2024-11-08T18:01:23Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5348889683,140,28.5,5348889689,213,2.28,5348889687,212,22.0,5348889685,141,73.3,5348889681,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534853,5,1,1,0,4,6wwwud48qahpwrfxs20334qk5,1,36.0,76.9,2024-11-08T18:01:23.048Z,2024-11-08T18:01:26Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5348889767,140,26.3,5348889773,213,4.27,5348889765,56,Back,5348889769,141,45.5,5348889771,212,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534859,6,1,1,0,8,6wwwud48qahpwrfxs20334qk5,0,25.5,38.0,2024-11-08T18:01:26.488Z,2024-11-08T18:01:28Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5348889797,213,6.20,5348889789,56,Center,5348889791,140,68.1,5348889795,212,44.9,5348889793,141,32.7,5348889799,1,,5348889787,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534861,3,1,1,0,10,ajtb177oqwawkdwbqhldmq6mx,0,29.8,74.5,2024-11-08T18:01:29.063Z,2024-11-08T18:07:16Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5348889813,157,,5348889825,1,,5348889821,212,33.9,5348889819,141,100.0,5348889823,213,0.56,5348889817,140,57.1,5348889815,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534863,4,5,1,0,11,ajtb177oqwawkdwbqhldmq6mx,0,55.2,101.4,2024-11-08T18:01:29.925Z,2024-11-08T18:01:36Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5348889829,56,Left,5348889869,233,7,5348889831,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
