id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2784769015,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-03-07T17:06:41.836Z,2025-03-07T17:48:18Z,,,,,5562292209,194,ezbixgm2km8iapnsl57bn4wkp,5562285871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562285869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562285861,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, 4a0jmv6qmwn01iuqp1mhnyzth, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 86mx27krl6c613x6e3t9g3cic, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, 8viazilbghyogmhd7w3lg2six, e3n8xatusmgu7ttqpfdjanp3p, e8vt8711wb40afht2v13omket, 6otr0cifkk9jbmxc2ew2spka, kqj7nh6pqmqbt0abyyu0fcpg, dja68kdmhtsm9x5zqzgtpqas4, egnjbmbxkceiygmp2jty4b47o, ab3nxxoj7bxlnhot9htoex1xw, 2k5289tevc2gxo04i83io5a3u, 7k2c7wgoywy7boesjer5578q1, 52xeb867n93p1wftf42wxu1w4",5562353401,197,19798,5562285863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5562285865,59,"1, 2, 3, 27, 28, 20, 18, 8, 11, 29, 30, 6, 7, 10, 16, 17, 21, 24, 31, 32",5562285867,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784773293,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-03-07T17:26:28.920Z,2025-03-07T21:13:19Z,,,,,5562311191,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562353255,197,26351,5562311189,130,13,5562311195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562311193,194,619s1phj5bkgkug3aszc1y9cl,5562311185,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5562311183,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, 7al9w77ailhli8g487tkl32tw, 619s1phj5bkgkug3aszc1y9cl, 11ngumxajbizagbzpm5kompxx, 3mcj3wypzq3lno1ehc0vif1sl, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, 74m58jsznzu8l89b8h7rkh1bd, 6orujbbswf771s9rv0dcd8kd0, d2ukggo2v5jsw4pctznmaijo4, bwxxfcjd31gykfbpomwr1od90, k43cten7yb6p59yo0firhb84, 4iypayr7a6oylzojn4houu5n8, czudq621hgfprwetp10ckv9jo, 5jv4a1295xd5oonpj9w9fy61g, cd5ntp1ab6jriqet7i49m90r8",5562311187,59,"1, 3, 21, 4, 22, 23, 7, 6, 26, 11, 5, 10, 17, 20, 29, 31, 32, 24, 33, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785169,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-03-07T18:00:23.442Z,2025-03-07T18:00:24Z,,,,,5562371567,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785165,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-03-07T18:00:23.442Z,2025-03-07T18:00:25Z,,,,,5562371557,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785177,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.0,50.0,2025-03-07T18:00:23.444Z,2025-03-07T20:14:29Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5562371591,212,26.5,5562371589,141,67.0,5562371587,140,27.3,5562371595,279,S,5562371593,213,2.69,5562371585,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785209,4,1,1,0,1,ajtb177oqwawkdwbqhldmq6mx,0,27.2,67.0,2025-03-07T18:00:25.395Z,2025-03-07T18:00:27Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5562371739,140,70.3,5562371741,141,41.8,5562371737,56,Center,5562371747,1,,5562371735,157,,5562371745,213,5.92,5562371743,212,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785227,3,43,1,0,4,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-03-07T18:00:28.252Z,2025-03-07T18:00:53Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5562372645,144,44,5562371843,56,Back,5562371845,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785231,4,12,1,0,5,8cfkisxf1fkxdqtt6tx1tup48,1,29.4,78.5,2025-03-07T18:00:28.908Z,2025-03-07T18:00:40Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5562371867,212,7.8,5562371869,213,0.37,5562371863,140,36.3,5562371865,141,82.6,5562372247,15,,5562371861,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785235,5,61,1,0,6,ajtb177oqwawkdwbqhldmq6mx,0,60.3,36.9,2025-03-07T18:00:30.395Z,2025-03-07T18:00:30Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5562371887,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785269,5,1,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,0,24.3,85.7,2025-03-07T18:00:31.956Z,2025-03-07T20:11:52Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5562372067,212,22.1,5562372059,157,,5562372065,141,60.0,5562372063,140,37.2,5562372061,56,Back,5562372071,1,,5562372069,213,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785267,6,13,1,0,10,ajtb177oqwawkdwbqhldmq6mx,1,71.5,40.3,2025-03-07T18:00:33.979Z,2025-03-07T20:22:14Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5562372475,458,,5562372473,215,,5562372479,231,49.8,5562372049,18,,5562372477,230,98.5,5562372047,22,,5562372343,20,,5563124071,73,,5562372471,103,12.5,5562372469,102,62.4,5562372051,56,Center,,,,,,,,,,,,,,,,,,,,
2784785299,6,5,1,0,12,8cfkisxf1fkxdqtt6tx1tup48,1,-0.7,39.0,2025-03-07T18:00:35.843Z,2025-03-07T19:00:49Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5562372243,56,Back,5562372245,346,,5562372353,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785315,7,5,1,0,12,ajtb177oqwawkdwbqhldmq6mx,0,100.7,61.0,2025-03-07T18:00:35.843Z,2025-03-07T19:00:49Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5562372317,56,Center,5562372319,346,,5562372357,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785401,7,1,1,0,33,8cfkisxf1fkxdqtt6tx1tup48,0,4.2,50.4,2025-03-07T18:00:56.611Z,2025-03-07T18:01:01Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5562372867,140,69.2,5562372863,124,,5562372865,56,Center,5562372873,213,6.14,5562372875,1,,5562372877,74,,5562372871,212,69.0,5562372869,141,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785409,8,1,1,0,37,ajtb177oqwawkdwbqhldmq6mx,0,26.1,64.0,2025-03-07T18:01:01.219Z,2025-03-07T19:00:32Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5562372929,212,45.0,5562372927,141,40.4,5562372931,213,5.92,5562372923,56,Center,5562372925,140,66.1,5562372933,1,,5562372921,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785431,8,1,1,0,41,8cfkisxf1fkxdqtt6tx1tup48,0,42.6,54.2,2025-03-07T18:01:05.228Z,2025-03-07T18:01:12Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5562373039,141,65.8,5562373041,212,25.0,5562373037,140,65.2,5562373035,56,Center,5562373043,213,0.32,5562373033,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785491,9,1,1,0,43,ajtb177oqwawkdwbqhldmq6mx,1,36.4,34.2,2025-03-07T18:01:06.531Z,2025-03-07T19:00:31Z,e3n8xatusmgu7ttqpfdjanp3p,V. Hammershøy-Mistrati,,,5562373369,140,54.1,5562373371,141,23.1,5562373375,213,5.90,5562373373,212,20.1,5562373365,3,,5562373367,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785499,10,4,1,0,50,ajtb177oqwawkdwbqhldmq6mx,1,61.4,15.0,2025-03-07T18:01:13.946Z,2025-03-07T19:01:04Z,8viazilbghyogmhd7w3lg2six,S. Koch,,,5562373397,56,Right,5562373399,152,,5562373395,13,,5562373401,265,,5562373535,233,9,5562373403,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785511,9,4,1,0,50,8cfkisxf1fkxdqtt6tx1tup48,0,38.6,85.0,2025-03-07T18:01:13.947Z,2025-03-07T20:12:30Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5562373477,152,,5562373473,13,,5562373475,56,Back,5562373529,285,,5562373603,233,10,5562373479,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785565,11,1,1,0,58,ajtb177oqwawkdwbqhldmq6mx,1,59.4,16.4,2025-03-07T18:01:21.524Z,2025-03-07T19:00:41Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5562373671,56,Back,5562373669,152,,5562373679,213,2.68,5562546501,189,,5562373667,5,,5562373677,212,12.6,5562373675,141,24.7,5562373673,140,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785575,12,1,1,1,0,ajtb177oqwawkdwbqhldmq6mx,0,54.5,23.7,2025-03-07T18:01:24.027Z,2025-03-07T18:01:25Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5562373733,56,Center,5562373743,1,,5562373735,140,82.5,5562373737,141,70.5,5562373741,213,0.82,5562373731,155,,5562373739,212,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785589,10,12,1,1,3,8cfkisxf1fkxdqtt6tx1tup48,1,28.3,29.1,2025-03-07T18:01:26.683Z,2025-03-07T18:01:29Z,7al9w77ailhli8g487tkl32tw,M. Westergren,,,5562373821,141,22.7,5562373831,15,,5562373817,56,Back,5562373819,140,37.6,5562373825,213,5.86,5562373823,212,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785617,13,1,1,1,6,ajtb177oqwawkdwbqhldmq6mx,0,63.5,81.1,2025-03-07T18:01:29.459Z,2025-03-07T19:01:09Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5562373919,56,Left,5562373921,140,72.1,5562373923,141,84.5,5562373925,212,9.3,5562373927,213,0.25,5562373917,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785621,11,12,1,1,6,8cfkisxf1fkxdqtt6tx1tup48,1,29.8,28.0,2025-03-07T18:01:29.740Z,2025-03-07T18:01:41Z,7al9w77ailhli8g487tkl32tw,M. Westergren,,,5562373939,140,50.5,5562373937,56,Center,5562373943,212,21.9,5562373945,213,6.16,5562373963,15,,5562373941,141,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785695,14,1,1,1,13,ajtb177oqwawkdwbqhldmq6mx,1,40.2,90.5,2025-03-07T18:01:36.514Z,2025-03-07T19:01:25Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5562374281,3,,5562374291,212,11.8,5562374289,141,86.5,5562374293,213,3.37,5562374285,56,Back,5562374287,140,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784789579,106,1,1,1,14,ajtb177oqwawkdwbqhldmq6mx,1,31.2,68.9,2025-03-07T18:01:38.233Z,2025-03-07T18:09:33Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5562396539,213,0.57,5562396541,1,,5562396531,56,Left,5562396529,157,,5562396535,141,97.5,5562396533,140,60.0,5562396537,212,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785701,15,61,1,1,15,ajtb177oqwawkdwbqhldmq6mx,0,53.4,92.9,2025-03-07T18:01:38.475Z,2025-03-07T19:01:26Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5562374301,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785781,12,5,1,1,15,8cfkisxf1fkxdqtt6tx1tup48,1,39.9,-1.2,2025-03-07T18:01:39.339Z,2025-03-07T19:00:50Z,7al9w77ailhli8g487tkl32tw,M. Westergren,,,5562374693,347,,5562374701,233,16,5562374691,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785719,16,5,1,1,15,ajtb177oqwawkdwbqhldmq6mx,0,60.1,101.2,2025-03-07T18:01:39.339Z,2025-03-07T20:03:33Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5562374377,347,,5562374705,233,12,5562374375,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785827,13,1,1,1,22,8cfkisxf1fkxdqtt6tx1tup48,1,39.0,0.0,2025-03-07T18:01:46.083Z,2025-03-07T18:01:52Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5562374917,141,19.2,5562374915,140,26.4,5562374913,56,Back,5562374911,107,,5562374921,213,2.34,5562374919,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785835,14,1,1,1,28,8cfkisxf1fkxdqtt6tx1tup48,1,24.8,22.1,2025-03-07T18:01:51.842Z,2025-03-07T18:01:53Z,7al9w77ailhli8g487tkl32tw,M. Westergren,,,5562374977,141,42.5,5562374979,212,18.9,5562374975,140,12.6,5562374973,56,Back,5562374981,213,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
