id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value
2726822539,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-09-28T12:03:40.616Z,2024-09-28T12:59:39Z,,,,,5246656683,30,"9y3vs6l0mjj38z0kw062jlh3p, 15nwvne76hmc6vgtju60bl7md, eyvv6b94feknnp1uew6n0ytat, 5u9zrgsm6wycfcbk04m64wd1w, 2uellcocrvapu7o70g5zdcmad, 8xe0fufxfgf5cuwgysz3r2j85, egnjbmbxkceiygmp2jty4b47o, e8vt8711wb40afht2v13omket, kqj7nh6pqmqbt0abyyu0fcpg, 4a0jmv6qmwn01iuqp1mhnyzth, ezbixgm2km8iapnsl57bn4wkp, 6g671k5lvgoo2bgub2516q1w4, 5mmgppapbchmcj9zdtyw0w5xw, 85qlnet6ehpowwtbubzbw3qqc, dja68kdmhtsm9x5zqzgtpqas4, 86mx27krl6c613x6e3t9g3cic, ct7z1lwc3kc5oblzcewgipzl6, 6dki65mdd3letfjjj51i0w3c9, ab3nxxoj7bxlnhot9htoex1xw, 7k2c7wgoywy7boesjer5578q1",5246656699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246656685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5246656689,59,"1, 4, 3, 6, 5, 28, 17, 14, 22, 27, 8, 2, 9, 15, 16, 18, 19, 20, 21, 31",5246656693,130,8,5246963905,194,ezbixgm2km8iapnsl57bn4wkp,5246656703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246962299,197,19798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726824927,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-09-28T12:05:54.608Z,2024-09-28T12:59:34Z,,,,,5246963655,197,11563,5246669493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5246669485,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7ztdirfvd9d0x2yw1v051xzbo, dgcbjg2ymgi70yv1n8ugkv02c, 3od63zrf6cay4d6ync9i2iuqc, 4m3slt6iikaxklqd12i719rl5, 23sc7wc7my7wes6cuaxw1v0no, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, ayxi2m0g0pm6rl1ba5pto66z9, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, 7rt4wpc0qphwnvhn8jeazesfe, 6wfu6s6xo5zjeke21fgbouql0, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, 289rctmvd5ppy9zqn98jbe4et",5246903003,194,3od63zrf6cay4d6ync9i2iuqc,5246669489,59,"90, 14, 17, 13, 3, 5, 11, 21, 16, 97, 7, 1, 2, 6, 8, 18, 19, 20, 98",5246669491,130,4,5246669495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246669487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885017,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-09-28T13:03:11.273Z,2024-09-28T13:03:13Z,,,,,5246982749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885003,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-09-28T13:03:11.273Z,2024-09-28T13:03:11Z,,,,,5246982691,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885079,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.0,50.0,2024-09-28T13:03:11.274Z,2024-09-28T13:03:15Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5246983063,212,24.6,5246983057,56,Back,5246983067,279,S,5246983061,141,38.8,5246983065,213,3.46,5246983059,140,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885135,4,1,1,0,3,ajtb177oqwawkdwbqhldmq6mx,0,27.7,38.8,2024-09-28T13:03:15.083Z,2024-09-28T15:31:44Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5246983375,1,,5246983371,212,52.6,5246983361,140,66.1,5246983355,155,,5246983367,141,88.4,5246983373,213,0.70,5246983357,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885181,3,1,1,0,6,6wwwud48qahpwrfxs20334qk5,0,24.5,15.5,2024-09-28T13:03:17.977Z,2024-09-28T13:03:19Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5246983647,56,Back,5246983655,213,0.37,5246983651,141,21.6,5246983645,3,,5246983649,140,34.6,5246983653,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885225,4,1,1,0,8,6wwwud48qahpwrfxs20334qk5,0,27.5,20.4,2024-09-28T13:03:20.135Z,2024-09-28T13:03:21Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5246983915,213,0.64,5246983911,141,28.6,5246983907,56,Back,5246983905,157,,5246983909,140,34.6,5246983913,212,9.3,5246983917,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885217,5,1,1,0,9,ajtb177oqwawkdwbqhldmq6mx,0,60.8,88.6,2024-09-28T13:03:20.353Z,2024-09-28T13:03:21Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5246983847,140,75.3,5246983851,212,15.3,5246983843,3,,5246983853,213,6.18,5246983849,141,86.2,5246983845,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885265,6,1,1,0,10,ajtb177oqwawkdwbqhldmq6mx,1,61.7,80.2,2024-09-28T13:03:22.009Z,2024-09-28T13:03:23Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5246984089,213,6.20,5246984081,56,Center,5246984085,141,78.5,5246984083,140,74.7,5246984087,212,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726885315,7,1,1,0,12,ajtb177oqwawkdwbqhldmq6mx,1,74.7,78.5,2024-09-28T13:03:23.313Z,2024-09-28T13:03:25Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5246984343,212,37.7,5246984337,56,Back,5246984347,1,,5246984339,140,38.8,5246984341,141,78.7,5246984345,213,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
