id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/15/value
2795579803,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-04-04T16:25:42.833Z,2025-04-04T17:05:13Z,,,,5621577673,59,"1, 7, 2, 73, 8, 9, 17, 20, 6, 22, 10, 5, 18, 19, 23, 27, 30, 31, 47, 49",5621577669,30,"64vlnkuqfh7rnymg8qku8amwa, 139g7ilwvcpl519v3scnweg2d, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, a7eramyy1bd8msxmg84ctc8ut, 9l89n30nejpn2u22ygvchwnze, 11cna826ls27ahux2w0ckapqt, bh06w40pwo6dy3cjrw3r2i0ru, egwhlgopjtjkop7ozy7ltk1cl, 5hr1cb6e6xb3eyjnau7w4825l, 9nafz0c0x2qvmo5ldm0djmcq1, abrdu87vmuqj50ebgalr3c7op, ag1psg17osvgbq5fz9xo7kmj8, 8rn42gm9xm3yunk883yan9vdg, 4csz412vb3lquessbnf999ct0, 6t6k24gn6zwxz1g6c3n4ph0q, 1655gyu9bjnslw7vfloe40h2i, 9vbxe5gvruap8h546efz3nx1w, 9gr9rdahnavv0irjauh5xim8k, ju24rgwcctj5yizl54o91gfe",5621577681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621577679,194,139g7ilwvcpl519v3scnweg2d,5621577675,130,11,5621577677,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621577671,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5621654765,197,23642,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795581293,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-04T16:29:47.590Z,2025-04-04T16:54:51Z,,,,5621648337,197,9535,5621586451,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621586447,59,"1, 3, 21, 4, 16, 23, 7, 6, 26, 11, 5, 29, 8, 10, 20, 28, 14, 17, 32, 31",5621586453,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621586443,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 67p0s4o54xcmiustgy8k5gljo, 7al9w77ailhli8g487tkl32tw, 619s1phj5bkgkug3aszc1y9cl, 11ngumxajbizagbzpm5kompxx, 3mcj3wypzq3lno1ehc0vif1sl, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, bwxxfcjd31gykfbpomwr1od90, 444n8m1tirk6lp739iigw42c5, 74m58jsznzu8l89b8h7rkh1bd, d2ukggo2v5jsw4pctznmaijo4, 3mgrufy83uhzs9liw8pwxi784, egxik3guom123v43rthy89c7o, 6orujbbswf771s9rv0dcd8kd0, 6k9ri9m1ha4sfqrfccl7ieyvo, k43cten7yb6p59yo0firhb84",5621635747,194,619s1phj5bkgkug3aszc1y9cl,5621586449,130,17,5621586445,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595003,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-04T17:01:24.062Z,2025-04-04T17:01:26Z,,,,5621659327,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795594991,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-04-04T17:01:24.062Z,2025-04-04T17:01:24Z,,,,5621659283,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595033,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.0,50.0,2025-04-04T17:01:24.063Z,2025-04-04T17:01:27Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,5621659465,212,27.0,5621659469,279,S,5621659463,141,33.3,5621659459,56,Back,5621659461,140,26.7,5621659467,213,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595059,4,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,0,26.9,33.0,2025-04-04T17:01:27.502Z,2025-04-04T17:04:48Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,5621659617,157,,5621659625,141,100.0,5621659629,213,0.63,5621659623,140,86.5,5621659631,1,,5621659627,212,77.7,5621659621,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595075,3,5,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,1,14.7,-1.0,2025-04-04T17:01:31.556Z,2025-04-04T18:03:24Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,5621659723,56,Back,5621659725,347,,5621659735,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595061,5,5,1,0,7,7gkglopz9cjsysn2u6sbhuvc5,0,85.3,101.0,2025-04-04T17:01:31.556Z,2025-04-04T18:03:25Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,5621659751,233,3,5621659635,347,,5621659633,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595119,4,1,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,1,20.3,0.0,2025-04-04T17:01:34.315Z,2025-04-04T17:01:39Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,5621659949,212,13.5,5621659945,140,11.8,5621659951,213,2.29,5621659947,141,12.9,5621659943,56,Back,5621659941,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595145,5,1,1,0,14,8cfkisxf1fkxdqtt6tx1tup48,0,12.1,12.9,2025-04-04T17:01:38.875Z,2025-04-04T17:01:41Z,7al9w77ailhli8g487tkl32tw,M. Westergren,,5621660073,141,25.9,5621660075,212,51.0,5621660079,1,,5621660063,155,,5621660071,140,59.9,5621660077,213,0.17,5621660067,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
