id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2703392831,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-07-26T16:08:41.276Z,2024-07-26T16:59:06Z,,,,,5117834747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117834741,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5117834745,130,4,5117834739,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 80s55a7uw8kypoikefwhtdm5m, 2g019dl7zougqjo7usig0rf11, 1b32j0lqi7ggcabdra4tygxzo, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw, 15jhbyn4wsbd865fd9djcwaok",5117834743,59,"16, 20, 2, 8, 4, 29, 6, 18, 17, 10, 30, 1, 11, 14, 15, 21, 24, 26, 28, 40",5117891737,197,4604,5117834749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117891735,194,4clmd8g8jogdfvauhijd7n55h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703393391,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-07-26T16:11:30.008Z,2024-07-26T16:59:05Z,,,,,5117891733,197,9535,5117837877,59,"1, 3, 5, 22, 2, 4, 10, 7, 27, 26, 11, 6, 9, 12, 21, 24, 28, 30, 31, 32",5117837883,194,619s1phj5bkgkug3aszc1y9cl,5117837875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5117837885,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117837873,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 1icurh5jrnw1e6jdgqxjnhdnu, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 2pm5oqzyonn0dysa5nszgq3xm, 74m58jsznzu8l89b8h7rkh1bd, 619s1phj5bkgkug3aszc1y9cl, bmvcofmie6om4muxij4kdkro4, 3mcj3wypzq3lno1ehc0vif1sl, e2aqcawslcbpp88nia8eko2y1, 11ngumxajbizagbzpm5kompxx, 98zlz2sscsf6vb7d52ici074k, 2lc9bt5639t572il73e9y044, 4ti8pdx03j8dh4mdb626ltmvo, eu574m78nqv6a5638b44oquqc, 3mgrufy83uhzs9liw8pwxi784, e0u730to91qqtvvx16uhajz10, 18g25rcpd99fe1gvr48uoqmtw, k43cten7yb6p59yo0firhb84",5117837881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117837879,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403161,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-07-26T17:02:08.293Z,2024-07-26T17:02:08Z,,,,,5117893749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403165,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-07-26T17:02:08.293Z,2024-07-27T16:45:48Z,,,,,5117893769,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403185,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2024-07-26T17:02:08.294Z,2024-07-26T17:02:14Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5117893865,140,34.6,5117893867,141,37.1,5117893873,279,S,5117893869,212,18.4,5117893871,213,3.64,5117893863,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403197,4,1,1,0,5,dbl7ir1qugqz8nvp1vzn8im50,1,32.9,37.0,2024-07-26T17:02:13.966Z,2024-07-27T21:24:34Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5117893951,1,,5117893947,212,48.4,5117893945,141,69.0,5117893941,56,Center,5120539505,157,,5117893943,140,74.1,5117893949,213,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403201,5,43,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-07-26T17:02:15.665Z,2024-07-26T17:03:18Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5117893961,56,Center,5117893963,286,0,5117894943,144,44,5117893981,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403195,3,43,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-07-26T17:02:15.666Z,2024-07-26T17:03:20Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5117893937,285,0,5117894983,144,44,5117893935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403215,6,1,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,0,74.1,69.0,2024-07-26T17:02:16.112Z,2024-07-26T17:02:21Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5117894029,141,65.4,5117894023,3,,5117894033,213,5.83,5117894031,212,5.6,5117894025,56,Center,5117894027,140,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703405049,67,44,1,0,11,8cfkisxf1fkxdqtt6tx1tup48,1,19.2,33.0,2024-07-26T17:02:19.340Z,2024-07-27T23:14:12Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5117905887,56,Back,5117905891,233,7,5117905889,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
