id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2815273343,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-05-16T16:03:23.613Z,2025-05-16T16:49:45Z,,,,,5730258251,197,9535,5730119715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730119713,194,619s1phj5bkgkug3aszc1y9cl,5730119707,59,"1, 31, 21, 4, 23, 3, 7, 28, 8, 11, 10, 5, 14, 17, 20, 22, 24, 26, 29, 33",5730119709,130,13,5730119703,30,"dqqswfn9s1tdxjoslts8ks6xg, k43cten7yb6p59yo0firhb84, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 7al9w77ailhli8g487tkl32tw, 4m7gr5z6b40dj02yrmlwgeluc, 619s1phj5bkgkug3aszc1y9cl, 3mgrufy83uhzs9liw8pwxi784, 444n8m1tirk6lp739iigw42c5, abhfq12njxxutqjtb9zvcusyc, 74m58jsznzu8l89b8h7rkh1bd, 1icurh5jrnw1e6jdgqxjnhdnu, egxik3guom123v43rthy89c7o, 6orujbbswf771s9rv0dcd8kd0, d2ukggo2v5jsw4pctznmaijo4, 5nved2kta2hk8103hkyhq33hm, eu574m78nqv6a5638b44oquqc, 3mcj3wypzq3lno1ehc0vif1sl, bwxxfcjd31gykfbpomwr1od90, 5jv4a1295xd5oonpj9w9fy61g",5730119705,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730119711,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815274569,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-05-16T16:05:44.501Z,2025-05-16T16:58:58Z,,,,,5730126471,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5730266609,197,19798,5730126469,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, ezbixgm2km8iapnsl57bn4wkp, 2uellcocrvapu7o70g5zdcmad, 9213debwtuph6cjborx73sx78, kqj7nh6pqmqbt0abyyu0fcpg, e8vt8711wb40afht2v13omket, x3ad9hfxts6jpfugy3kvq9d5, 86mx27krl6c613x6e3t9g3cic, 8i0o1b8rjsab9se3v6vteqmfo, 5mmgppapbchmcj9zdtyw0w5xw, b2gkyjq8emj9pywryc3rycogl, dja68kdmhtsm9x5zqzgtpqas4, ab3nxxoj7bxlnhot9htoex1xw, 4a0jmv6qmwn01iuqp1mhnyzth, 8xe0fufxfgf5cuwgysz3r2j85, e3n8xatusmgu7ttqpfdjanp3p, 1j48dmn5tafd2gp4rjmjlbm6s",5730126477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5730126479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730126473,59,"1, 2, 3, 8, 5, 4, 10, 6, 15, 18, 11, 9, 13, 16, 21, 27, 28, 30, 33",5730126475,130,8,5730266607,194,ezbixgm2km8iapnsl57bn4wkp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299369,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-05-16T17:00:03.627Z,2025-05-16T17:00:03Z,,,,,5730268521,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299371,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-05-16T17:00:03.627Z,2025-05-16T17:00:05Z,,,,,5730268529,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299385,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,50.1,50.0,2025-05-16T17:00:03.628Z,2025-05-16T17:00:06Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5730268601,212,21.6,5730268603,213,3.05,5730268599,141,53.0,5730268595,56,Back,5730268605,279,S,5730268597,140,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299393,4,1,1,0,3,8cfkisxf1fkxdqtt6tx1tup48,0,28.2,60.3,2025-05-16T17:00:06.667Z,2025-05-16T17:00:16Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5730268657,56,Center,5730268667,1,,5730268665,213,6.04,5730268655,157,,5730268659,140,89.9,5730268663,212,66.7,5730268661,141,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299423,4,1,1,0,12,ajtb177oqwawkdwbqhldmq6mx,1,5.8,65.8,2025-05-16T17:00:16.464Z,2025-05-16T17:00:19Z,9y3vs6l0mjj38z0kw062jlh3p,A. Vaporakis,,,5730268859,213,0.03,5730268853,140,30.2,5730268855,141,67.0,5730268851,56,Back,5730268849,123,,5730268857,212,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299429,5,1,1,0,15,ajtb177oqwawkdwbqhldmq6mx,1,30.9,64.8,2025-05-16T17:00:19.240Z,2025-05-16T17:00:22Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5730268891,212,24.1,5730268885,56,Back,5730268889,141,82.6,5730268887,140,11.1,5730268893,213,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299437,6,1,1,0,18,ajtb177oqwawkdwbqhldmq6mx,0,11.1,82.4,2025-05-16T17:00:21.872Z,2025-05-16T17:00:23Z,9213debwtuph6cjborx73sx78,O. Søe,,,5730268945,213,5.91,5730268947,1,,5730268939,140,44.4,5730268941,141,62.4,5730268935,155,,5730268943,212,37.5,5730268937,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299441,5,8,1,0,20,8cfkisxf1fkxdqtt6tx1tup48,1,68.7,40.0,2025-05-16T17:00:23.690Z,2025-05-16T17:00:24Z,7al9w77ailhli8g487tkl32tw,M. Westergren,,,5730268963,56,Center,5730268979,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299461,7,1,1,0,21,ajtb177oqwawkdwbqhldmq6mx,1,31.3,41.3,2025-05-16T17:00:25.009Z,2025-05-16T18:35:32Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5730269081,3,,5730269087,141,13.1,5730269089,212,21.1,5730269083,56,Back,5730269085,140,39.7,5730269091,213,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299481,8,1,1,0,25,ajtb177oqwawkdwbqhldmq6mx,1,37.6,8.2,2025-05-16T17:00:29.528Z,2025-05-16T18:35:35Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5730269219,212,38.6,5730269213,56,Right,5730269215,140,74.3,5730269221,213,0.03,5730269211,157,,5730269223,1,,5730269217,141,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299485,9,1,1,0,30,ajtb177oqwawkdwbqhldmq6mx,1,72.4,10.7,2025-05-16T17:00:34.520Z,2025-05-16T18:36:57Z,x3ad9hfxts6jpfugy3kvq9d5,C. Björk,,,5730269233,141,16.1,5730269235,212,6.6,5730269231,140,67.2,5730269229,56,Right,5730269237,213,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299491,10,1,1,0,32,ajtb177oqwawkdwbqhldmq6mx,1,66.5,16.2,2025-05-16T17:00:36.015Z,2025-05-16T17:00:38Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5730269273,141,29.2,5730269275,212,8.9,5730269271,140,67.8,5730269269,56,Center,5730269277,213,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299501,11,1,1,0,33,ajtb177oqwawkdwbqhldmq6mx,1,66.8,28.3,2025-05-16T17:00:36.896Z,2025-05-16T18:42:20Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5730269311,56,Center,5730269317,212,20.2,5730269319,213,6.24,5730269313,140,86.0,5730269315,141,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299507,12,61,1,0,34,ajtb177oqwawkdwbqhldmq6mx,0,77.5,20.3,2025-05-16T17:00:37.825Z,2025-05-16T18:42:23Z,x3ad9hfxts6jpfugy3kvq9d5,C. Björk,,,5730641365,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299509,6,12,1,0,35,8cfkisxf1fkxdqtt6tx1tup48,1,14.8,71.7,2025-05-16T17:00:39.291Z,2025-05-16T17:00:40Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5730269361,212,0.9,5730269359,141,72.7,5730269363,213,0.91,5730269355,56,Back,5730269357,140,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299515,7,1,1,0,36,8cfkisxf1fkxdqtt6tx1tup48,1,16.0,71.7,2025-05-16T17:00:40.260Z,2025-05-16T17:00:41Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5730269395,140,21.2,5730269397,141,67.0,5730269401,213,5.75,5730269399,212,6.3,5730269393,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
