id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2787798779,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-03-14T16:59:39.500Z,2025-03-14T17:58:56Z,,,,,5578859163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578859167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578859159,59,"1, 3, 5, 4, 7, 21, 6, 12, 9, 8, 17, 10, 11, 14, 22, 23, 25, 26, 27, 34",5578859165,194,5z7y55t2o577r8ki3i5855as,5578964853,197,16344,5578859155,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, elsygne5tjybbxrqgehtovnro, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, 5dlh0fa9yo6z283w9p58xmnoq, 1fjkjzsei9slx2t4zhsqdkve1, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, bop31qof3lon7u6rvmb68ktzp, akiwokthm1z7rbifshqhs24t1, 3rok7i8nrt4yzx2melj4qiuqc, e0u730to91qqtvvx16uhajz10, 3avg1grraylzm6xjt5kt18is4, 559w0q3q2smb3aeotyi724s9g, h7epk76hlpd9fi38jzyu7ac4, 85a9bmnu6fqvhlff28qm0e0a1, 7l7f98nn8gohmdacsdb2labkk",5578859157,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5578859161,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787800065,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-03-14T17:03:21.721Z,2025-03-15T21:52:45Z,,,,,5578865997,59,"1, 2, 3, 8, 28, 20, 18, 6, 11, 29, 10, 7, 16, 17, 21, 24, 30, 31, 32",5578866005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578865995,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5578866003,194,ezbixgm2km8iapnsl57bn4wkp,5578865993,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, ezbixgm2km8iapnsl57bn4wkp, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 86mx27krl6c613x6e3t9g3cic, e8vt8711wb40afht2v13omket, 8i0o1b8rjsab9se3v6vteqmfo, 8viazilbghyogmhd7w3lg2six, kqj7nh6pqmqbt0abyyu0fcpg, 6otr0cifkk9jbmxc2ew2spka, dja68kdmhtsm9x5zqzgtpqas4, egnjbmbxkceiygmp2jty4b47o, ab3nxxoj7bxlnhot9htoex1xw, 2k5289tevc2gxo04i83io5a3u, e3n8xatusmgu7ttqpfdjanp3p, 7k2c7wgoywy7boesjer5578q1, 52xeb867n93p1wftf42wxu1w4",5578963901,197,19798,5578866001,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5578865999,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787818853,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-03-14T17:59:44.408Z,2025-03-14T17:59:46Z,,,,,5578968127,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787818847,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-03-14T17:59:44.408Z,2025-03-14T17:59:44Z,,,,,5578968105,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787818863,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.1,49.9,2025-03-14T17:59:44.409Z,2025-03-14T17:59:47Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5578968171,140,29.0,5578968179,279,S,5578968169,56,Back,5578968177,213,2.76,5578968175,212,23.9,5578968173,141,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787818895,4,1,1,0,2,ajtb177oqwawkdwbqhldmq6mx,0,29.0,63.1,2025-03-14T17:59:47.372Z,2025-03-14T17:59:49Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5578968329,213,5.71,5578968321,56,Right,5578968331,1,,5578968319,157,,5578968323,140,79.7,5578968327,212,63.2,5578968325,141,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787818897,3,12,1,0,6,aqtkb4mgrz8c6iqfufj6qjbv9,1,19.7,73.9,2025-03-14T17:59:50.744Z,2025-03-14T17:59:53Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5578968339,212,11.2,5578968341,213,5.76,5578968333,56,Back,5578968355,15,,5578968337,141,65.7,5578968335,140,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787818909,4,61,1,0,9,aqtkb4mgrz8c6iqfufj6qjbv9,1,27.5,63.9,2025-03-14T17:59:53.476Z,2025-03-14T17:59:54Z,1n4eldqa7h9jvcx1693zqu06i,T. Arndal,,,5578968385,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787818915,5,1,1,0,10,ajtb177oqwawkdwbqhldmq6mx,1,68.2,29.5,2025-03-14T17:59:54.891Z,2025-03-14T20:22:37Z,86mx27krl6c613x6e3t9g3cic,F. Isaki,,,5578968441,140,61.8,5578968439,56,Center,5578968445,212,8.0,5578968447,213,2.57,5578968443,141,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787818923,6,1,1,0,11,ajtb177oqwawkdwbqhldmq6mx,1,56.0,38.9,2025-03-14T17:59:56.211Z,2025-03-14T18:10:15Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5578968461,141,18.4,5578968457,56,Right,5578968469,213,4.41,5578968459,140,51.9,5578968467,212,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
