id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value
2738529671,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-10-25T16:14:29.444Z,2024-10-25T20:48:19Z,,,,5311597449,194,8uhv14rin2znrr0wqgvcc2f2t,5310649215,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310649213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310649211,130,2,5310649207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5310649209,59,"1, 25, 12, 18, 4, 24, 22, 20, 21, 11, 14, 9, 10, 15, 17, 19, 31, 33, 34, 45",5310678185,197,21756,5310649205,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, 6k7khwtkxpem9z17bl5rrf2p6, dfxs5u8rdcxhzp33aks3acdn8, cqsc3mj8klukkgutdrpegybdg, 3epwf56ozg73hueacwmckk0r9, eso2tbbpnxu9qvx6zy07m5jx0, a48bpdpt0siemxqtr3rubwbu, 81w1fqi66z0ibawynhraybaxg, cl4xl80n4gew1ox03r3ooshrd, 9dh7cnu4uzbraeck0t5iqlj4k, dsfbfzwy3c06mu50ee89qrbsa, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738534051,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-10-25T16:24:16.974Z,2024-10-25T17:03:56Z,,,,5310677955,197,16110,5310673555,59,"1, 3, 27, 2, 7, 21, 6, 20, 9, 8, 17, 10, 12, 18, 19, 22, 23, 26, 29, 34",5310673551,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, 9350utk4onh2hv5jznxqpkd7t, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, bpldj4qdzfdm1n739atcadbmc, 1fjkjzsei9slx2t4zhsqdkve1, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, bop31qof3lon7u6rvmb68ktzp, 5dlh0fa9yo6z283w9p58xmnoq, 9lsylzgf7e3i5zb0fshnxo6xg, 1hlx5mvl8th7y82gocnuxacd0, b8tw9d3b8tgnfezy68vadwnx0, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk",5310673553,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5310673559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310673563,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310673557,130,17,5310673561,194,5z7y55t2o577r8ki3i5855as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554911,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-10-25T17:02:56.959Z,2024-10-25T17:02:59Z,,,,5310782745,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554895,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-10-25T17:02:56.959Z,2024-10-28T13:56:15Z,,,,5310782635,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554931,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2024-10-25T17:02:56.960Z,2024-10-25T17:03:00Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,5310782835,56,Back,5310782845,279,S,5310782843,213,2.95,5310782841,212,16.2,5310782839,141,54.6,5310782837,140,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554959,4,1,1,0,2,a9vw7ikerpr4cuweeeka5aneg,1,34.9,54.6,2024-10-25T17:02:59.831Z,2024-10-25T17:03:01Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,5310782977,56,Back,5310782979,140,32.3,5310782981,141,85.8,5310782983,212,21.4,5310782985,213,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554987,5,1,1,0,4,a9vw7ikerpr4cuweeeka5aneg,1,32.3,85.8,2024-10-25T17:03:01.615Z,2024-10-25T17:03:03Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,5310783139,140,24.4,5310783141,141,74.4,5310783143,212,11.4,5310783137,56,Back,5310783147,213,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738555053,6,1,1,0,6,a9vw7ikerpr4cuweeeka5aneg,1,24.4,74.4,2024-10-25T17:03:03.536Z,2024-10-25T17:03:09Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,5310783495,140,21.3,5310783493,56,Back,5310783501,213,4.61,5310783499,212,33.1,5310783503,1,,5310783497,141,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738555071,7,1,1,0,12,a9vw7ikerpr4cuweeeka5aneg,0,21.2,24.4,2024-10-25T17:03:09.592Z,2024-10-25T17:03:10Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,5310783573,213,5.85,5310783575,1,,5310783571,212,41.0,5310783567,140,56.7,5310783569,141,0.0,5310783563,155,,5310783565,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738555285,3,5,1,0,13,aqtkb4mgrz8c6iqfufj6qjbv9,1,40.8,101.2,2024-10-25T17:03:10.364Z,2024-10-25T19:09:43Z,uiyol728wan4mxco2foplknp,A. Justinussen,,5310784649,56,Back,5310784651,347,,5310784661,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
