id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/value
2811861635,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-05-08T16:00:08.599Z,2025-05-08T20:36:14Z,,,,,5711262791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5711262785,130,13,5711262783,59,"1, 11, 27, 2, 7, 4, 12, 6, 8, 9, 17, 3, 10, 16, 21, 22, 23, 25, 26, 34",5711262789,194,5z7y55t2o577r8ki3i5855as,5711296389,197,16344,5711262787,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5711262779,30,"8mswl5vzza12hylodrrsq3zvu, akiwokthm1z7rbifshqhs24t1, 85a9bmnu6fqvhlff28qm0e0a1, 9350utk4onh2hv5jznxqpkd7t, 5z7y55t2o577r8ki3i5855as, 5i6n6yne6fh410vk7p7kkokmi, 5dlh0fa9yo6z283w9p58xmnoq, 2tcdx5rp7vujnlid4oqqxdogk, 1n4eldqa7h9jvcx1693zqu06i, 1fjkjzsei9slx2t4zhsqdkve1, uiyol728wan4mxco2foplknp, 81gka3mi69fh8gyehyy8xo9as, bop31qof3lon7u6rvmb68ktzp, f0nicq49lzng7vjxm5gcpij8, khqldwfq14b7giakss24l9t5, e0u730to91qqtvvx16uhajz10, 3avg1grraylzm6xjt5kt18is4, 559w0q3q2smb3aeotyi724s9g, h7epk76hlpd9fi38jzyu7ac4, 7l7f98nn8gohmdacsdb2labkk",5711262781,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811861759,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-05-08T16:04:03.039Z,2025-05-08T20:00:34Z,,,,,5711296265,197,19798,5711263849,59,"1, 33, 21, 27, 28, 20, 18, 6, 11, 16, 10, 4, 5, 8, 9, 13, 15, 17, 30",5711263851,130,8,5711263845,30,"9y3vs6l0mjj38z0kw062jlh3p, 1j48dmn5tafd2gp4rjmjlbm6s, ab3nxxoj7bxlnhot9htoex1xw, 4a0jmv6qmwn01iuqp1mhnyzth, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 86mx27krl6c613x6e3t9g3cic, e8vt8711wb40afht2v13omket, 8i0o1b8rjsab9se3v6vteqmfo, dja68kdmhtsm9x5zqzgtpqas4, kqj7nh6pqmqbt0abyyu0fcpg, 9213debwtuph6cjborx73sx78, 2uellcocrvapu7o70g5zdcmad, ezbixgm2km8iapnsl57bn4wkp, 5mmgppapbchmcj9zdtyw0w5xw, b2gkyjq8emj9pywryc3rycogl, x3ad9hfxts6jpfugy3kvq9d5, egnjbmbxkceiygmp2jty4b47o, e3n8xatusmgu7ttqpfdjanp3p",5711296263,194,4a0jmv6qmwn01iuqp1mhnyzth,5711263853,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5711263855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5711263847,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811866953,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-05-08T17:00:12.752Z,2025-05-08T17:00:13Z,,,,,5711297205,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811866955,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-05-08T17:00:12.752Z,2025-05-08T17:00:15Z,,,,,5711297223,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811866957,3,1,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,50.0,50.0,2025-05-08T17:00:12.753Z,2025-05-08T17:00:14Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5711297235,213,3.65,5711297227,56,Back,5711297233,212,19.1,5711297229,140,34.1,5711297237,279,S,5711297231,141,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811866959,4,1,1,0,1,aqtkb4mgrz8c6iqfufj6qjbv9,1,33.9,36.1,2025-05-08T17:00:14.216Z,2025-05-08T17:00:17Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5711297247,140,34.7,5711297245,56,Back,5711297249,141,20.7,5711297251,212,10.5,5711297253,213,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811866961,5,1,1,0,4,aqtkb4mgrz8c6iqfufj6qjbv9,1,36.8,19.8,2025-05-08T17:00:17.144Z,2025-05-08T17:00:19Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5711297261,141,27.6,5711297259,140,42.4,5711297263,212,7.9,5711297265,213,0.73,5711297257,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811866963,6,4,1,0,6,aqtkb4mgrz8c6iqfufj6qjbv9,1,41.4,20.0,2025-05-08T17:00:19.057Z,2025-05-08T19:05:21Z,5dlh0fa9yo6z283w9p58xmnoq,N. Schmidt,,,5711297271,56,Back,5711297277,286,,5711297269,13,,5711297273,152,,5711297307,233,3,5711297275,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811866967,3,4,1,0,6,ajtb177oqwawkdwbqhldmq6mx,0,58.6,80.0,2025-05-08T17:00:19.058Z,2025-05-08T19:05:21Z,dja68kdmhtsm9x5zqzgtpqas4,T. Blidegn,,,5711297305,285,,5711297297,13,,5711297303,265,,5711297323,233,6,5711297299,56,Left,5711297301,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811866973,7,1,1,0,14,aqtkb4mgrz8c6iqfufj6qjbv9,1,41.2,28.2,2025-05-08T17:00:27.272Z,2025-05-08T17:00:29Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5711297357,212,5.9,5711297351,56,Back,5711297349,152,,5711297347,5,,5711297355,141,36.7,5711297359,213,1.79,5711297353,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
