id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2747659325,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-11-11T17:10:41.722Z,2024-11-11T19:52:33Z,,,,,5360330677,130,10,5360331053,194,cflwegqpzch8y30pb3dhigqnd,5360330673,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5360330681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5360330679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5360330671,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, 9xub4z9b3bog8wqhn5yfihecp, 8gqvlydur0v4cpmz1ozqkejh0, 4qyfoq5fjiochtj89w426lm21, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, lu9bber07etravimh00k745x, 1xcf8y3egy8j0g2c6xkcx6o6h, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, e0rgqk3gxzs005m9ok9hvp1ck, bpoqmt2dwwsm57vdfrm9stvro, 2f0p63eeg2yc4jsyotle88q38, 8q8yol44e42o9hwttlopznvh0, beu3ypladd5dexnm9x946kjkk",5360436687,197,18945,5360330675,59,"25, 7, 27, 13, 12, 18, 11, 8, 23, 9, 10, 1, 3, 6, 16, 20, 26, 29, 43, 22, 47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747661505,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-11-11T17:15:40.560Z,2024-11-11T20:14:06Z,,,,,5360342423,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5360342427,130,13,5360436859,197,16344,5360437577,194,5z7y55t2o577r8ki3i5855as,5360342425,59,"1, 3, 27, 2, 7, 21, 6, 20, 9, 12, 8, 4, 18, 22, 23, 26, 29, 34, 19",5360342421,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, 9350utk4onh2hv5jznxqpkd7t, 5z7y55t2o577r8ki3i5855as, khqldwfq14b7giakss24l9t5, 2tcdx5rp7vujnlid4oqqxdogk, bpldj4qdzfdm1n739atcadbmc, 1fjkjzsei9slx2t4zhsqdkve1, 5dlh0fa9yo6z283w9p58xmnoq, 1n4eldqa7h9jvcx1693zqu06i, 5i6n6yne6fh410vk7p7kkokmi, 9lsylzgf7e3i5zb0fshnxo6xg, b8tw9d3b8tgnfezy68vadwnx0, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk, f0nicq49lzng7vjxm5gcpij8",5360342429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5360342431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747678589,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-11-11T18:02:08.566Z,2024-11-11T18:02:08Z,,,,,5360444479,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747678605,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-11-11T18:02:08.566Z,2024-11-11T18:02:11Z,,,,,5360444599,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747678595,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,49.7,50.3,2024-11-11T18:02:08.567Z,2024-11-11T18:02:10Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,,,5360444529,56,Back,5360444537,213,2.01,5360444541,278,,5360444533,141,53.6,5360444539,279,S,5360444531,140,48.7,5360444535,212,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747678603,4,1,1,0,1,b2vft81kyjurzbmekvgrqwr64,1,48.7,53.6,2024-11-11T18:02:10.199Z,2024-11-11T18:02:11Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5360444593,213,1.72,5360444587,140,47.4,5360444589,141,66.9,5360444585,56,Back,5360444591,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747678627,5,1,1,0,4,b2vft81kyjurzbmekvgrqwr64,1,48.1,74.1,2024-11-11T18:02:13.288Z,2024-11-11T18:02:15Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5360444753,140,56.6,5360444757,212,10.9,5360444755,141,83.3,5360444759,213,0.61,5360444751,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747678637,6,1,1,0,6,b2vft81kyjurzbmekvgrqwr64,1,56.6,83.3,2024-11-11T18:02:15.472Z,2024-11-11T18:02:17Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5360444825,141,75.9,5360444829,213,3.43,5360444821,56,Back,5360444823,140,40.6,5360444827,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747678639,7,1,1,0,7,b2vft81kyjurzbmekvgrqwr64,0,40.6,75.9,2024-11-11T18:02:16.232Z,2024-11-11T20:39:13Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5360444839,140,61.3,5360444847,213,5.93,5360444835,157,,5360444837,56,Center,5360444845,212,23.2,5360444849,1,,5360444841,141,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747678641,3,1,1,0,8,aqtkb4mgrz8c6iqfufj6qjbv9,0,39.0,35.4,2024-11-11T18:02:16.698Z,2024-11-11T18:02:18Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5360444853,56,Center,5360444857,141,34.9,5360444855,140,68.1,5360444851,157,,5360444859,212,30.6,5360444863,1,,5360444861,213,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
