id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2781515311,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-02-27T17:14:42.481Z,2025-02-27T19:00:09Z,,,,,5544388871,130,7,5544388869,59,"1, 30, 42, 6, 25, 2, 16, 14, 9, 8, 22, 7, 10, 15, 18, 21, 24, 26, 28, 29",5544388867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5544388875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5544446881,197,26410,5544388873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5544446879,194,a30gduuv9d1s4pkthgu2jhyol,5544388865,30,"bl9em2c9quspd4afzwqn81xxw, 45dqseup0cmujyl4nprr29y0a, db671oj1jx2uknf12t8b3s7x0, 4oxf446ya7jwulq6hxlp8r36d, 630daj1ef34rczbhng0eoncvd, a30gduuv9d1s4pkthgu2jhyol, 1cumsropo1r0msfzxxteml1w, 9r07ooissj5mz15g87x5rmbx1, 9tt9eo9bsff7dp7aqjal1obo4, dm6xpphbyyooqriwaambi7njd, dncrhma6gwcn6pxiu7hfc6qz8, 2cup1vjw8n43kbzzxfflnmplg, 615e0bjcd0tyge047sy43y5sl, bfvdr7ckiersz26ya2kq9f1g4, 1basznqpux0hkrrd06eaxodsl, 37rzipex1y0nhv8o2dr7h2bys, 5e5fuj7mbkpvf0bug32ixxc5x, 3njsc9nturnshsiofmiy19gr8, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781515447,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-02-27T17:15:27.860Z,2025-02-27T18:02:22Z,,,,,5544389533,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5544389537,130,4,5544446349,194,3od63zrf6cay4d6ync9i2iuqc,5544389535,59,"90, 14, 17, 6, 4, 5, 13, 21, 22, 97, 7, 1, 2, 3, 8, 9, 11, 19, 20, 98",5544389541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5544446351,197,11644,5544389539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5544389531,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 7ztdirfvd9d0x2yw1v051xzbo, 23sc7wc7my7wes6cuaxw1v0no, 876cmwkx9p9wsqgdddfzmipzo, y4dl1rer075c9wz6zhx7skbt, ayxi2m0g0pm6rl1ba5pto66z9, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 6wfu6s6xo5zjeke21fgbouql0, 6lb4k3g75nzgi8bp1y1mzxkru, 4m3slt6iikaxklqd12i719rl5, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, 289rctmvd5ppy9zqn98jbe4et",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525425,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-02-27T18:00:30.497Z,2025-02-27T18:00:32Z,,,,,5544447827,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525421,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-02-27T18:00:30.497Z,2025-02-28T09:53:57Z,,,,,5544447807,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525435,3,1,1,0,0,6wwwud48qahpwrfxs20334qk5,1,50.2,49.9,2025-02-27T18:00:30.571Z,2025-02-27T18:00:33Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5544447863,279,S,5544447859,212,13.5,5544447861,213,2.80,5544447853,56,Back,5544447857,141,56.6,5544447855,140,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525451,4,1,1,0,2,6wwwud48qahpwrfxs20334qk5,0,38.1,56.6,2025-02-27T18:00:33.348Z,2025-02-27T18:54:43Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5544447997,56,Center,5544448007,1,,5544447999,140,68.1,5544448005,213,5.81,5544447995,157,,5544448003,212,35.3,5544448001,141,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525455,3,1,1,0,3,8gxd9ry2580pu1b1dd5ny9ymy,1,32.1,77.6,2025-02-27T18:00:33.904Z,2025-02-27T18:00:36Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5544448025,3,,5544448035,213,0.18,5544448029,140,44.1,5544448033,212,12.8,5544448027,56,Back,5544448031,141,80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525465,4,1,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,0,44.1,80.9,2025-02-27T18:00:36.215Z,2025-02-27T18:03:01Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,,5544448081,141,79.0,5544448085,213,6.18,5544448075,3,,5544448083,212,12.8,5544448079,140,56.2,5544451537,168,,5544448077,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525511,5,1,1,0,8,6wwwud48qahpwrfxs20334qk5,1,30.3,15.5,2025-02-27T18:00:39.491Z,2025-02-27T18:00:46Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5544448359,212,25.4,5544448353,56,Back,5544448357,141,41.3,5544448361,213,2.38,5544448355,140,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525525,6,1,1,0,15,6wwwud48qahpwrfxs20334qk5,1,13.4,46.1,2025-02-27T18:00:46.420Z,2025-02-27T18:00:50Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,,5544448435,1,,5544448433,213,5.51,5544448429,141,6.8,5544448431,212,38.1,5544448427,140,39.3,5544448423,155,,5544448425,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525531,7,1,1,0,19,6wwwud48qahpwrfxs20334qk5,0,39.3,6.8,2025-02-27T18:00:49.667Z,2025-02-28T10:02:47Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5544448461,213,0.38,5544448453,56,Back,5544448457,141,11.0,5544448455,140,46.2,5544448459,212,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525541,5,1,1,0,20,8gxd9ry2580pu1b1dd5ny9ymy,1,56.9,76.3,2025-02-27T18:00:51.063Z,2025-02-27T18:00:52Z,db671oj1jx2uknf12t8b3s7x0,M. Coşkun,,,5544448497,56,Center,5544448501,141,66.6,5544448503,212,11.1,5544448505,213,5.65,5544448499,140,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525555,7,1,1,0,22,8gxd9ry2580pu1b1dd5ny9ymy,1,65.4,66.6,2025-02-27T18:00:52.666Z,2025-02-27T18:00:54Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5544448569,141,67.8,5544448571,212,6.4,5544448573,213,3.01,5544448567,140,59.4,5544448565,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525563,8,1,1,0,23,8gxd9ry2580pu1b1dd5ny9ymy,1,59.4,67.8,2025-02-27T18:00:53.815Z,2025-02-27T18:00:56Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5544448605,56,Center,5544448611,212,4.8,5544448607,140,64.0,5544448613,213,0.08,5544448609,141,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525569,9,61,1,0,25,8gxd9ry2580pu1b1dd5ny9ymy,1,64.0,68.4,2025-02-27T18:00:55.879Z,2025-02-27T20:11:16Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5544448627,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525575,10,43,1,0,25,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-02-27T18:00:56.471Z,2025-02-28T10:03:11Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5544448673,141,75.4,5544448677,213,1.82,5544448675,212,4.6,5544966765,144,1,5544448669,56,Center,5544448671,140,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525577,11,1,1,0,28,8gxd9ry2580pu1b1dd5ny9ymy,1,63.0,75.4,2025-02-27T18:00:58.777Z,2025-02-27T18:00:59Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,,5544448711,140,62.3,5544448715,212,7.6,5544448713,141,64.3,5544448709,56,Center,5544448717,213,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525589,12,1,1,0,28,8gxd9ry2580pu1b1dd5ny9ymy,0,62.3,64.3,2025-02-27T18:00:59.488Z,2025-02-27T18:01:01Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5544448783,141,100.0,5544448787,213,1.37,5544448785,212,26.1,5544448781,140,67.2,5544448779,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525645,8,5,1,0,30,6wwwud48qahpwrfxs20334qk5,1,33.2,-2.0,2025-02-27T18:01:00.922Z,2025-02-27T18:53:21Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5544449095,56,Back,5544449097,347,,5544449115,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525591,13,5,1,0,30,8gxd9ry2580pu1b1dd5ny9ymy,0,66.8,102.0,2025-02-27T18:01:00.922Z,2025-02-27T18:53:21Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5544448793,347,,5544449119,233,8,5544448791,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525663,9,1,1,0,44,6wwwud48qahpwrfxs20334qk5,0,35.0,0.0,2025-02-27T18:01:14.699Z,2025-02-27T18:01:17Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5544449197,140,65.3,5544449193,107,,5544449195,56,Right,5544449201,212,33.3,5544449203,213,0.30,5544449199,141,13.2,5544449205,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525681,14,12,1,0,48,8gxd9ry2580pu1b1dd5ny9ymy,1,34.9,81.4,2025-02-27T18:01:18.654Z,2025-02-28T10:04:01Z,db671oj1jx2uknf12t8b3s7x0,M. Coşkun,,,5544449297,15,,5544449287,140,26.8,5544449289,141,66.1,5544449293,213,4.03,5544449285,56,Back,5544449291,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525693,16,1,1,0,53,8gxd9ry2580pu1b1dd5ny9ymy,1,27.2,66.4,2025-02-27T18:01:24.051Z,2025-02-27T18:01:25Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5544449375,140,8.7,5544449377,141,44.3,5544449379,212,24.6,5544449371,56,Back,5544449381,213,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525701,17,1,1,0,54,8gxd9ry2580pu1b1dd5ny9ymy,1,8.7,44.3,2025-02-27T18:01:25.050Z,2025-02-27T18:01:28Z,bl9em2c9quspd4afzwqn81xxw,T. Sander,,,5544449451,140,37.0,5544449453,141,46.9,5544449455,212,29.8,5544449447,157,,5544449459,1,,5544449457,213,0.06,5544449449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525703,18,1,1,0,55,8gxd9ry2580pu1b1dd5ny9ymy,0,37.0,46.9,2025-02-27T18:01:25.830Z,2025-02-27T19:56:15Z,1cumsropo1r0msfzxxteml1w,J. Adjei-Broni,,,5544449495,212,12.5,5544449493,141,52.7,5544449485,3,,5544449491,140,48.3,5544449487,168,,5544449497,213,0.32,5544449489,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781525713,11,1,1,0,57,6wwwud48qahpwrfxs20334qk5,1,28.9,46.2,2025-02-27T18:01:27.859Z,2025-02-27T18:55:42Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5544449559,212,12.3,5544452935,189,,5544449557,141,60.3,5544449555,140,36.2,5544449553,56,Back,5544449561,213,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
