id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2804432115,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-21T13:09:05.489Z,2025-04-21T21:05:44Z,,,,,5670099771,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5670099763,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, 4zpmxlmdfa5wx79cr0q14pfx1, 8ewvm6ux4yvpwgrzjkc1chqwa, 3xz0h3d6r2qgmv9egms8yaz56, 9delpquqv81o7ftrgefb0wpp0, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, 6bajck5osvj7trnwt2a5mc3dg, 9fvf8z6p8ok0n5vu999ysfywa, b6l4m6bmqgil9bjjov4tnuivo, 7xde75gwrng67wvjkugv9xih, f1ba9g771s0zeel0titcj3omi, e3546n3qj447qgmizao50zx1w, bq76t7rh2vynmvwx9mtvnl9g4, 9ircna8pbskreztmy1wiqwx9m, 8h3cyhuw5049gcxrsld3rw1ec, 5moycfv7blzfnjqiruao7dv6c, 4uuqid6t4nspn0wspyltz3bx0",5670099767,59,"99, 7, 10, 3, 4, 30, 23, 20, 22, 24, 14, 1, 11, 12, 16, 17, 18, 19, 33",5670099773,194,3xz0h3d6r2qgmv9egms8yaz56,5670099769,130,17,5670219605,197,12587,5670099765,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5670099775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804438771,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-21T13:20:51.177Z,2025-04-21T13:58:15Z,,,,,5670137501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670137493,30,"2h94np282g0qtzal1czznequi, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, dfxs5u8rdcxhzp33aks3acdn8, 4lxxyqy78jkglhv2w6crzcnsa, 4i0jiisff5k1efcgf27skpqfo, 5w0giylttgiapseaw6qky0mxg, cl4xl80n4gew1ox03r3ooshrd, 3epwf56ozg73hueacwmckk0r9, 6k7khwtkxpem9z17bl5rrf2p6, 81w1fqi66z0ibawynhraybaxg, 6qko3f8w2ap9ynbuq2g55i5n8, a48bpdpt0siemxqtr3rubwbu, bdz03qovxerzrv12lgljae1p0, 51ymbnikkta369rn3exb1g7bo, cqsc3mj8klukkgutdrpegybdg, c2x3pewqx6d9q3c5dup0udxw, 7hso2bszmf4qal560jhrg2904, 61vr9xr91fr4g6ayzga5vn9w5, c6op4xhctaxh6s4db41m19tec",5670137497,59,"31, 25, 14, 20, 24, 34, 18, 15, 11, 22, 10, 3, 9, 12, 16, 21, 26, 27, 33, 30",5670137503,197,21756,5670137499,130,9,5670137495,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670137505,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670219087,194,5w0giylttgiapseaw6qky0mxg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804454917,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-21T14:01:28.306Z,2025-04-21T14:01:29Z,,,,,5670229671,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804454949,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-21T14:01:28.306Z,2025-04-21T14:01:30Z,,,,,5670229827,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804455001,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2025-04-21T14:01:28.307Z,2025-04-21T14:01:32Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5670230149,213,3.13,5670230141,56,Back,5670230151,279,S,5670230145,141,50.6,5670230147,212,25.5,5670230143,140,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804455075,4,1,1,0,3,a9vw7ikerpr4cuweeeka5aneg,0,25.7,50.6,2025-04-21T14:01:31.971Z,2025-04-21T14:07:41Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5670230519,213,5.71,5670230507,56,Right,5670230515,141,12.2,5670230523,1,,5670230511,140,64.6,5670230505,157,,5670230517,212,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804455101,3,44,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,1,34.8,84.8,2025-04-21T14:01:34.801Z,2025-04-21T16:09:27Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,,5670281005,233,5,5670230613,56,Back,5670230615,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804455089,5,44,1,0,6,a9vw7ikerpr4cuweeeka5aneg,0,65.2,15.2,2025-04-21T14:01:34.802Z,2025-04-21T16:09:27Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5670281081,233,3,5670230573,56,Right,5670230575,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804455113,4,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,0,33.9,79.6,2025-04-21T14:01:35.258Z,2025-04-21T16:10:18Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,,5670230673,213,0.10,5670230663,140,48.9,5670230667,141,82.0,5670230661,56,Back,5670230669,212,15.8,5670230659,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804455157,6,43,1,0,7,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-21T14:01:35.434Z,2025-04-21T14:07:45Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5670230829,3,0,5670230833,140,41.6,5670230837,212,24.5,5670281395,144,1,5670230831,56,Back,5670230835,141,18.2,5670230839,213,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804455205,7,1,1,0,9,a9vw7ikerpr4cuweeeka5aneg,0,41.7,18.3,2025-04-21T14:01:37.458Z,2025-04-21T14:08:31Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5670231027,157,,5670231039,141,39.8,5670231045,1,,5670231035,140,91.4,5670231041,212,54.2,5670231031,56,Center,5670231043,213,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804455465,6,1,1,0,20,b8oqgvx1ijeyn6y1cn6929ix4,1,14.9,49.6,2025-04-21T14:01:48.793Z,2025-04-21T14:01:50Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5670232479,141,41.3,5670232475,56,Back,5670232483,213,5.69,5670232481,212,10.0,5670232477,140,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
