id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2812423215,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-05-10T12:01:46.099Z,2025-05-10T12:18:01Z,,,,,5714460735,194,8ewvm6ux4yvpwgrzjkc1chqwa,5714380687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714380683,130,17,5714380677,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, f1ba9g771s0zeel0titcj3omi, 8ewvm6ux4yvpwgrzjkc1chqwa, b55jtl3ixolidn6cvc4t90efo, 9delpquqv81o7ftrgefb0wpp0, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, 9ircna8pbskreztmy1wiqwx9m, 8h3cyhuw5049gcxrsld3rw1ec, b6l4m6bmqgil9bjjov4tnuivo, 7xde75gwrng67wvjkugv9xih, 44gqeji9twbkdtrcr2ias4efo, e3546n3qj447qgmizao50zx1w, aszp26w7k6ycpwmcpvfteov84, bq76t7rh2vynmvwx9mtvnl9g4, 5moycfv7blzfnjqiruao7dv6c, 6bajck5osvj7trnwt2a5mc3dg, 9fvf8z6p8ok0n5vu999ysfywa, 4uuqid6t4nspn0wspyltz3bx0",5714380679,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5714460737,197,12587,5714380681,59,"99, 7, 11, 3, 2, 30, 23, 20, 17, 18, 14, 1, 8, 12, 13, 16, 19, 22, 24, 33",5714380685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812428939,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-05-10T12:08:20.431Z,2025-05-10T14:43:21Z,,,,,5714469833,194,1se7wkenvs4elrapvdw9mdnje,5714411111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5715313891,197,7812,5714411113,59,"16, 2, 21, 5, 25, 15, 9, 10, 14, 12, 7, 1, 3, 4, 8, 17, 19, 27, 32, 38",5714411119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714411115,130,8,5714411109,30,"45bcgucg627rhrdgt8tn9hd9m, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, 839pm7rmjp6q1bt52f7ek9vys, c7buy99bjqmkmno8w5t0189d6, 4mxciw9jsj9l437fd7bv78p91, 7wo1hk736v1xhovvu2t2trw89, 4jve632xnmqujh4ioaxpaovai, ate1ymumg2iwzn8uyyf3ts222, 6hmsrr08cllpl4iumu92zskbt, 7fkc01xxyl1trj3uav134ehyi, aqc0qritba195wf770gyd1149, 37mo55lynu3blqnb8k9ln8k16, 15yli690oxmbr4dl1ksti2p9m, 9n2nm6smh0txgv2482qbwhixg, cqgmx6eiriomccxfhykh31r10, 418pvntm5e5kcoeyjjnzm7hg4, ayjuukbjjzrldkn4d4shfnggk, 5sha6xhovfmuzd7rolx1om39w",5714411117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812470693,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-05-10T13:00:25.155Z,2025-05-10T13:00:27Z,,,,,5714626893,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812470683,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-05-10T13:00:25.155Z,2025-05-10T13:00:25Z,,,,,5714626827,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812470721,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,49.4,50.6,2025-05-10T13:00:25.156Z,2025-05-10T13:00:29Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5714627023,213,2.77,5714627017,140,28.1,5714627019,141,63.4,5714627021,212,24.0,5714627015,56,Back,5714627025,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812470813,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,1,28.6,66.0,2025-05-10T13:00:29.151Z,2025-05-10T13:00:36Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5714627471,140,67.5,5714627479,1,,5714627473,141,29.1,5714627467,157,,5714627475,212,47.9,5714627477,213,5.73,5714627469,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812470815,5,44,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,1,74.6,33.2,2025-05-10T13:00:32.919Z,2025-05-10T15:13:48Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5714627483,56,Center,5714627487,233,3,5714627485,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812470787,3,44,1,0,7,b8oqgvx1ijeyn6y1cn6929ix4,0,25.4,66.8,2025-05-10T13:00:32.920Z,2025-05-10T15:13:48Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5714627313,56,Back,5714627315,285,,5714627543,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812470833,6,1,1,0,8,f1h34qp5zbfl489q8vnkhiq9s,0,74.8,31.7,2025-05-10T13:00:33.421Z,2025-05-10T15:19:03Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5714627573,56,Center,5714627579,212,27.6,5714627571,168,,5714627569,3,,5714627577,141,35.2,5714627581,213,0.09,5714627575,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812470997,4,5,1,0,11,b8oqgvx1ijeyn6y1cn6929ix4,1,-1.2,67.0,2025-05-10T13:00:36.631Z,2025-05-10T14:03:10Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5714628367,346,,5714628427,233,7,5714628365,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
