id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2809152275,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-05-03T09:45:00.849Z,2025-05-03T10:29:28Z,,,,,5696339391,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5696339399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696395357,197,11563,5696339397,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696339395,130,8,5696396851,194,3od63zrf6cay4d6ync9i2iuqc,5696339389,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 1ai0gvdx68lxclbj6m255w72t, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 6wfu6s6xo5zjeke21fgbouql0, 7ztdirfvd9d0x2yw1v051xzbo, 6lb4k3g75nzgi8bp1y1mzxkru, ayxi2m0g0pm6rl1ba5pto66z9, 4m3slt6iikaxklqd12i719rl5, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 45ssaw51hm80y1tfalyesap9m, 9jqox80arzpytv1b136jobhpm, 4bojyjyvkdgm1lss6n37q2t5g, 91xtn2wlot8g8ue89zn4iiyqy, 23sc7wc7my7wes6cuaxw1v0no, 289rctmvd5ppy9zqn98jbe4et",5696339393,59,"90, 14, 12, 6, 4, 5, 8, 13, 9, 7, 11, 1, 2, 3, 10, 16, 17, 19, 21, 98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809154105,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-05-03T09:54:45.399Z,2025-05-03T13:51:43Z,,,,,5696393327,197,4604,5696351289,59,"1, 15, 3, 7, 25, 29, 18, 23, 17, 10, 11, 2, 4, 13, 14, 21, 24, 26, 32, 40",5696351287,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5696351291,130,4,5696351285,30,"2g019dl7zougqjo7usig0rf11, 8f1mw21tbkct0slelpdznf7dg, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, auk14ut8cwaqop549u2zmfgt1, ev2s21ogvpjtata4fndi868ve, 2z8u8kyv91shp0la8alkn6kus, 15jhbyn4wsbd865fd9djcwaok, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 1b32j0lqi7ggcabdra4tygxzo, 1mml4inucvyomv1dcog3c1pt5, dqtarwrqvkopmzbt2ovp2dln9, 4n002w0ii1wqwx8t5xc1bzf2s, 2uw6m0yavlvkkiob73hoywb56, 6eg3kxxg5aneckolraz03xzpw, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, 1vfh2k9yurk6t5s1vmgmlmfpw, 3ukx6q0q54uzz78gl7k10o2dw",5696927811,194,wha77a8wm7jyn32743y0w79x,5696351293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696351295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163529,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-05-03T10:31:12.950Z,2025-05-03T10:31:13Z,,,,,5696398759,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163535,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-05-03T10:31:12.950Z,2025-05-03T10:31:14Z,,,,,5696398789,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163555,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2025-05-03T10:31:12.951Z,2025-05-03T10:34:16Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5696398899,141,68.4,5696398895,56,Back,5696398903,213,2.57,5696398897,140,31.5,5696398901,212,23.1,5696398905,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163561,4,1,1,0,5,dbl7ir1qugqz8nvp1vzn8im50,1,31.5,68.4,2025-05-03T10:31:18.330Z,2025-05-03T10:32:20Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5696398941,1,,5696398939,213,0.14,5696398937,212,37.0,5696398927,157,,5696398931,140,66.4,5696398929,56,Center,5696398933,141,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163567,5,1,1,0,6,dbl7ir1qugqz8nvp1vzn8im50,0,66.4,76.1,2025-05-03T10:31:19.114Z,2025-05-03T10:36:52Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5696398969,212,18.6,5696398963,56,Center,5696398971,213,5.88,5696398965,140,82.7,5696398967,141,65.4,5696398961,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163581,3,1,1,0,7,6wwwud48qahpwrfxs20334qk5,0,23.9,39.5,2025-05-03T10:31:20.734Z,2025-05-03T10:31:22Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5696399051,141,38.9,5696399049,140,35.1,5696399047,56,Back,5696399045,157,,5696399055,213,6.25,5696399057,1,,5696399053,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809163583,6,1,1,0,9,dbl7ir1qugqz8nvp1vzn8im50,0,59.3,64.9,2025-05-03T10:31:22.427Z,2025-05-03T10:36:53Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5696399063,140,62.4,5696399071,212,6.0,5696399059,3,,5696399073,213,5.29,5696399061,56,Center,5696399067,141,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809164121,17,61,1,0,12,6wwwud48qahpwrfxs20334qk5,0,37.6,66.9,2025-05-03T10:31:25.833Z,2025-05-03T10:33:05Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5696401685,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
