id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2714923321,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-30T16:18:22.180Z,2024-08-30T20:05:53Z,,,,,5181517803,130,2,5181517801,59,"1, 4, 2, 29, 5, 37, 6, 20, 49, 17, 10, 3, 7, 9, 11, 16, 22, 27, 34",5181527145,194,ef7l91pb4w6yk7lijxjxlievp,5181517799,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5181570723,197,25474,5181517807,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181517805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5181517797,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, 78iynnu6cnznv6fxpo4br4mlm, ef7l91pb4w6yk7lijxjxlievp, 6xnn9048x2zmwprfsg0lhq61g, egwhlgopjtjkop7ozy7ltk1cl, 7j35sfip0xb51mpa91wzikrh0, ju24rgwcctj5yizl54o91gfe, 11cna826ls27ahux2w0ckapqt, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, 139g7ilwvcpl519v3scnweg2d, 9l89n30nejpn2u22ygvchwnze, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 5hr1cb6e6xb3eyjnau7w4825l, 6t6k24gn6zwxz1g6c3n4ph0q, 18vvlxsaoloypja4fdddj687o",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714924431,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-30T16:29:39.541Z,2024-08-30T16:59:11Z,,,,,5181524897,59,"16, 20, 2, 8, 4, 29, 6, 18, 17, 10, 30, 1, 5, 7, 11, 14, 19, 26, 28, 40",5181524895,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5181524901,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181524903,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181570351,194,4clmd8g8jogdfvauhijd7n55h,5181524899,130,4,5181524893,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 80s55a7uw8kypoikefwhtdm5m, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, wha77a8wm7jyn32743y0w79x, 1b32j0lqi7ggcabdra4tygxzo, 2uw6m0yavlvkkiob73hoywb56, rbk7g9mpasw3edltliscyzv8, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw, 15jhbyn4wsbd865fd9djcwaok",5181570353,197,4604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934815,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-30T17:02:10.032Z,2024-08-30T17:02:10Z,,,,,5181576615,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934821,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-30T17:02:10.032Z,2024-08-30T17:02:11Z,,,,,5181576641,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934833,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2024-08-30T17:02:10.033Z,2024-08-30T17:02:13Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5181576707,141,38.9,5181576705,140,28.4,5181576711,213,3.46,5181576713,279,S,5181576709,212,23.9,5181576703,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934855,4,1,1,0,5,dbl7ir1qugqz8nvp1vzn8im50,0,29.3,39.4,2024-08-30T17:02:15.074Z,2024-08-30T17:02:16Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5181576847,1,,5181576845,213,0.29,5181576829,157,,5181576831,56,Center,5181576837,141,59.9,5181576835,140,74.3,5181576841,212,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934865,3,44,1,0,7,7gkglopz9cjsysn2u6sbhuvc5,1,22.8,38.3,2024-08-30T17:02:17.039Z,2024-08-30T19:09:33Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5181576883,56,Back,5181576885,285,,5181576931,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934873,5,44,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,0,77.2,61.7,2024-08-30T17:02:17.040Z,2024-08-30T19:09:33Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5181576947,233,3,5181576913,286,,5181576911,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934877,4,1,1,0,7,7gkglopz9cjsysn2u6sbhuvc5,0,17.8,34.8,2024-08-30T17:02:17.446Z,2024-08-30T17:02:18Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5181576921,56,Back,5181576923,140,35.7,5181576919,3,,5181576925,141,32.1,5181576927,212,18.9,5181576929,213,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934885,6,61,1,0,9,dbl7ir1qugqz8nvp1vzn8im50,0,71.3,59.6,2024-08-30T17:02:19.474Z,2024-08-30T17:02:19Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5181576951,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
