id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2799538269,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-12T11:11:31.165Z,2025-04-12T11:57:32Z,,,,5643340677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643340669,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5643340675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5643340673,130,13,5643340667,30,"c4esrbgbv6v715768v2cb676d, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, cf6zq49y8v1ekw07e7yi3uac, 4lac0f1ev5usxpka7gaev3hii, d106tu53y5q02yu36iojbou8k, 7pnxa8wzxx5qxevcckxdd62tx, m031ocyfq011rual3olkegdm, d1qyvtgj16160ufegxkspgb9w, 1el3mu4rgcx8tebrawgfvynf8, 3wx08y3aabvejd8phcglis3dg, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms, 4ieyvppe24gqdkm2xv2xlaluc, em0yawcqyqwf53hbj0zlz4duc",5643340671,59,"1, 2, 3, 4, 14, 26, 18, 8, 27, 7, 15, 9, 11, 22, 24, 25, 30, 34",5643521943,197,24385,5643342717,194,c4esrbgbv6v715768v2cb676d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799541233,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-04-12T11:16:36.737Z,2025-04-12T14:23:54Z,,,,5643355157,30,"64vlnkuqfh7rnymg8qku8amwa, 139g7ilwvcpl519v3scnweg2d, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, a7eramyy1bd8msxmg84ctc8ut, 9l89n30nejpn2u22ygvchwnze, 9nafz0c0x2qvmo5ldm0djmcq1, bh06w40pwo6dy3cjrw3r2i0ru, ag1psg17osvgbq5fz9xo7kmj8, 5hr1cb6e6xb3eyjnau7w4825l, egwhlgopjtjkop7ozy7ltk1cl, abrdu87vmuqj50ebgalr3c7op, 11cna826ls27ahux2w0ckapqt, 8rn42gm9xm3yunk883yan9vdg, 4csz412vb3lquessbnf999ct0, 6t6k24gn6zwxz1g6c3n4ph0q, 1655gyu9bjnslw7vfloe40h2i, 9vbxe5gvruap8h546efz3nx1w, 9gr9rdahnavv0irjauh5xim8k, ju24rgwcctj5yizl54o91gfe",5643523985,197,23642,5643355167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643471549,194,139g7ilwvcpl519v3scnweg2d,5643355165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643355163,130,11,5643355159,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5643355161,59,"1, 7, 2, 73, 8, 9, 10, 20, 18, 22, 6, 5, 17, 19, 23, 27, 30, 31, 47, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799575513,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-04-12T12:00:06.390Z,2025-04-12T12:00:06Z,,,,5643530615,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799575521,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-12T12:00:06.390Z,2025-04-12T12:00:09Z,,,,5643530655,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799575547,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,49.6,50.3,2025-04-12T12:00:06.391Z,2025-04-12T12:00:09Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,5643530783,56,Back,5643530791,213,2.82,5643530785,140,27.2,5643530789,212,24.8,5643530793,279,S,5643530787,141,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799575569,4,1,1,0,2,7gkglopz9cjsysn2u6sbhuvc5,0,29.2,59.3,2025-04-12T12:00:08.582Z,2025-04-12T12:00:11Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,5643530937,213,5.69,5643530927,157,,5643530931,140,61.9,5643530929,56,Center,5643530939,1,,5643530935,212,41.4,5643530933,141,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799575639,3,1,1,0,5,bd4qakf7j0wwie8wke9km7uj8,1,30.5,85.9,2025-04-12T12:00:11.742Z,2025-04-12T12:06:02Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,5643531241,140,40.4,5643531249,213,0.14,5643531243,141,88.0,5643531247,212,10.5,5643531239,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799575649,4,61,1,0,6,bd4qakf7j0wwie8wke9km7uj8,0,40.4,89.6,2025-04-12T12:00:12.886Z,2025-04-12T12:12:36Z,m031ocyfq011rual3olkegdm,A. Taranis,,5643531291,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799575697,5,1,1,0,7,7gkglopz9cjsysn2u6sbhuvc5,0,55.6,21.6,2025-04-12T12:00:13.755Z,2025-04-12T12:55:43Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,5643531577,141,19.7,5643531573,56,Right,5643531581,213,6.02,5643531575,140,60.2,5643639271,286,,5643531579,212,5.0,5643639267,233,156,5643639265,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799595619,156,74,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,42.4,91.7,2025-04-12T12:00:13.756Z,2025-04-12T12:18:23Z,m031ocyfq011rual3olkegdm,A. Taranis,,5643638253,285,,5643639301,233,5,5643638251,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
