id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value
2751835185,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-11-25T16:51:10.368Z,2024-11-25T20:14:17Z,,,,,5383174729,59,"16, 20, 2, 8, 28, 5, 6, 23, 18, 10, 17, 1, 11, 13, 14, 15, 21, 24, 26, 30",5383174731,130,4,5383174735,194,4clmd8g8jogdfvauhijd7n55h,5383174727,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5383174733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5383174737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5383188723,197,24396,5383174725,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, wrckom9vy4352nos44600ydw, eq15hjcxpdrl5vca2q7s4tr3e, e9o7q10wnhex4e8eo47mobbvt, 15jhbyn4wsbd865fd9djcwaok, 2z8u8kyv91shp0la8alkn6kus, 5wmik73cqursg7sv3w14ue5pm, axyrfq1u8nwcj2ss5498u8qhg, 2g019dl7zougqjo7usig0rf11, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, 80s55a7uw8kypoikefwhtdm5m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751835567,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-11-25T16:52:33.689Z,2024-11-25T17:35:42Z,,,,,5383177011,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5383244475,197,23642,5383177015,130,17,5383177013,59,"1, 7, 2, 73, 9, 19, 22, 20, 17, 6, 10, 3, 4, 11, 16, 23, 29, 31, 34, 49",5383177009,30,"64vlnkuqfh7rnymg8qku8amwa, 139g7ilwvcpl519v3scnweg2d, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, 9l89n30nejpn2u22ygvchwnze, 8rn42gm9xm3yunk883yan9vdg, 5hr1cb6e6xb3eyjnau7w4825l, 7j35sfip0xb51mpa91wzikrh0, 11cna826ls27ahux2w0ckapqt, egwhlgopjtjkop7ozy7ltk1cl, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, duahzgqspyuy2gu31u3s8ky96, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 4csz412vb3lquessbnf999ct0, 78iynnu6cnznv6fxpo4br4mlm, 9vbxe5gvruap8h546efz3nx1w, 18vvlxsaoloypja4fdddj687o, ju24rgwcctj5yizl54o91gfe",5383177019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5383177017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5383244473,194,139g7ilwvcpl519v3scnweg2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751848353,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-11-25T17:31:17.236Z,2024-11-25T17:31:17Z,,,,,5383251471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751848363,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-11-25T17:31:17.236Z,2024-11-25T17:31:19Z,,,,,5383251523,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751848379,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.0,50.0,2024-11-25T17:31:17.237Z,2024-11-25T17:31:20Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5383251579,212,25.0,5383251573,56,Back,5383251583,279,S,5383251575,140,30.8,5383251577,141,71.8,5383251581,213,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751848391,4,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,0,32.6,72.7,2024-11-25T17:31:20.522Z,2024-11-25T18:37:04Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5383251639,141,0.0,5383251641,212,58.1,5383251737,157,,5383251637,140,60.4,5383251645,1,,5383251643,213,5.24,5383251635,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751848447,3,5,1,0,5,dbl7ir1qugqz8nvp1vzn8im50,1,38.2,101.5,2024-11-25T17:31:23.014Z,2024-11-25T19:38:43Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5383251929,347,,5383251935,233,5,5383251927,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751848395,5,5,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,0,61.8,-1.5,2024-11-25T17:31:23.014Z,2024-11-25T19:38:44Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5383251943,233,3,5383251661,56,Right,5383251663,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751848469,4,1,1,0,14,dbl7ir1qugqz8nvp1vzn8im50,1,35.8,100.0,2024-11-25T17:31:32.029Z,2024-11-25T17:31:35Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5383252083,213,3.79,5383252075,56,Back,5383252077,140,23.5,5383252081,212,16.2,5383252079,141,87.5,5383252073,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751848515,5,1,1,0,18,dbl7ir1qugqz8nvp1vzn8im50,1,21.5,81.4,2024-11-25T17:31:35.452Z,2024-11-25T17:31:44Z,eq15hjcxpdrl5vca2q7s4tr3e,M. Ivančević,,,5383252351,140,10.6,5383252353,141,53.3,5383252355,212,22.3,5383252349,56,Back,5383252357,213,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
