id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2734767511,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-18T16:14:43.532Z,2024-10-19T07:43:01Z,,,,,5290106143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290106141,130,7,5290213959,197,23642,5290106135,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, 7j35sfip0xb51mpa91wzikrh0, ef7l91pb4w6yk7lijxjxlievp, 8rn42gm9xm3yunk883yan9vdg, 11cna826ls27ahux2w0ckapqt, egwhlgopjtjkop7ozy7ltk1cl, ju24rgwcctj5yizl54o91gfe, 5hr1cb6e6xb3eyjnau7w4825l, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, 139g7ilwvcpl519v3scnweg2d, a7eramyy1bd8msxmg84ctc8ut, 9l89n30nejpn2u22ygvchwnze, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 6t6k24gn6zwxz1g6c3n4ph0q, 78iynnu6cnznv6fxpo4br4mlm, oywgthoxa153nf48la1j8v10",5290106139,59,"1, 4, 2, 20, 5, 19, 17, 6, 49, 22, 10, 3, 7, 8, 9, 11, 16, 27, 29, 73",5290106145,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290122565,194,ef7l91pb4w6yk7lijxjxlievp,5290106137,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734768041,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-10-18T16:15:59.227Z,2024-10-18T16:58:12Z,,,,,5290109119,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, ab3nxxoj7bxlnhot9htoex1xw, ezbixgm2km8iapnsl57bn4wkp, 2uellcocrvapu7o70g5zdcmad, 6dki65mdd3letfjjj51i0w3c9, egnjbmbxkceiygmp2jty4b47o, 5u9zrgsm6wycfcbk04m64wd1w, 5mmgppapbchmcj9zdtyw0w5xw, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, e8vt8711wb40afht2v13omket, 85qlnet6ehpowwtbubzbw3qqc, dja68kdmhtsm9x5zqzgtpqas4, 86mx27krl6c613x6e3t9g3cic, ct7z1lwc3kc5oblzcewgipzl6, 8xe0fufxfgf5cuwgysz3r2j85, 8viazilbghyogmhd7w3lg2six, 7k2c7wgoywy7boesjer5578q1, erb2xg622lfmo3jp5lgwcsrh0",5290109129,194,ezbixgm2km8iapnsl57bn4wkp,5290109123,59,"1, 2, 21, 8, 5, 20, 17, 6, 9, 27, 22, 14, 15, 16, 18, 19, 28, 29, 31, 32",5290109121,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5290213605,197,25972,5290109125,130,8,5290109131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290109127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734788897,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-10-18T17:00:06.509Z,2024-10-18T17:00:06Z,,,,,5290218845,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734788903,3,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-18T17:00:06.509Z,2024-10-21T17:01:38Z,,,,,5290218853,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734788907,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.1,49.7,2024-10-18T17:00:06.510Z,2024-10-18T17:00:08Z,5mmgppapbchmcj9zdtyw0w5xw,J. Voldby,,,5290218887,140,22.3,5290218893,213,2.86,5290218891,212,30.4,5290218885,56,Back,5290218895,279,S,5290218889,141,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734788935,4,1,1,0,2,ajtb177oqwawkdwbqhldmq6mx,0,22.2,61.8,2024-10-18T17:00:08.626Z,2024-10-18T17:07:00Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5290219067,141,82.6,5290219065,140,69.0,5290219073,1,,5290219063,56,Left,5290219071,213,0.28,5290219061,157,,5290219069,212,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734788939,4,44,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,1,30.2,18.6,2024-10-18T17:00:12.114Z,2024-10-18T19:42:25Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5290219085,56,Back,5290219171,233,5,5290219087,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734788937,5,44,1,0,5,ajtb177oqwawkdwbqhldmq6mx,0,69.8,81.4,2024-10-18T17:00:12.115Z,2024-10-21T17:33:04Z,kqj7nh6pqmqbt0abyyu0fcpg,O. Addo,,,5290219187,233,4,5290219081,56,Left,5290219083,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734788951,5,1,1,0,6,7gkglopz9cjsysn2u6sbhuvc5,0,29.1,20.6,2024-10-18T17:00:12.710Z,2024-10-18T17:00:22Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5290219145,56,Back,5290219147,140,34.8,5290219153,213,0.45,5290219151,212,6.7,5290219149,141,24.9,5290219143,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737169643,845,43,1,0,7,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-18T17:00:13.957Z,2024-10-21T17:36:09Z,6t6k24gn6zwxz1g6c3n4ph0q,M. Haarup,,,5303084333,144,1,5303079045,141,15.9,5303079049,213,4.27,5303079039,3,0,5303079047,212,10.6,5303079041,56,Back,5303079043,140,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
