id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818259825,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-24T15:09:47.155Z,2025-05-24T18:22:17Z,,,,,5746583055,194,544reefy86rc8827sl3xh3oph,5746582075,30,"bwzftrovpa0418aapl98og7l6, 9hg60gdc7h6dwo1qi4c7pc9nt, 2u8ylwu9kogk0jorpe517812i, 929eyaq4a218jj3yahxtoeve2, 544reefy86rc8827sl3xh3oph, 7hs9c25dq0dbn8vrlgihjgay2, 8cjgce68a2vla1ebamgac4nx0, qer4hblafo04av0aajfecclx, 4xnll2f9tb69wrezm04ayg76y, bapdoe78rj82j550otb5zemwa, e58qeh3alborxqkuk5bz7nw9g, abaqhbxbckjup0ybs4o70vw89, a0dyuysg0p6ekvy4qkkfkwnvt, 5occq5bmrhcs8rtxwsdi18bf9, 1jp22ouky3tqtk04bvbfao7l6, 5o5f3xj6e86sw0pupxxx2nomi, eas91my7qw7etoha5plxfk9yi, 5k2hgogp2g5ivgdnq99ejp27e, 1lz298822pkgdar8bjjk7g1gq, aulhjgm35swnx4k3rexbds8ut",5746582083,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746582081,130,10,5746582085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746811493,197,29282,5746582079,59,"1, 2, 19, 21, 10, 38, 7, 8, 35, 18, 41, 12, 4, 5, 6, 9, 15, 17, 22, 23",5746582077,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818261601,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-05-24T15:11:51.784Z,2025-05-24T18:25:57Z,,,,,5746591241,59,"12, 20, 15, 26, 6, 5, 11, 7, 10, 9, 14, 44, 2, 4, 8, 19, 21, 25, 27, 95",5746591245,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746808065,197,29041,5746591243,130,2,5746591249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746591237,30,"bjgxlgzxbm2fj3c2xq6mtsru1, dgki9si023s93nymhod74jlzo, dnw3y6r7bk0aqbta2s7ttivhl, b2ibeioms7t9vb3au7tpqys4p, 38qnvrvf3y1xs22tovwy21jv9, 16rhwnvicrl1e9xqw867zuxn9, cegoeac3l2owi83zdvu30tj6y, do2fwr0qn3kg0qb40e3i36q51, 7dnxkce4kn8qchaavv6e4tm21, 2r893xoeuqhgoe2w2auhqb696, 55ashhvkh23ypnct70f9dgvkl, 3gvu6qvxl0ro74q6l1o4p2fx0, bqh87676f46jsdfftw2gt1mok, 7gqecbxztxxovmo1b6zqqcgve, 8pyq4t68w42u3fgd2w7tjykbu, 5hst73ivtxknjb3rrdivwygnp, 3zg0pvrja75d3l44dq0lh4kb9, ar7ybu7dordgt2yfx5inux62, bbyystkqag4mcfpr6utsazm51, 13k94iyejsdn4e51jx32rb23u",5746591247,194,55ashhvkh23ypnct70f9dgvkl,5746591239,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301817,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-24T16:01:17.422Z,2025-05-24T16:01:20Z,,,,,5746817467,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301811,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-05-24T16:01:17.422Z,2025-05-24T16:01:18Z,,,,,5746817431,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301867,3,1,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,50.0,50.0,2025-05-24T16:01:17.423Z,2025-05-24T16:01:21Z,2r893xoeuqhgoe2w2auhqb696,K. Høgh,,,5746817739,213,3.23,5746817737,212,20.6,5746817731,56,Back,5746817743,279,S,5746817735,141,47.4,5746817733,140,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301899,4,1,1,0,1,ctvzi2jbl1q6xzq0s3sexj73g,1,30.5,47.4,2025-05-24T16:01:19.189Z,2025-05-24T16:01:24Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5746817929,141,60.5,5746817925,56,Back,5746817933,213,2.05,5746817931,212,10.0,5746817927,140,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818301933,5,1,1,0,5,ctvzi2jbl1q6xzq0s3sexj73g,1,26.5,61.1,2025-05-24T16:01:23.253Z,2025-05-24T16:01:26Z,16rhwnvicrl1e9xqw867zuxn9,H. Aleesami,,,5746818129,56,Back,5746818137,213,4.42,5746818131,140,21.1,5746818135,212,19.9,5746818133,141,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302045,6,1,1,0,8,ctvzi2jbl1q6xzq0s3sexj73g,1,21.0,32.3,2025-05-24T16:01:25.909Z,2025-05-24T16:01:33Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5746818743,213,5.01,5746818735,56,Back,5746818739,141,8.5,5746818737,140,25.7,5746818741,212,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302095,7,1,1,0,15,ctvzi2jbl1q6xzq0s3sexj73g,1,32.9,16.6,2025-05-24T16:01:33.005Z,2025-05-24T16:01:38Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5746818993,141,48.1,5746818995,212,21.9,5746818989,56,Back,5746818991,140,28.4,5746818997,213,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302145,8,1,1,0,19,ctvzi2jbl1q6xzq0s3sexj73g,1,36.1,60.7,2025-05-24T16:01:37.101Z,2025-05-24T16:01:40Z,16rhwnvicrl1e9xqw867zuxn9,H. Aleesami,,,5746819245,140,46.2,5746819251,213,0.97,5746819243,56,Back,5746819249,212,18.8,5746819247,141,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302231,9,1,1,0,22,ctvzi2jbl1q6xzq0s3sexj73g,1,48.7,79.6,2025-05-24T16:01:39.846Z,2025-05-24T16:01:46Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5746819707,140,41.8,5746819713,213,4.03,5746819711,212,11.5,5746819709,141,66.4,5746819705,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302261,10,1,1,0,27,ctvzi2jbl1q6xzq0s3sexj73g,1,44.9,55.6,2025-05-24T16:01:45.053Z,2025-05-24T16:01:48Z,16rhwnvicrl1e9xqw867zuxn9,H. Aleesami,,,5746819891,141,78.2,5746819889,140,52.1,5746819895,213,1.11,5746819893,212,17.1,5746819887,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302309,11,1,1,0,30,ctvzi2jbl1q6xzq0s3sexj73g,1,54.6,81.2,2025-05-24T16:01:47.725Z,2025-05-24T16:01:52Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5746820211,141,94.5,5746820215,213,0.84,5746820209,140,62.3,5746820207,56,Left,5746820213,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302335,12,1,1,0,34,ctvzi2jbl1q6xzq0s3sexj73g,1,61.9,84.6,2025-05-24T16:01:51.862Z,2025-05-24T16:01:56Z,7dnxkce4kn8qchaavv6e4tm21,J. Hauge,,,5746820401,212,27.1,5746820397,140,51.5,5746820403,213,4.30,5746820399,141,48.1,5746820395,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302405,13,1,1,0,37,ctvzi2jbl1q6xzq0s3sexj73g,1,53.4,47.1,2025-05-24T16:01:55.421Z,2025-05-24T16:02:00Z,16rhwnvicrl1e9xqw867zuxn9,H. Aleesami,,,5746820825,213,5.05,5746820819,140,60.0,5746820821,141,17.8,5746820823,212,21.1,5746820817,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302421,14,1,1,0,42,ctvzi2jbl1q6xzq0s3sexj73g,1,59.5,19.5,2025-05-24T16:01:59.981Z,2025-05-24T16:02:02Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5746820907,56,Center,5746820913,212,14.7,5746820911,141,36.5,5746820915,213,2.24,5746820909,140,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302447,15,1,1,0,44,ctvzi2jbl1q6xzq0s3sexj73g,1,50.8,36.5,2025-05-24T16:02:01.541Z,2025-05-24T16:02:05Z,16rhwnvicrl1e9xqw867zuxn9,H. Aleesami,,,5746821087,141,22.4,5746821083,140,55.8,5746821093,213,5.21,5746821091,212,10.9,5746821077,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302475,16,1,1,0,47,ctvzi2jbl1q6xzq0s3sexj73g,1,55.8,22.7,2025-05-24T16:02:04.750Z,2025-05-24T16:02:07Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5746821293,56,Back,5746821301,213,2.17,5746821297,141,38.1,5746821295,140,49.0,5746821299,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302549,17,1,1,0,49,ctvzi2jbl1q6xzq0s3sexj73g,1,49.6,38.1,2025-05-24T16:02:06.982Z,2025-05-24T16:02:12Z,16rhwnvicrl1e9xqw867zuxn9,H. Aleesami,,,5746821715,213,1.32,5746821711,212,20.5,5746821709,141,67.3,5746821705,140,54.5,5746821701,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302575,18,1,1,0,54,ctvzi2jbl1q6xzq0s3sexj73g,1,61.4,69.8,2025-05-24T16:02:11.917Z,2025-05-24T16:02:15Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5746821827,141,60.0,5746821831,213,5.59,5746821823,56,Center,5746821825,140,69.1,5746821829,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302583,19,61,1,0,56,ctvzi2jbl1q6xzq0s3sexj73g,0,69.1,60.0,2025-05-24T16:02:14.037Z,2025-05-24T16:02:15Z,2r893xoeuqhgoe2w2auhqb696,K. Høgh,,,5746821857,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818305495,23,1,1,0,57,c7jgkxx1czv5etn7snf1r6p2m,0,29.8,53.0,2025-05-24T16:02:15.241Z,2025-05-24T18:09:41Z,e58qeh3alborxqkuk5bz7nw9g,S. Nypan,,,5747411191,233,20,5746838887,213,5.29,5746838885,212,8.1,5746838881,140,34.0,5746838319,56,Back,5746838883,141,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302633,3,1,1,0,59,c7jgkxx1czv5etn7snf1r6p2m,0,28.2,31.5,2025-05-24T16:02:17.266Z,2025-05-24T16:53:22Z,qer4hblafo04av0aajfecclx,I. Fossum,,,5746840193,141,31.3,5747099263,233,20,5746840195,212,1.7,5747099259,236,,5746840191,140,29.8,5747099267,286,,5746822065,56,Back,5746840199,213,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302651,20,74,1,0,59,ctvzi2jbl1q6xzq0s3sexj73g,1,70.4,71.0,2025-05-24T16:02:17.267Z,2025-05-24T16:53:23Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5747099173,285,,5747099367,233,3,5746822201,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302677,4,1,1,1,0,c7jgkxx1czv5etn7snf1r6p2m,1,27.8,25.9,2025-05-24T16:02:17.584Z,2025-05-24T16:02:21Z,qer4hblafo04av0aajfecclx,I. Fossum,,,5746822417,140,31.3,5746822423,213,6.15,5746822421,212,3.7,5746822415,56,Back,5746822419,141,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302693,6,1,1,1,5,c7jgkxx1czv5etn7snf1r6p2m,0,24.6,5.9,2025-05-24T16:02:22.552Z,2025-05-24T16:02:23Z,8cjgce68a2vla1ebamgac4nx0,M. Broholm,,,5746822493,140,27.2,5746822497,212,2.7,5746822491,56,Back,5746822495,141,5.5,5746822499,213,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302705,21,61,1,1,5,ctvzi2jbl1q6xzq0s3sexj73g,1,70.4,93.2,2025-05-24T16:02:23.086Z,2025-05-24T16:02:24Z,55ashhvkh23ypnct70f9dgvkl,U. Saltnes,,,5746822549,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302719,7,61,1,1,7,c7jgkxx1czv5etn7snf1r6p2m,0,25.1,13.1,2025-05-24T16:02:24.992Z,2025-05-24T16:02:25Z,qer4hblafo04av0aajfecclx,I. Fossum,,,5746822623,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302773,23,15,1,1,9,ctvzi2jbl1q6xzq0s3sexj73g,1,75.3,68.3,2025-05-24T16:02:27.309Z,2025-05-24T18:27:34Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5746826551,82,,5746826829,78,,5746826843,230,98.6,5746826547,20,,5746826833,103,19,5746822945,22,,5746826839,146,86.3,5746826871,233,8,5746826837,458,5746826831,102,48.7,5746822949,56,Center,5746826835,215,5746822947,18,5746826841,147,59.6,5746826845,231,51.1,,,,,,,,,,,,
2818302771,8,10,1,1,9,c7jgkxx1czv5etn7snf1r6p2m,1,15.5,38.3,2025-05-24T16:02:27.409Z,2025-05-24T16:03:10Z,544reefy86rc8827sl3xh3oph,O. Selnæs,,,5746822939,94,,5746826915,233,23,5746822941,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818352581,433,61,1,1,10,ctvzi2jbl1q6xzq0s3sexj73g,0,69.8,45.9,2025-05-24T16:02:27.422Z,2025-05-24T16:54:27Z,b2ibeioms7t9vb3au7tpqys4p,H. Evjen,,,5747103715,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302823,9,3,1,1,13,c7jgkxx1czv5etn7snf1r6p2m,0,35.8,35.8,2025-05-24T16:02:31.348Z,2025-05-24T16:50:43Z,bapdoe78rj82j550otb5zemwa,N. Holm,,,5746823217,56,Back,5746823573,233,24,5746823219,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302873,24,7,1,1,13,ctvzi2jbl1q6xzq0s3sexj73g,1,64.2,64.2,2025-05-24T16:02:31.349Z,2025-05-24T16:54:52Z,16rhwnvicrl1e9xqw867zuxn9,H. Aleesami,,,5746823499,285,,5746823497,56,Center,5746823589,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302925,25,1,1,1,17,ctvzi2jbl1q6xzq0s3sexj73g,1,64.7,54.1,2025-05-24T16:02:34.750Z,2025-05-24T16:02:39Z,b2ibeioms7t9vb3au7tpqys4p,H. Evjen,,,5746823879,213,4.16,5746823877,212,13.7,5746823875,141,36.9,5746823871,56,Center,5746823873,140,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302933,26,1,1,1,18,ctvzi2jbl1q6xzq0s3sexj73g,1,57.9,36.9,2025-05-24T16:02:35.789Z,2025-05-24T16:55:01Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5746823919,212,21.1,5746823921,213,1.47,5746823915,140,60.0,5746823913,56,Center,5746823917,141,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302969,27,1,1,1,21,ctvzi2jbl1q6xzq0s3sexj73g,1,62.3,79.9,2025-05-24T16:02:39.237Z,2025-05-24T16:02:41Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5746824163,141,90.5,5746824161,140,69.4,5746824159,56,Left,5746824165,212,10.4,5746824167,213,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303007,28,1,1,1,23,ctvzi2jbl1q6xzq0s3sexj73g,1,69.7,91.8,2025-05-24T16:02:40.765Z,2025-05-24T16:02:43Z,7dnxkce4kn8qchaavv6e4tm21,J. Hauge,,,5746824357,213,4.24,5746824349,56,Left,5746824353,141,81.2,5746824351,140,66.2,5746824355,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303023,29,1,1,1,25,ctvzi2jbl1q6xzq0s3sexj73g,1,67.0,80.8,2025-05-24T16:02:42.813Z,2025-05-24T16:02:45Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,,5746824457,56,Left,5746824463,212,13.0,5746824459,140,76.9,5746824465,213,0.65,5746824461,141,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303099,30,1,1,1,26,ctvzi2jbl1q6xzq0s3sexj73g,1,77.7,92.6,2025-05-24T16:02:44.405Z,2025-05-24T16:02:49Z,7dnxkce4kn8qchaavv6e4tm21,J. Hauge,,,5746824879,213,4.86,5746824867,140,78.6,5746824869,141,83.1,5746824863,56,Left,5746824873,212,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303113,31,3,1,1,29,ctvzi2jbl1q6xzq0s3sexj73g,0,80.8,82.2,2025-05-24T16:02:47.421Z,2025-05-24T16:56:53Z,55ashhvkh23ypnct70f9dgvkl,U. Saltnes,,,5747109469,286,,5746824937,56,Left,5747111163,233,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818353849,372,7,1,1,30,c7jgkxx1czv5etn7snf1r6p2m,1,19.2,17.8,2025-05-24T16:02:47.422Z,2025-05-24T16:56:54Z,7hs9c25dq0dbn8vrlgihjgay2,M. Ceïde,,,5747111123,233,31,5747111107,56,Back,5747111109,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303091,10,43,1,1,31,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-24T16:02:48.704Z,2025-05-24T16:56:48Z,9hg60gdc7h6dwo1qi4c7pc9nt,E. Reitan,,,5746824825,56,Back,5747111053,144,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303321,33,61,1,1,31,ctvzi2jbl1q6xzq0s3sexj73g,1,78.4,86.9,2025-05-24T16:02:49.014Z,2025-05-24T16:56:44Z,55ashhvkh23ypnct70f9dgvkl,U. Saltnes,,,5746826083,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303141,11,5,1,1,32,c7jgkxx1czv5etn7snf1r6p2m,1,21.8,-1.5,2025-05-24T16:02:49.789Z,2025-05-24T18:04:16Z,9hg60gdc7h6dwo1qi4c7pc9nt,E. Reitan,,,5746825103,56,Back,5746825925,233,32,5746825105,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303277,32,5,1,1,32,ctvzi2jbl1q6xzq0s3sexj73g,0,78.2,101.5,2025-05-24T16:02:49.789Z,2025-05-24T18:04:16Z,55ashhvkh23ypnct70f9dgvkl,U. Saltnes,,,5746825893,347,,5746825991,233,11,5746825891,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303413,12,1,1,1,49,c7jgkxx1czv5etn7snf1r6p2m,1,17.9,0.0,2025-05-24T16:03:06.737Z,2025-05-24T16:03:07Z,9hg60gdc7h6dwo1qi4c7pc9nt,E. Reitan,,,5746826677,140,23.6,5746826681,212,8.0,5746826673,107,,5746826683,213,0.73,5746826675,56,Back,5746826679,141,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303435,13,1,1,1,50,c7jgkxx1czv5etn7snf1r6p2m,1,23.6,6.2,2025-05-24T16:03:07.552Z,2025-05-24T16:03:09Z,544reefy86rc8827sl3xh3oph,O. Selnæs,,,5746826817,140,19.0,5746826823,213,3.48,5746826821,212,5.1,5746826815,56,Back,5746826819,141,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303439,14,3,1,1,51,c7jgkxx1czv5etn7snf1r6p2m,0,15.6,5.3,2025-05-24T16:03:09.248Z,2025-05-24T18:08:46Z,9hg60gdc7h6dwo1qi4c7pc9nt,E. Reitan,,,5746826853,56,Back,5746826857,285,,5746827413,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303505,34,7,1,1,51,ctvzi2jbl1q6xzq0s3sexj73g,1,84.4,94.7,2025-05-24T16:03:09.249Z,2025-05-24T18:08:46Z,7dnxkce4kn8qchaavv6e4tm21,J. Hauge,,,5746827231,286,,5746827341,233,14,5746827229,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303517,35,50,1,1,55,ctvzi2jbl1q6xzq0s3sexj73g,1,90.1,92.2,2025-05-24T16:03:12.653Z,2025-05-24T16:03:18Z,7dnxkce4kn8qchaavv6e4tm21,J. Hauge,,,5746827275,286,,5746827473,233,15,5746827273,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303547,15,7,1,1,55,c7jgkxx1czv5etn7snf1r6p2m,1,9.9,7.8,2025-05-24T16:03:12.654Z,2025-05-24T16:03:17Z,9hg60gdc7h6dwo1qi4c7pc9nt,E. Reitan,,,5746827387,56,Back,5746827443,233,35,5746827389,285,,5746827385,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
