id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2798828717,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-10T16:10:46.259Z,2025-04-11T11:02:17Z,,,,,5639407117,30,"mh6rotmnlhe66f2y16c3vvmd, adthn237lwxewaxsrgd6hlu51, 1n9924y1nahaf0if575wgwonp, gbeebtmqq3qerrs4u7ikq0ru, ahe00hzfpxhe742i5db3mpe6s, 9se6a4pxhy13alu316ttx2vhl, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, dfwjippbaspehxg8m8ui4djze, 878hgn9q68ca8y0wmdih92h9l, 2ku8s4c6qk2aghe47hwqgxfro, 62k4fq609h2evj1k2e1n42x91, 76k8ic97o66kaq2e52bmp27ai, ce1q0p0ifilrb8wx6rmkcaeol, avnrtae50pid6aomt6sq3dqi2, 3vuirsh6wmbhingygy27f0hqt, 5coof7ruazt9nbjl5qvobe3v8, dyv2c0ne9bp3bpqa20a7a8ydw, 815zq6bo3kwxw8fl3bh381ez8",5639407125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5639477083,194,878hgn9q68ca8y0wmdih92h9l,5639481089,197,501,5639407119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5639407123,130,4,5639407121,59,"1, 23, 17, 10, 26, 6, 19, 8, 20, 14, 9, 12, 3, 7, 11, 21, 27, 32, 41, 43",5639407127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798829179,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-04-10T16:12:18.911Z,2025-04-10T17:00:51Z,,,,,5639409889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5639409883,130,8,5639409881,59,"1, 26, 27, 8, 25, 71, 77, 10, 9, 22, 21, 24, 5, 6, 7, 15, 16, 17",5639409877,30,"9oc4or4w78wl51wehk66xb4k5, 4hdrcg8os3e1uf9syfv5mpiol, cs99i7ypembqsswr96y6n53ze, 3vh1sx99telj2gktbljiarap5, 6grill6jvkvpzba5atb3gnjzd, 4hmj5l79xbxxkyuxdx47lj8wl, go4g6syxqw7nwn67c1am65t5, 15wt9e9girpzdqw5y2hb4awut, 7io59zk29vhvyueadmkotzeqy, 7gnn9d501aradmmdrhhs5vfo4, 4vp5w5ahxvyk2iu4ymm9ksl7u, d1p2mgz94oi55fa1wd2uhx5ud, 7u76uh9164fs8tx6zqw0icqtx, ap46gkx1wxiog02327an06jv8, 5362zl678ibx1md2kk6t4r47o, 37nltbem26wbv5t8fl9yu7gno, 4ja6as3sd53z72xqa7p8vrv9w, 6c9jzebimd3c53gpxa35sxzah",5639409887,194,4hmj5l79xbxxkyuxdx47lj8wl,5639488915,197,23714,5639409885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5639409879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843891,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-10T17:02:52.461Z,2025-04-10T17:02:53Z,,,,,5639492747,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843883,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-04-10T17:02:52.461Z,2025-04-10T17:02:52Z,,,,,5639492699,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843933,3,1,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,50.1,50.0,2025-04-10T17:02:52.462Z,2025-04-10T17:02:58Z,15wt9e9girpzdqw5y2hb4awut,H. Stengel,,,5639492963,212,25.0,5639492959,140,26.4,5639492961,141,53.3,5639492967,279,S,5639492957,56,Back,5639492965,213,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843953,4,1,1,0,5,ew0hpuiweoltpsg5f51r2w64t,0,26.4,53.3,2025-04-10T17:02:58.414Z,2025-04-10T17:05:20Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5639493087,1,,5639493073,140,57.2,5639493071,56,Center,5639493077,141,21.3,5639493081,212,39.0,5639493069,157,,5639493085,213,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843957,5,43,1,0,6,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-04-10T17:02:59.169Z,2025-04-10T17:03:13Z,go4g6syxqw7nwn67c1am65t5,M. Mehnert,,,5639493097,286,0,5639493095,56,Center,5639493547,144,44,5639493133,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843939,3,43,1,0,6,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-10T17:02:59.170Z,2025-04-10T17:03:26Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5639492995,285,0,5639492993,56,Back,5639493983,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843983,5,4,1,0,9,6oxoag5c6zbnn09wx08vz4iak,1,35.6,83.4,2025-04-10T17:03:01.605Z,2025-04-10T18:01:56Z,9se6a4pxhy13alu316ttx2vhl,J. Sery Larsen,,,5639495931,233,6,5639493271,152,,5639495941,286,,5639493269,56,Back,5639493267,13,,5639498521,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843969,6,4,1,0,9,ew0hpuiweoltpsg5f51r2w64t,0,64.4,16.6,2025-04-10T17:03:01.606Z,2025-04-10T18:01:57Z,go4g6syxqw7nwn67c1am65t5,M. Mehnert,,,5639493167,56,Right,5639493453,13,,5639493455,294,,5639495949,233,5,5639493459,285,,5639493457,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
