id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2815265479,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-05-16T15:04:20.023Z,2025-05-16T15:56:11Z,,,,,5730071147,30,"16od5bk1t05mluydp8i4t2lg4, 30ojg24sppf8bzngafnd4neg9, barzsgnl7tazysx2d10yzj04q, 44t0ew97eyl8ww00sgusx00a2, b4nxbfm6audv844unlocgbsgl, 4fkb8m4vdcyn1iwck0ukhofmc, 2of6xfvdgpsrqehwxrc39kcq2, 58zj1aw2i5mfyzb3knj72xk6i, 4e7x4ulb3mcxgnue8c9exvazu, 115owbh8c39gfwcja2wxuweay, 6wwk8y9mklkh8x606ynhe1lp0, day3njm5hkudffvdvccpopbyt, d2xmywt450kjrph838hshcn3d, ar08l5yajxjdx0du3cvt6eq6s, 7ruc5zze6wi94ub7affwar9w5, 6wxneuych76i6tlb49sqkmy5m, f58yr2jmfp8kpgprfxbokt1t6, xctg7y5ks41cjjnerqkia38p, azurrp6gm0xahdwntj9clyiac, 2urilkjhzglzfbteda50ml8us",5730110415,197,29285,5730071153,130,8,5730071157,194,b4nxbfm6audv844unlocgbsgl,5730071155,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730071159,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730071151,59,"1, 32, 20, 6, 2, 30, 16, 8, 11, 10, 27, 13, 3, 4, 5, 7, 18, 19, 22, 29",5730071149,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,
2815265857,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-05-16T15:06:53.874Z,2025-05-16T16:07:53Z,,,,,5730073437,130,4,5730073435,59,"1, 26, 23, 10, 3, 6, 19, 8, 20, 27, 11, 12, 7, 14, 15, 17, 21, 32, 41, 43",5730073433,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730073443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730073441,194,62k4fq609h2evj1k2e1n42x91,5730110269,197,501,5730073431,30,"mh6rotmnlhe66f2y16c3vvmd, ahe00hzfpxhe742i5db3mpe6s, adthn237lwxewaxsrgd6hlu51, gbeebtmqq3qerrs4u7ikq0ru, 62k4fq609h2evj1k2e1n42x91, 9se6a4pxhy13alu316ttx2vhl, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, 3vuirsh6wmbhingygy27f0hqt, ce1q0p0ifilrb8wx6rmkcaeol, 2ku8s4c6qk2aghe47hwqgxfro, 76k8ic97o66kaq2e52bmp27ai, dfwjippbaspehxg8m8ui4djze, b29o112lpprnfqosulo4bc44, 1n9924y1nahaf0if575wgwonp, avnrtae50pid6aomt6sq3dqi2, 5coof7ruazt9nbjl5qvobe3v8, dyv2c0ne9bp3bpqa20a7a8ydw, 815zq6bo3kwxw8fl3bh381ez8",5730073439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2815272447,2,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-05-16T16:01:18Z,2025-05-16T16:01:19Z,,,,,5730114849,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272433,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-05-16T16:01:18Z,2025-05-16T16:01:18Z,,,,,5730114785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272459,3,1,1,0,0,doohk95o6e8pkqah8vkop51dg,1,50.9,50.0,2025-05-16T16:01:18.001Z,2025-05-16T16:01:21Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5730114893,56,Back,5730114897,141,44.6,5730114895,140,34.9,5730114899,212,17.2,5730114901,213,3.36,5730114903,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272473,4,43,1,0,3,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-05-16T16:01:21.384Z,2025-05-16T16:01:35Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5730114985,213,2.91,5730114983,212,10.3,5730114979,140,25.4,5730115299,144,1,5730114977,56,Back,5730114981,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272479,5,1,1,0,5,doohk95o6e8pkqah8vkop51dg,0,25.4,48.1,2025-05-16T16:01:23.432Z,2025-05-16T16:01:25Z,16od5bk1t05mluydp8i4t2lg4,M. Ndiaye,,,5730115021,157,,5730115027,141,100.0,5730115025,140,70.7,5730115023,56,Left,5730115033,1,,5730115029,212,59.7,5730115031,213,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272501,3,5,1,0,6,6oxoag5c6zbnn09wx08vz4iak,1,29.7,-1.0,2025-05-16T16:01:24.889Z,2025-05-16T18:16:09Z,ce1q0p0ifilrb8wx6rmkcaeol,B. Finne,,,5730115123,347,,5730115153,233,6,5730115121,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272483,6,5,1,0,6,doohk95o6e8pkqah8vkop51dg,0,70.3,101.0,2025-05-16T16:01:24.889Z,2025-05-16T18:16:10Z,16od5bk1t05mluydp8i4t2lg4,M. Ndiaye,,,5730115051,347,,5730115167,233,3,5730115049,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272517,4,1,1,0,10,6oxoag5c6zbnn09wx08vz4iak,1,30.8,0.0,2025-05-16T16:01:28.736Z,2025-05-16T16:01:32Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5730115221,141,13.6,5730115213,107,,5730115215,56,Back,5730115219,140,18.2,5730115223,212,16.5,5730115225,213,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272561,5,1,1,0,14,6oxoag5c6zbnn09wx08vz4iak,1,14.9,18.4,2025-05-16T16:01:32.424Z,2025-05-16T16:01:38Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5730115459,212,25.7,5730115451,140,7.5,5730115463,213,1.88,5730115447,56,Back,5730115455,141,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272607,6,1,1,0,20,6oxoag5c6zbnn09wx08vz4iak,1,15.5,53.4,2025-05-16T16:01:38.087Z,2025-05-16T16:01:42Z,mh6rotmnlhe66f2y16c3vvmd,M. Dyngeland,,,5730115679,141,10.9,5730115685,213,5.76,5730115687,1,,5730115677,140,62.9,5730115675,56,Right,5730115673,157,,5730115681,212,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272613,7,44,1,0,24,6oxoag5c6zbnn09wx08vz4iak,1,64.6,20.0,2025-05-16T16:01:42.224Z,2025-05-16T16:02:47Z,3vuirsh6wmbhingygy27f0hqt,M. Sande,,,5730115699,56,Right,5730115731,233,7,5730115701,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
