id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2818803813,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-25T11:34:53.754Z,2025-05-25T14:50:34Z,,,,,5749590475,130,7,5749590473,59,"1, 18, 26, 17, 4, 28, 5, 16, 14, 20, 7, 34, 6, 8, 10, 19, 23, 46",5749590471,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5749670799,197,29281,5749590481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749590479,194,7m4f590x3kc3935gpg72xhg45,5749590469,30,"2y89r1uyyagwssn9m67ihdo7p, 97aigdp5c2m2sd1eoq143q8kp, 3qe0mkctopr68r841nrp2740k, cdqa1j5yeh8u9ll0ijx28oyj9, 2i92r2eksw9ty9kis974k3uqy, 6hfh81884cw22q8ekjmiezq39, 5p8387bgyjiuekkccl4j6kamt, cv38uxcibt3cwwj54m9ydg86i, 617qfwb824ko8xrulrp6b86ad, 2hwemaa18hwlq3c4i208lbbo5, 7m4f590x3kc3935gpg72xhg45, 2rfdbxta1ako8hu4pg7kv07h1, azgn1hgiep0jbrbdirnkut2zu, 9fu1wk5unisycn8mt5j1p04ph, 5al9uyujlrlb17o4r5sapkkk4, 9mt0cpw6rkuv6ndn4jbon6hg5, 6mzoir7lrrfehbzgu7gmnwyl0, birdlua3bxdp0lln5sjbx13pw",5749590477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818804561,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-25T11:38:06.644Z,2025-05-25T12:28:49Z,,,,,5749594669,30,"6y6xobx7t2qx431s59kv8hk9h, 1t1ylf4iwrotj4jjf9qfzbieh, c1p51x3fg0dgss14z9vozfqc4, dd53d1radlkv7y24724vkol49, 2gbfwdmpk5gfmcc979aqfkyxh, 424bbibjsasfjrkjoa0jfkhk9, 9v4rtbzr5f45x65os81wwuqne, 4m57qe3mtal1r68md5yj8xvc9, iuf92spli9o5l8r9ftooufah, bb7inex45spf3wj9dqw8sbqi, 6ybcevijvdov8qj1hxcbw3dd6, 3dz611s3q1kjhrzt8ixv4jbhl, 6r0yq4i1lk788h1euk5ztec5, d9d7ec57xuvrsby6xd45v50r8, a9guphf8p0im4it165fsqhud, 5yhieehol1p5crvzjd55ac8wk, 2w7qb6w4qcogyuvgi31rfv85w, bop1j9fi00opeyzscvsw6xpn8, 8pzgnj5qdty3jl94lcrxwxgk4, cqp45uxqfxgeit1km2bu79s7o",5749594679,194,424bbibjsasfjrkjoa0jfkhk9,5749674285,197,29044,5749594673,59,"12, 22, 5, 26, 2, 14, 18, 11, 10, 19, 6, 30, 7, 15, 16, 17, 20, 24, 25, 34",5749594681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749594677,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749594671,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749594675,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818819747,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-25T12:30:51.522Z,2025-05-25T12:30:51Z,,,,,5749678369,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818819749,2,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-25T12:30:51.522Z,2025-05-25T12:30:54Z,,,,,5749678371,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818819767,3,1,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,50.0,50.0,2025-05-25T12:30:51.523Z,2025-05-25T12:30:54Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5749678443,140,24.6,5749678449,213,3.33,5749678441,56,Back,5749678445,141,42.5,5749678447,212,27.2,5749678451,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818819795,4,1,1,0,2,crlocdyqyb1fdhck54qxs65rl,0,29.7,36.3,2025-05-25T12:30:53.834Z,2025-05-25T12:30:59Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5749678659,140,80.3,5749678663,212,56.5,5749678657,56,Right,5749678667,1,,5749678661,141,8.2,5749678665,213,5.94,5749678655,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818819817,3,12,1,0,10,45v50owpvshpijizwwlcw4lni,1,11.5,95.5,2025-05-25T12:31:02.119Z,2025-05-25T12:31:03Z,3qe0mkctopr68r841nrp2740k,S. Kabini,,,5749678849,141,100.0,5749678847,140,16.8,5749678853,213,0.61,5749678851,212,6.8,5749678845,56,Back,5749678883,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818819823,4,5,1,0,11,45v50owpvshpijizwwlcw4lni,0,20.0,101.3,2025-05-25T12:31:02.814Z,2025-05-25T12:31:55Z,3qe0mkctopr68r841nrp2740k,S. Kabini,,,5749678875,56,Back,5749679799,233,5,5749678877,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818819991,5,5,1,0,11,crlocdyqyb1fdhck54qxs65rl,1,80.0,-1.3,2025-05-25T12:31:03.050Z,2025-05-25T12:31:54Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5749679781,233,4,5749679773,347,,5749679771,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818820013,6,1,1,0,31,crlocdyqyb1fdhck54qxs65rl,0,80.0,0.0,2025-05-25T12:31:23.267Z,2025-05-25T12:31:27Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5749679897,107,,5749679909,1,,5749679903,141,42.1,5749679907,213,1.28,5749679899,56,Center,5749679901,140,88.5,5749679905,212,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
