id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2819415615,1,34,16,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-05-26T16:13:54.375Z,2025-05-26T20:57:59Z,,,,,5752955255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5753017051,197,23564,5752955249,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5752955257,194,c1jlypnkt4c9y9vdnjkvxa85x,5752955251,59,"1, 14, 16, 15, 5, 3, 25, 7, 11, 22, 8, 12, 2, 4, 17, 19, 26, 28, 33, 42",5752955253,130,12,5752955259,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5752955247,30,"7f0drwvw3zquh352luxegqtpl, 2dgff1agcaa5ohb0f4wn64ay2, 58ufmirzy800nq7gucsiz3hg4, 67nybn375tyqdqae4m1yk407o, 5u4eoypx0tb3t0brk2dv8sm0a, 1pobxn4eg4l8phk4ug0t56t7u, euc11yjkfscwt6xsiitlorz10, c1jlypnkt4c9y9vdnjkvxa85x, etz2bmorno30rw9efxkc0ufo, 3iolpwrv18gtlyse7ih3nt91w, 3usrzzduezg3zt3usvuayxxm2, 7ka7fuh355172r0uh84n4z7u2, 5szykye2vk3nx7r5lhzn2ljx0, 657z9s0rqlzub9nmdpb7ct82c, 26ro2zdtkq9ia7dzr9ellxkvd, biibwjyc33yv901fetordsv84, 3hup5rvg21nkou5psia9pe9sk, 7yjrb3xvu6xzo23j6d8eu2sfe, c78cublmvb2gg8gzk999xn9hx, dvrvgq5j49kb9vfergmluyxyi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819417617,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-05-26T16:22:20.021Z,2025-05-26T19:58:19Z,,,,,5753015867,194,2d9k8p22131is7op7vcn0arbp,5752966605,59,"21, 6, 27, 29, 4, 55, 26, 15, 80, 10, 11, 1, 3, 5, 9, 14, 20, 22, 23",5752966607,130,7,5752966601,30,"b5kti1udidgdjke5raks6iezu, 2d9k8p22131is7op7vcn0arbp, uw1y94hwwthwor4cohho58gk, 2rny9fva4m8awyltbc4ipftw4, fbd96sw3egypi2key2hxbnu2, 3ga4zm8ifo0ohz7xe03jxswkp, 3nl291loxoqoghj60c05rubro, a4de7kgp5ivhwckmtv5htu162, 4krwgfspxdgpq1pli11b04iga, 1w8gujxthv0lfjrn98paa1uga, 9xxdec5pv5plas9ve4ehs4nop, cpcjoijkj6xhmcbfnyuarh1hx, rzfthr8qys67ormz869jrndg, cft1n7qn5juaedelpvqwo2f3d, dodkgckgbecal0vivr1jf0hzo, c9tn3kw240q4qmcbml5vyb6z8, 8e70fy4a8pmhkhizrhlq261as, bi90ts7bjqsllbei6qtmx6has, c9a0owmk742hzaoxqlmxrruju",5753015691,197,531,5752966611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5752966603,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5752966609,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426307,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-05-26T17:01:34.862Z,2025-05-26T17:01:37Z,,,,,5753017531,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426303,2,32,1,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-05-26T17:01:34.862Z,2025-05-26T17:01:35Z,,,,,5753017517,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426321,3,1,1,0,0,4q0b35m26thti4c2on9a3npk0,1,50.1,49.4,2025-05-26T17:01:34.863Z,2025-05-26T17:01:38Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,,5753017633,212,19.5,5753017627,56,Back,5753017637,279,S,5753017629,140,32.6,5753017635,213,2.81,5753017631,141,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426327,4,1,1,0,3,4q0b35m26thti4c2on9a3npk0,1,32.6,58.8,2025-05-26T17:01:38.255Z,2025-05-26T17:54:45Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,,5753017679,213,1.21,5753017673,140,36.5,5753017677,212,11.6,5753017675,141,74.7,5753017671,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426349,5,1,1,0,3,4q0b35m26thti4c2on9a3npk0,1,36.5,74.7,2025-05-26T17:01:38.855Z,2025-05-26T17:01:44Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,,5753017797,140,25.6,5753017801,212,30.5,5753017799,141,33.1,5753017795,56,Back,5753017803,213,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426375,6,1,1,0,9,4q0b35m26thti4c2on9a3npk0,1,25.6,33.3,2025-05-26T17:01:43.999Z,2025-05-26T17:54:44Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,,5753017971,141,59.0,5753017975,213,1.41,5753017969,140,28.3,5753017967,56,Back,5753017973,212,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426399,7,1,1,0,12,4q0b35m26thti4c2on9a3npk0,1,28.0,59.3,2025-05-26T17:01:47.479Z,2025-05-26T17:03:11Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,,5753018119,212,23.0,5753018121,213,3.83,5753018117,141,37.9,5753018113,56,Back,5753018115,140,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819426439,8,1,1,0,15,4q0b35m26thti4c2on9a3npk0,0,10.9,37.9,2025-05-26T17:01:50.479Z,2025-05-26T17:01:55Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,,5753018319,141,45.7,5753018321,212,67.0,5753018313,157,,5753018323,213,0.08,5753018325,1,,5753018317,140,74.5,5753018315,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
