id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/15/value
2818854715,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-05-25T14:01:14.441Z,2025-05-25T17:31:42Z,,,,5749997369,197,29992,5749876867,30,"cktx8pichvlnbdxizrosxckph, cqwjwlsum5q92s2k80w3temi2, 6ni1632pd1mkwbnjiglttoo2x, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, 60xm53o64nszavcsgfu5xzjyt, djxtqxvqxd70prbr1gkwjp3sa, cbgxwjokvziezgbbn0qu91s7o, bnjysriuqd4qe0fmh2ld8yk2c, e79tv8cwky1rcfjn35b629mmt, aeq6jlhgxpnkywoc20kp8tvu2, 8csmi6krrz8ju4085n6dgekt1, 5cjx2i2perp5vr62en4cyer1m, 4yive3zei0pzhsn0s9tccixhw, 587vmahr6cyqzuucjdgr0ttec, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg, 53vkcvwf46xgr7bvoqi9lpj4k",5749876873,130,7,5749876869,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749876871,59,"1, 5, 23, 8, 21, 25, 10, 7, 20, 33, 17, 30, 2, 3, 19, 24, 26, 27, 28, 31",5749876879,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749876877,194,bjqtzq0xcvtmbn54orj7rn5xx,5749876875,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818856849,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-05-25T14:08:09.863Z,2025-05-25T17:22:22Z,,,,5749888873,194,3sfh0fq729hxtea9rzfke9979,5749888867,59,"12, 22, 15, 20, 4, 5, 10, 8, 25, 16, 9, 40, 3, 6, 7, 11, 18, 21, 31, 33",5749888869,130,4,5749998143,197,29048,5749888871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749888865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749888863,30,"45d87fg5d9k6rvgkkoqcdr384, 4zypjoj5r2y9fqpqxn8cd7o16, 6hzeyz7yomlqkb0aukl4ms6j8, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, bqcjd0macjc7hmtz7zx34ym6t, 94s19kazaywfzrg007vsha6wa, 8jn4wq3d1ro8f89lttw4b9rzd, 8qmrc7p7k4bod8ojxl5ib6ot0, 7fsqcwqftmk6lms6f6u8lpdlg, 967mt42odhjqtdjxsf4epxxw, a7upy78sew3kqehgcfm9ho5ck, dn00381nbniepgi4qj7yjkv84, 33upoxyyqkh71m6d0b2nsn95g, d0phfsg3amx6r0xblx5wia9k9, dfinorpyitke7fsso0fkgz28k, 6cu5njaghdntn0z9b1i6yb71m, 1epsroqvrfkhc7zhexcsl0vtg, dt6oacdhzssj4bu3a9rp8jdas",5749888875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876783,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-05-25T15:01:07.784Z,2025-05-25T15:01:08Z,,,,5750002389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876795,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-05-25T15:01:07.784Z,2025-05-25T15:01:10Z,,,,5750002441,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876889,3,1,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,50.0,50.0,2025-05-25T15:01:07.785Z,2025-05-25T15:01:12Z,94s19kazaywfzrg007vsha6wa,R. Alte,,5750002801,56,Back,5750002811,279,S,5750002803,140,21.5,5750002805,141,55.5,5750002809,213,3.02,5750002807,212,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876921,4,1,1,0,4,uqspd1bx7f6mq8ohj50u1k1k,0,20.5,58.7,2025-05-25T15:01:12.378Z,2025-05-25T15:01:14Z,45d87fg5d9k6rvgkkoqcdr384,A. Sæther,,5750002967,56,Center,5750002973,212,54.0,5750002977,1,,5750002969,140,66.2,5750002975,213,5.81,5750002971,141,22.4,5750002965,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876943,3,1,1,0,7,bsykw9d70ffqe9atosc92n1e9,1,24.3,66.9,2025-05-25T15:01:14.976Z,2025-05-25T15:01:16Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,5750003069,140,33.8,5750003071,141,60.3,5750003065,56,Back,5750003079,213,5.86,5750003075,212,10.9,5750003081,1,,5750003061,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876953,4,1,1,0,8,bsykw9d70ffqe9atosc92n1e9,0,33.8,60.3,2025-05-25T15:01:16.095Z,2025-05-25T15:01:24Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,5750003113,141,61.2,5750003567,168,,5750003111,140,51.7,5750003117,213,0.03,5750003107,3,,5750003109,56,Center,5750003115,212,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877001,5,1,1,0,10,uqspd1bx7f6mq8ohj50u1k1k,1,58.8,30.1,2025-05-25T15:01:17.977Z,2025-05-25T15:01:20Z,15823p8n34f7coivq6wq687is,W. Igor,,5750003385,140,49.5,5750003391,213,4.10,5750003387,141,9.5,5750003389,212,17.1,5750003383,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877031,6,1,1,0,12,uqspd1bx7f6mq8ohj50u1k1k,1,47.2,10.3,2025-05-25T15:01:20.474Z,2025-05-25T15:01:24Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,5750003557,212,13.9,5750003559,213,2.76,5750003553,140,34.9,5750003551,56,Back,5750003555,141,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
