id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2797252441,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-06T14:16:08.867Z,2025-04-06T14:57:44Z,,,,,5630579191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630817143,197,6463,5630579181,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630579179,30,"8u1ii0vmhpub1p2gbsk1w7yzt, 4zypjoj5r2y9fqpqxn8cd7o16, 6hzeyz7yomlqkb0aukl4ms6j8, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, bqcjd0macjc7hmtz7zx34ym6t, 8jn4wq3d1ro8f89lttw4b9rzd, 94s19kazaywfzrg007vsha6wa, 33upoxyyqkh71m6d0b2nsn95g, 45d87fg5d9k6rvgkkoqcdr384, a7upy78sew3kqehgcfm9ho5ck, dn00381nbniepgi4qj7yjkv84, 7fsqcwqftmk6lms6f6u8lpdlg, dfinorpyitke7fsso0fkgz28k, evp0uxt65iugdfwf403qqub6c, 6cu5njaghdntn0z9b1i6yb71m, 1epsroqvrfkhc7zhexcsl0vtg, dt6oacdhzssj4bu3a9rp8jdas",5630579187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630579185,130,7,5630579183,59,"1, 22, 15, 20, 4, 5, 16, 10, 25, 8, 7, 12, 3, 6, 9, 18, 19, 21, 31, 33",5630579189,194,3sfh0fq729hxtea9rzfke9979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797255277,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-04-06T14:18:44.993Z,2025-04-06T19:32:48Z,,,,,5630594911,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5630594909,130,2,5630594903,30,"dk56pv43y8zo39ft9xtwyapnu, 7yjqvzpcyyil0g7jne4hv7svd, 95wuw8954h8drdxpx3f2wvuvo, 4z3w46k9n0yocg319dcewwz8q, 2gxvele61txnvuc7sxszfqaga, c2pyie18ewq33hdvoaljwkbca, egd6w206242dh7aowfzmwyane, auv81snxkpk2ybxzi8giy5azt, 342b6q9d0ghvvizc2s6801ses, 7adevxj1o3gpqpmrv3f72v3oq, 34lcrlx7ddks5ko8s8opi44k4, 8nsdvpmkl64l0pimku0cox61h, 8fqnvz74z901a2h0kgk1zezje, 4z8yicyffnto09vgpxp2bt1pl, bwh09f38vm5unavkfqnccvx05, 6yyum3rgz21z8aln67irm508a, 3jgniouh70v4y74ly7u681o89, bs4q35yv3qe37wu1u18ajx8us, a6tl97co89j46h3vvy2edpafo",5630594913,194,7yjqvzpcyyil0g7jne4hv7svd,5630594905,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5630594915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630594907,59,"12, 26, 17, 8, 5, 24, 11, 19, 32, 18, 22, 99, 2, 3, 4, 9, 16, 23, 29",5630816365,197,28385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298409,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-04-06T15:01:16.159Z,2025-04-06T15:01:16Z,,,,,5630832849,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298421,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-06T15:01:16.159Z,2025-04-06T15:01:19Z,,,,,5630832903,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298465,3,1,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,50.1,49.9,2025-04-06T15:01:16.160Z,2025-04-06T15:01:19Z,34lcrlx7ddks5ko8s8opi44k4,H. Larsen,,,5630833181,140,48.9,5630833191,278,,5630833185,212,2.2,5630833183,141,52.5,5630833189,279,S,5630833187,213,2.19,5630833179,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298473,4,1,1,0,1,eujf9nqky8c5jnahb2f76m86o,1,48.9,52.7,2025-04-06T15:01:17.776Z,2025-04-06T15:01:20Z,7adevxj1o3gpqpmrv3f72v3oq,Duarte Moreira,,,5630833231,213,4.19,5630833227,141,14.7,5630833223,56,Back,5630833229,212,29.8,5630833225,140,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298525,5,1,1,0,4,eujf9nqky8c5jnahb2f76m86o,1,33.8,12.2,2025-04-06T15:01:20.513Z,2025-04-06T15:01:25Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5630833561,141,6.4,5630833565,213,6.18,5630833555,155,,5630833563,212,40.2,5630833559,140,71.9,5630833567,1,,5630833557,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298531,6,61,1,0,7,eujf9nqky8c5jnahb2f76m86o,0,71.1,8.0,2025-04-06T15:01:23.937Z,2025-04-06T16:00:14Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5630833607,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298541,3,3,1,0,8,uqspd1bx7f6mq8ohj50u1k1k,1,29.1,86.4,2025-04-06T15:01:24.918Z,2025-04-06T17:57:09Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5630833775,233,7,5630833663,56,Back,5630833665,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298555,7,45,1,0,8,eujf9nqky8c5jnahb2f76m86o,0,70.9,13.6,2025-04-06T15:01:24.918Z,2025-04-06T17:57:10Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5630833745,286,,5630833743,56,Right,5630833801,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
