id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2810471607,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-04T16:08:51.089Z,2025-05-04T17:13:34Z,,,,,5703455457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5703455461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5703782811,197,21765,5703455455,130,4,5703455451,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5703455453,59,"1, 2, 19, 10, 38, 21, 8, 41, 39, 7, 35, 12, 4, 5, 6, 9, 15, 18, 23, 45",5703455459,194,544reefy86rc8827sl3xh3oph,5703455449,30,"bwzftrovpa0418aapl98og7l6, 9hg60gdc7h6dwo1qi4c7pc9nt, 2u8ylwu9kogk0jorpe517812i, 544reefy86rc8827sl3xh3oph, 7hs9c25dq0dbn8vrlgihjgay2, 929eyaq4a218jj3yahxtoeve2, qer4hblafo04av0aajfecclx, e58qeh3alborxqkuk5bz7nw9g, ec0e15kwv2vre5gnldajcwq8l, 8cjgce68a2vla1ebamgac4nx0, 4xnll2f9tb69wrezm04ayg76y, abaqhbxbckjup0ybs4o70vw89, a0dyuysg0p6ekvy4qkkfkwnvt, 5occq5bmrhcs8rtxwsdi18bf9, 1jp22ouky3tqtk04bvbfao7l6, 5o5f3xj6e86sw0pupxxx2nomi, eas91my7qw7etoha5plxfk9yi, bapdoe78rj82j550otb5zemwa, aulhjgm35swnx4k3rexbds8ut, f1naa48i09ck4srkhzxmdugwk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810473539,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-04T16:10:50.751Z,2025-05-04T21:35:57Z,,,,,5703466093,194,172cxj9mocjk4cor42kjka3mx,5703466087,59,"12, 2, 17, 19, 5, 24, 14, 26, 22, 18, 11, 1, 3, 4, 7, 8, 9, 15, 16, 32",5703777705,197,29128,5703466095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5703466091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5703466085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5703466089,130,8,5703466083,30,"dk56pv43y8zo39ft9xtwyapnu, 8fqnvz74z901a2h0kgk1zezje, 95wuw8954h8drdxpx3f2wvuvo, auv81snxkpk2ybxzi8giy5azt, 2gxvele61txnvuc7sxszfqaga, c2pyie18ewq33hdvoaljwkbca, 172cxj9mocjk4cor42kjka3mx, 7yjqvzpcyyil0g7jne4hv7svd, 34lcrlx7ddks5ko8s8opi44k4, 7adevxj1o3gpqpmrv3f72v3oq, egd6w206242dh7aowfzmwyane, emce3apjphsh1r4jm5pjzyz11, 4z8yicyffnto09vgpxp2bt1pl, bwh09f38vm5unavkfqnccvx05, 1iyf1mk4eakjc13z8iwvts222, 4z3w46k9n0yocg319dcewwz8q, 6yyum3rgz21z8aln67irm508a, 39zbpdxha7mync2430sxuig9h, 3jgniouh70v4y74ly7u681o89, 342b6q9d0ghvvizc2s6801ses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810532623,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-04T17:15:15.496Z,2025-05-04T17:15:17Z,,,,,5703792053,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810532611,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-04T17:15:15.496Z,2025-05-04T17:15:15Z,,,,,5703792023,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810532661,3,1,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,49.8,50.0,2025-05-04T17:15:15.497Z,2025-05-04T17:15:18Z,34lcrlx7ddks5ko8s8opi44k4,H. Larsen,,,5703792319,279,S,5703792313,141,53.7,5703792315,212,5.7,5703792311,140,44.9,5703792321,278,,5703792309,56,Back,5703792317,213,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810532685,4,1,1,0,3,eujf9nqky8c5jnahb2f76m86o,1,44.2,53.3,2025-05-04T17:15:18.737Z,2025-05-04T17:15:20Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5703792483,213,3.64,5703792477,140,31.1,5703792479,141,42.4,5703792473,56,Back,5703792481,212,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810532705,5,1,1,0,4,eujf9nqky8c5jnahb2f76m86o,1,31.1,42.4,2025-05-04T17:15:20.472Z,2025-05-04T17:15:22Z,2gxvele61txnvuc7sxszfqaga,J. Haahr,,,5703792627,212,31.7,5703792619,56,Center,5703792631,1,,5703792625,141,37.0,5703792621,140,61.1,5703792617,157,,5703792629,213,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810532709,6,61,1,0,7,eujf9nqky8c5jnahb2f76m86o,0,60.5,38.2,2025-05-04T17:15:22.528Z,2025-05-04T17:15:23Z,7adevxj1o3gpqpmrv3f72v3oq,Duarte Moreira,,,5703792655,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810532745,4,1,1,0,8,c7jgkxx1czv5etn7snf1r6p2m,1,34.8,59.7,2025-05-04T17:15:23.585Z,2025-05-04T17:15:25Z,qer4hblafo04av0aajfecclx,I. Fossum,,,5703792819,212,17.2,5703792813,56,Back,5703792821,213,3.97,5703792815,140,23.7,5703792817,141,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810532801,5,1,1,0,9,c7jgkxx1czv5etn7snf1r6p2m,1,23.7,41.0,2025-05-04T17:15:24.936Z,2025-05-04T17:15:28Z,7hs9c25dq0dbn8vrlgihjgay2,M. Ceïde,,,5703793197,141,49.1,5703793201,212,18.3,5703793195,140,7.1,5703793205,213,2.84,5703793193,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
