id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818857717,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-05-25T14:10:36.782Z,2025-05-25T15:09:24Z,,,,,5750048843,197,29288,5749893913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749893901,30,"9oc4or4w78wl51wehk66xb4k5, 4hdrcg8os3e1uf9syfv5mpiol, 6c9jzebimd3c53gpxa35sxzah, 3vh1sx99telj2gktbljiarap5, cs99i7ypembqsswr96y6n53ze, 4hmj5l79xbxxkyuxdx47lj8wl, go4g6syxqw7nwn67c1am65t5, 15wt9e9girpzdqw5y2hb4awut, 5362zl678ibx1md2kk6t4r47o, 7gnn9d501aradmmdrhhs5vfo4, 4vp5w5ahxvyk2iu4ymm9ksl7u, cr3712pf5aekd2bmmucpfcqvo, 5tnye4i4soi822vm0nncgoa, 7u76uh9164fs8tx6zqw0icqtx, ap46gkx1wxiog02327an06jv8, 37nltbem26wbv5t8fl9yu7gno, 4ja6as3sd53z72xqa7p8vrv9w, bh4tgnopvaormeadqqfl4zms4, b9jnt91acdlokhw6c59l681zo",5749893905,59,"1, 26, 17, 8, 27, 71, 77, 10, 7, 22, 21, 12, 4, 5, 6, 15, 16, 39, 84",5749893911,194,4hmj5l79xbxxkyuxdx47lj8wl,5749893903,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5749893907,130,8,5749893909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818864785,1,34,16,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-05-25T14:28:06.280Z,2025-05-25T18:14:41Z,,,,,5749934061,59,"30, 4, 17, 6, 2, 47, 7, 18, 11, 20, 27, 1, 3, 5, 8, 10, 21, 26, 43, 19",5749934057,30,"9l1jrghczcsus55hd9hx6gdzp, 1j7zubyq25gltkrmrqb8xiyy2, 92xhspr6bl1jyhqru3tsbjvqi, 3e1tqerfmnsaqicofczjljo8a, 7zy4bzry9weswip0jogur6fbo, 865wj533fx1l6pf8jd40uya6s, 8g5ms6uacdkgfcbxt4crlr4ve, 6wygyy5z5i0okllr83e9ej8ph, csoy01ylfrp2o2jso18oohmvo, 6hssnrvqsel6i5ca09p5730x6, v3hnsgptqqi0ystvybqtpyzu, bmaozrve14n5uj1a6q122dl3o, jfesb9jxg4g5yph0x6nabevo, be02ilslgkjzab6vsq70l53is, c57cmqsy5y46vndbsqq3pyu7e, dxmgpouxmhnss0ggxm6yqgo9, 2pv9d474cpuaz93ixmm1acljo, 6x3f721vjb8mxlp5ba3p1rb4k, di12pteex60qy5bdmm4lxt8no, cqbwi2vpug8530eao8ewo1tzo",5749934059,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749934065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749934063,130,8,5749995141,197,2276,5749934069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749934067,194,6wygyy5z5i0okllr83e9ej8ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876545,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-05-25T15:00:47.821Z,2025-05-25T15:00:48Z,,,,,5750001149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876569,2,32,1,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-05-25T15:00:47.821Z,2025-05-25T15:00:49Z,,,,,5750001283,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876609,3,1,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,50.5,50.1,2025-05-25T15:00:47.822Z,2025-05-25T15:00:51Z,15wt9e9girpzdqw5y2hb4awut,H. Stengel,,,5750001463,140,21.7,5750001469,213,2.88,5750001467,212,31.3,5750001465,141,62.0,5750001471,279,S,5750001461,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876659,4,1,1,0,3,ew0hpuiweoltpsg5f51r2w64t,0,23.2,53.6,2025-05-25T15:00:51.670Z,2025-05-25T15:00:55Z,9oc4or4w78wl51wehk66xb4k5,P. Kristian Bråtveit,,,5750001697,157,,5750001703,141,32.8,5750001699,56,Center,5750001709,1,,5750001707,213,5.97,5750001705,212,45.4,5750001701,140,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876675,3,12,1,0,8,btaf9fuj3xctycyjeqwereaow,1,30.0,70.5,2025-05-25T15:00:55.880Z,2025-05-25T15:49:15Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5750267511,15,,5750001795,56,Center,5750001801,212,25.7,5750001803,213,0.02,5750001799,141,71.4,5750001797,140,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876701,5,1,1,0,10,ew0hpuiweoltpsg5f51r2w64t,1,44.9,52.1,2025-05-25T15:00:58.526Z,2025-05-25T15:01:00Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5750001945,3,,5750001951,141,40.7,5750001949,140,54.3,5750001947,56,Center,5750001953,212,12.6,5750001955,213,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876715,6,1,1,0,12,ew0hpuiweoltpsg5f51r2w64t,1,54.3,40.7,2025-05-25T15:01:00.007Z,2025-05-25T15:01:01Z,15wt9e9girpzdqw5y2hb4awut,H. Stengel,,,5750002025,140,55.9,5750002023,56,Center,5750002029,212,2.4,5750002031,213,0.81,5750002027,141,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876743,7,1,1,0,13,ew0hpuiweoltpsg5f51r2w64t,0,55.6,44.8,2025-05-25T15:01:01.470Z,2025-05-25T15:01:03Z,3vh1sx99telj2gktbljiarap5,K. Krasniqi,,,5750002189,1,,5750002187,213,5.42,5750002183,141,10.4,5750002179,56,Right,5750002185,212,30.8,5750002181,140,74.7,5750002177,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876771,4,12,1,0,17,btaf9fuj3xctycyjeqwereaow,1,23.8,83.2,2025-05-25T15:01:05.233Z,2025-05-25T15:01:07Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5750002343,212,12.6,5750002341,141,83.2,5750002345,213,0.00,5750002337,56,Back,5750002339,140,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876789,8,1,1,0,19,ew0hpuiweoltpsg5f51r2w64t,0,60.4,11.1,2025-05-25T15:01:07.350Z,2025-05-25T15:01:08Z,cs99i7ypembqsswr96y6n53ze,F. Dahl,,,5750002399,3,,5750002407,212,8.8,5750002409,213,0.54,5750002403,140,67.6,5750002405,141,17.7,5750002401,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876833,6,1,1,0,19,btaf9fuj3xctycyjeqwereaow,0,34.6,74.2,2025-05-25T15:01:07.664Z,2025-05-25T15:01:10Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5750002605,213,0.76,5750002597,56,Left,5750002599,140,53.2,5750002595,155,,5750002603,212,26.9,5750002601,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876853,7,5,1,0,22,btaf9fuj3xctycyjeqwereaow,0,64.7,101.0,2025-05-25T15:01:10.198Z,2025-05-25T18:04:51Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5750939319,233,725,5750939467,347,,5750002635,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818970767,725,5,1,0,22,ew0hpuiweoltpsg5f51r2w64t,1,35.3,-1.0,2025-05-25T15:01:10.198Z,2025-05-25T18:02:11Z,9oc4or4w78wl51wehk66xb4k5,P. Kristian Bråtveit,,,5750529151,56,Back,5750939283,233,7,5750939435,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877147,10,1,1,0,43,ew0hpuiweoltpsg5f51r2w64t,0,30.9,0.0,2025-05-25T15:01:31.166Z,2025-05-25T15:01:33Z,4hdrcg8os3e1uf9syfv5mpiol,L. Vilsvik,,,5750004201,140,64.4,5750004205,212,41.3,5750004203,141,30.0,5750004209,1,,5750004199,56,Center,5750004197,107,,5750004207,213,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818924827,415,44,1,0,44,btaf9fuj3xctycyjeqwereaow,1,36.8,76.4,2025-05-25T15:01:32.820Z,2025-05-25T15:55:40Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5750270029,56,Back,5750270031,285,,5750270059,233,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818924727,407,44,1,0,45,ew0hpuiweoltpsg5f51r2w64t,0,63.2,23.6,2025-05-25T15:01:32.821Z,2025-05-25T15:55:40Z,5362zl678ibx1md2kk6t4r47o,N. Möller,,,5750269423,286,,5750270069,233,415,5750269421,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877225,8,8,1,0,45,btaf9fuj3xctycyjeqwereaow,1,40.0,68.7,2025-05-25T15:01:33.144Z,2025-05-25T16:02:39Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5750004587,56,Back,5750269245,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818924843,416,1,1,0,47,btaf9fuj3xctycyjeqwereaow,1,39.1,71.5,2025-05-25T15:01:34.821Z,2025-05-25T15:50:34Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,,5750270143,212,16.1,5750270137,56,Center,5750270139,140,54.1,5750270141,141,66.9,5750270145,213,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
