id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2804469757,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-04-21T14:11:28.237Z,2025-04-21T14:25:26Z,,,,,5670310859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670310863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670310861,194,4hmj5l79xbxxkyuxdx47lj8wl,5670310857,130,8,5670419203,197,524,5670310853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670310849,30,"9oc4or4w78wl51wehk66xb4k5, 4hdrcg8os3e1uf9syfv5mpiol, cs99i7ypembqsswr96y6n53ze, 3vh1sx99telj2gktbljiarap5, 6grill6jvkvpzba5atb3gnjzd, 4hmj5l79xbxxkyuxdx47lj8wl, go4g6syxqw7nwn67c1am65t5, 15wt9e9girpzdqw5y2hb4awut, 7io59zk29vhvyueadmkotzeqy, 7gnn9d501aradmmdrhhs5vfo4, 4vp5w5ahxvyk2iu4ymm9ksl7u, d1p2mgz94oi55fa1wd2uhx5ud, 5tnye4i4soi822vm0nncgoa, 7u76uh9164fs8tx6zqw0icqtx, ap46gkx1wxiog02327an06jv8, 5362zl678ibx1md2kk6t4r47o, 37nltbem26wbv5t8fl9yu7gno, 4ja6as3sd53z72xqa7p8vrv9w, 6c9jzebimd3c53gpxa35sxzah, bh4tgnopvaormeadqqfl4zms4",5670310855,59,"1, 26, 27, 8, 25, 71, 77, 10, 9, 22, 21, 24, 4, 5, 6, 7, 15, 16, 17, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804476289,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-21T14:16:02.342Z,2025-04-21T15:02:54Z,,,,,5670346759,130,4,5670346763,194,62k4fq609h2evj1k2e1n42x91,5670346765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670346757,59,"1, 23, 17, 10, 3, 26, 19, 8, 20, 7, 9, 12, 6, 11, 21, 27, 32, 41, 43, 39",5670346761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670346753,30,"mh6rotmnlhe66f2y16c3vvmd, adthn237lwxewaxsrgd6hlu51, 1n9924y1nahaf0if575wgwonp, gbeebtmqq3qerrs4u7ikq0ru, 62k4fq609h2evj1k2e1n42x91, ahe00hzfpxhe742i5db3mpe6s, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, 76k8ic97o66kaq2e52bmp27ai, 878hgn9q68ca8y0wmdih92h9l, 2ku8s4c6qk2aghe47hwqgxfro, 9se6a4pxhy13alu316ttx2vhl, ce1q0p0ifilrb8wx6rmkcaeol, avnrtae50pid6aomt6sq3dqi2, 3vuirsh6wmbhingygy27f0hqt, 5coof7ruazt9nbjl5qvobe3v8, dyv2c0ne9bp3bpqa20a7a8ydw, 815zq6bo3kwxw8fl3bh381ez8, 324mj5xttv0f2k1e1iiq4jms4",5670630335,197,501,5670346755,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528915,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-04-21T15:00:45.324Z,2025-04-21T15:00:45Z,,,,,5670636569,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528925,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-21T15:00:45.324Z,2025-04-21T15:00:47Z,,,,,5670636609,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528927,3,1,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,50.0,50.0,2025-04-21T15:00:45.617Z,2025-04-21T15:00:50Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5670636613,56,Back,5670636623,279,S,5670636617,141,65.1,5670636621,213,2.64,5670636619,212,21.2,5670636615,140,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528967,4,1,1,0,4,6oxoag5c6zbnn09wx08vz4iak,1,34.6,59.0,2025-04-21T15:00:50.234Z,2025-04-21T15:00:52Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5670636795,141,76.6,5670636799,213,1.48,5670636791,56,Back,5670636797,212,12.0,5670636793,140,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528971,5,1,1,0,6,6oxoag5c6zbnn09wx08vz4iak,0,30.8,84.7,2025-04-21T15:00:51.960Z,2025-04-21T15:00:52Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5670636811,141,61.8,5670636817,1,,5670636805,157,,5670636813,212,41.5,5670636809,140,67.4,5670636807,56,Center,5670636815,213,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529003,3,2,1,0,11,ew0hpuiweoltpsg5f51r2w64t,1,27.2,35.1,2025-04-21T15:00:56.621Z,2025-04-21T15:00:59Z,6grill6jvkvpzba5atb3gnjzd,J. Taaje,,,5670636975,140,61.1,5670637055,56,Center,5670637047,7,7io59zk29vhvyueadmkotzeqy,5670637051,1,,5670636977,141,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529021,6,55,1,0,11,6oxoag5c6zbnn09wx08vz4iak,1,33.5,50.3,2025-04-21T15:00:56.622Z,2025-04-21T17:23:04Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5671353669,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529069,7,1,1,0,22,6oxoag5c6zbnn09wx08vz4iak,1,44.9,53.4,2025-04-21T15:01:07.425Z,2025-04-21T15:02:56Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5670640421,140,29.1,5670644287,5,,5670640423,141,59.1,5670644289,152,,5670640427,213,2.91,5670640415,56,Back,5670640425,212,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529097,8,1,1,0,23,6oxoag5c6zbnn09wx08vz4iak,1,37.2,64.0,2025-04-21T15:01:08.825Z,2025-04-21T15:02:37Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5670637549,212,11.0,5670637547,141,72.4,5670637543,56,Back,5670637545,140,46.2,5670637551,213,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529101,9,1,1,0,25,6oxoag5c6zbnn09wx08vz4iak,0,52.5,81.1,2025-04-21T15:01:10.464Z,2025-04-21T15:01:11Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5670637561,56,Center,5670637569,213,6.15,5670637567,212,28.6,5670637559,157,,5670637563,140,79.5,5670637571,1,,5670637565,141,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529117,4,12,1,0,27,ew0hpuiweoltpsg5f51r2w64t,1,21.1,21.5,2025-04-21T15:01:12.492Z,2025-04-21T15:01:14Z,6grill6jvkvpzba5atb3gnjzd,J. Taaje,,,5670637655,56,Back,5670637657,140,18.5,5670637669,167,,5670637661,212,15.8,5670637663,213,4.54,5670637659,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529119,5,5,1,0,27,ew0hpuiweoltpsg5f51r2w64t,0,22.0,-1.6,2025-04-21T15:01:12.593Z,2025-04-21T17:15:11Z,6grill6jvkvpzba5atb3gnjzd,J. Taaje,,,5670637665,56,Back,5670637837,233,10,5670637667,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529151,10,5,1,0,27,6oxoag5c6zbnn09wx08vz4iak,1,78.0,101.6,2025-04-21T15:01:12.593Z,2025-04-21T17:15:11Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5670637817,56,Left,5670637829,233,5,5670637819,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529193,11,1,1,0,31,6oxoag5c6zbnn09wx08vz4iak,1,72.0,100.0,2025-04-21T15:01:17.193Z,2025-04-21T15:01:21Z,878hgn9q68ca8y0wmdih92h9l,N. Castro,,,5670638005,107,,5670638011,141,66.3,5670638007,56,Center,5670638013,212,24.5,5670638017,1,,5670638015,213,4.87,5670638009,140,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529203,12,61,1,0,36,6oxoag5c6zbnn09wx08vz4iak,0,83.1,67.6,2025-04-21T15:01:21.569Z,2025-04-21T15:01:22Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5670638069,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529307,6,12,1,0,36,ew0hpuiweoltpsg5f51r2w64t,1,9.9,26.7,2025-04-21T15:01:21.868Z,2025-04-21T15:01:35Z,6grill6jvkvpzba5atb3gnjzd,J. Taaje,,,5670638625,140,65.5,5670638631,213,6.22,5670638627,141,21.2,5670638629,212,58.5,5670638623,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529283,13,1,1,0,41,6oxoag5c6zbnn09wx08vz4iak,1,27.5,70.3,2025-04-21T15:01:27.136Z,2025-04-21T15:01:31Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5670638527,56,Back,5670638535,213,4.10,5670638529,140,17.8,5670638531,141,48.8,5670638533,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529295,14,1,1,0,46,6oxoag5c6zbnn09wx08vz4iak,0,16.5,31.2,2025-04-21T15:01:31.553Z,2025-04-21T15:01:34Z,mh6rotmnlhe66f2y16c3vvmd,M. Dyngeland,,,5670638591,1,,5670638589,213,0.24,5670638575,56,Center,5670638579,140,64.3,5670638571,157,,5670638583,141,49.1,5670638587,212,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529319,7,44,1,0,48,ew0hpuiweoltpsg5f51r2w64t,1,36.1,47.2,2025-04-21T15:01:33.647Z,2025-04-21T17:16:41Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5670638673,56,Back,5670638769,233,15,5670638675,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529299,15,44,1,0,48,6oxoag5c6zbnn09wx08vz4iak,0,63.9,52.8,2025-04-21T15:01:33.648Z,2025-04-21T17:16:42Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5670638599,286,,5670638597,56,Center,5670638801,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529329,8,12,1,0,49,ew0hpuiweoltpsg5f51r2w64t,1,25.6,37.1,2025-04-21T15:01:34.533Z,2025-04-21T15:06:04Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5670638725,141,12.3,5670638723,140,28.5,5670638727,212,17.1,5670638751,15,,5670638721,56,Back,5670638729,213,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529357,9,3,1,0,52,ew0hpuiweoltpsg5f51r2w64t,0,28.6,12.6,2025-04-21T15:01:37.792Z,2025-04-21T17:16:12Z,4hdrcg8os3e1uf9syfv5mpiol,L. Vilsvik,,,5670638875,56,Back,5670638929,233,16,5670638877,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529353,16,7,1,0,52,6oxoag5c6zbnn09wx08vz4iak,1,71.4,87.4,2025-04-21T15:01:37.793Z,2025-04-21T17:16:11Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5670638911,233,9,5670638915,286,,5670638869,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529359,17,43,1,0,53,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-21T15:01:38.464Z,2025-04-21T15:01:53Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5670639495,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529409,18,1,1,0,53,6oxoag5c6zbnn09wx08vz4iak,1,66.8,86.8,2025-04-21T15:01:38.616Z,2025-04-21T15:01:44Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5670639105,141,82.3,5670639101,56,Left,5670639109,213,5.70,5670639107,212,5.5,5670639103,140,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
