id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2810301783,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-05-04T13:57:13.499Z,2025-05-04T17:24:12Z,,,,5702529579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702529577,194,b4nxbfm6audv844unlocgbsgl,5702529569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702529571,59,"1, 32, 23, 6, 2, 30, 16, 8, 11, 10, 27, 13, 3, 4, 5, 7, 18, 19, 20, 29",5702529567,30,"16od5bk1t05mluydp8i4t2lg4, 30ojg24sppf8bzngafnd4neg9, c5487d4s89hhsne317nbsvdh, 44t0ew97eyl8ww00sgusx00a2, b4nxbfm6audv844unlocgbsgl, 4fkb8m4vdcyn1iwck0ukhofmc, 2of6xfvdgpsrqehwxrc39kcq2, 58zj1aw2i5mfyzb3knj72xk6i, 4e7x4ulb3mcxgnue8c9exvazu, 115owbh8c39gfwcja2wxuweay, 6wwk8y9mklkh8x606ynhe1lp0, day3njm5hkudffvdvccpopbyt, d2xmywt450kjrph838hshcn3d, ar08l5yajxjdx0du3cvt6eq6s, 7ruc5zze6wi94ub7affwar9w5, 6wxneuych76i6tlb49sqkmy5m, f58yr2jmfp8kpgprfxbokt1t6, xctg7y5ks41cjjnerqkia38p, barzsgnl7tazysx2d10yzj04q, 2urilkjhzglzfbteda50ml8us",5703050763,197,21768,5702529573,130,8,5702529575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810302379,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-05-04T13:58:10.332Z,2025-05-04T13:58:10Z,,,,5702533123,130,7,5702533131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702533125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702533117,30,"cktx8pichvlnbdxizrosxckph, cqwjwlsum5q92s2k80w3temi2, 6ni1632pd1mkwbnjiglttoo2x, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, cbgxwjokvziezgbbn0qu91s7o, djxtqxvqxd70prbr1gkwjp3sa, 60xm53o64nszavcsgfu5xzjyt, bnjysriuqd4qe0fmh2ld8yk2c, e79tv8cwky1rcfjn35b629mmt, aeq6jlhgxpnkywoc20kp8tvu2, 8csmi6krrz8ju4085n6dgekt1, 5cjx2i2perp5vr62en4cyer1m, 4yive3zei0pzhsn0s9tccixhw, 587vmahr6cyqzuucjdgr0ttec, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg, 53vkcvwf46xgr7bvoqi9lpj4k",5702533127,194,bjqtzq0xcvtmbn54orj7rn5xx,5702533129,197,528,5702533119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702533121,59,"1, 5, 23, 8, 21, 25, 10, 33, 20, 7, 17, 30, 2, 3, 19, 24, 26, 27, 28, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399371,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-05-04T15:01:04.540Z,2025-05-04T15:01:07Z,,,,5703063777,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399361,2,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-05-04T15:01:04.540Z,2025-05-04T15:01:04Z,,,,5703063751,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399429,3,1,1,0,0,doohk95o6e8pkqah8vkop51dg,1,50.0,50.0,2025-05-04T15:01:04.541Z,2025-05-04T16:00:59Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,5703064107,279,S,5703064087,56,Back,5703064089,140,24.5,5703064099,212,26.8,5703064103,213,3.14,5703064093,141,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399485,4,1,1,0,4,doohk95o6e8pkqah8vkop51dg,0,28.0,50.6,2025-05-04T15:01:08.868Z,2025-05-04T15:01:12Z,16od5bk1t05mluydp8i4t2lg4,M. Ndiaye,,5703064365,56,Center,5703064373,213,0.32,5703064375,1,,5703064363,157,,5703064369,141,70.5,5703064371,212,43.4,5703064367,140,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399493,3,44,1,0,7,bsykw9d70ffqe9atosc92n1e9,1,30.3,26.6,2025-05-04T15:01:12.277Z,2025-05-04T17:12:26Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,5703064423,285,,5703064581,233,5,5703064421,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399523,5,44,1,0,7,doohk95o6e8pkqah8vkop51dg,0,69.7,73.4,2025-05-04T15:01:12.278Z,2025-05-04T17:12:26Z,4e7x4ulb3mcxgnue8c9exvazu,D. Karlsbakk,,5703064553,286,,5703064549,56,Center,5703064619,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399501,4,12,1,0,8,bsykw9d70ffqe9atosc92n1e9,1,26.3,21.9,2025-05-04T15:01:12.730Z,2025-05-04T15:01:13Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,5703064453,141,26.5,5703064457,213,0.36,5703064483,15,,5703064449,56,Back,5703064451,140,34.1,5703064455,212,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399553,6,1,1,0,11,doohk95o6e8pkqah8vkop51dg,0,61.9,70.3,2025-05-04T15:01:15.973Z,2025-05-04T15:01:16Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,5703064747,56,Center,5703064743,155,,5703064753,140,71.1,5703064757,141,78.7,5703064759,212,11.2,5703064761,213,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
