id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value
2815312039,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-05-16T17:20:07.426Z,2025-05-16T21:35:36Z,,,,,5730473905,197,530,5730338495,194,2d9k8p22131is7op7vcn0arbp,5730338485,30,"cpcjoijkj6xhmcbfnyuarh1hx, 2d9k8p22131is7op7vcn0arbp, uw1y94hwwthwor4cohho58gk, 2rny9fva4m8awyltbc4ipftw4, 3ga4zm8ifo0ohz7xe03jxswkp, cft1n7qn5juaedelpvqwo2f3d, bzk5asrkwi0pvl6npmxb7jhzp, a4de7kgp5ivhwckmtv5htu162, 4krwgfspxdgpq1pli11b04iga, 1w8gujxthv0lfjrn98paa1uga, 9xxdec5pv5plas9ve4ehs4nop, b5kti1udidgdjke5raks6iezu, 769pk71w97o3z1x34npz8quh, rzfthr8qys67ormz869jrndg, fbd96sw3egypi2key2hxbnu2, dodkgckgbecal0vivr1jf0hzo, c9tn3kw240q4qmcbml5vyb6z8, bi90ts7bjqsllbei6qtmx6has, c9a0owmk742hzaoxqlmxrruju, 3nl291loxoqoghj60c05rubro",5730338493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730338489,59,"1, 6, 27, 29, 55, 5, 24, 15, 80, 10, 11, 21, 2, 3, 4, 9, 14, 22, 23, 26",5730338491,130,7,5730338497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730338487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815312967,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-16T17:21:26.209Z,2025-05-16T17:57:03Z,,,,,5730343579,59,"12, 22, 5, 26, 23, 14, 17, 11, 10, 19, 6, 30, 2, 15, 16, 18, 20, 24, 34, 7",5730343585,194,8nmrvwyosqdqwyqowvdqvahh,5730343577,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730472617,197,29045,5730343587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730343583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730343581,130,10,5730343575,30,"6y6xobx7t2qx431s59kv8hk9h, 1t1ylf4iwrotj4jjf9qfzbieh, c1p51x3fg0dgss14z9vozfqc4, dd53d1radlkv7y24724vkol49, 8nmrvwyosqdqwyqowvdqvahh, 424bbibjsasfjrkjoa0jfkhk9, 5yhieehol1p5crvzjd55ac8wk, 4m57qe3mtal1r68md5yj8xvc9, iuf92spli9o5l8r9ftooufah, bb7inex45spf3wj9dqw8sbqi, 6ybcevijvdov8qj1hxcbw3dd6, 3dz611s3q1kjhrzt8ixv4jbhl, 2gbfwdmpk5gfmcc979aqfkyxh, d9d7ec57xuvrsby6xd45v50r8, a9guphf8p0im4it165fsqhud, 9v4rtbzr5f45x65os81wwuqne, 2w7qb6w4qcogyuvgi31rfv85w, bop1j9fi00opeyzscvsw6xpn8, cqp45uxqfxgeit1km2bu79s7o, 6r0yq4i1lk788h1euk5ztec5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336789,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-05-16T18:00:15.473Z,2025-05-16T18:00:15Z,,,,,5730477467,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336795,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-16T18:00:15.473Z,2025-05-16T18:00:16Z,,,,,5730477485,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336801,3,1,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,50.0,50.0,2025-05-16T18:00:15.474Z,2025-05-16T18:00:17Z,bzk5asrkwi0pvl6npmxb7jhzp,P. Strand,,,5730477505,56,Back,5730477513,213,3.52,5730477511,212,23.9,5730477507,140,28.8,5730477509,141,37.1,5730477515,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336805,4,1,1,0,1,8q6cv8g4bd3xdl7m88kll16na,1,28.8,37.1,2025-05-16T18:00:17.364Z,2025-05-16T18:55:33Z,3ga4zm8ifo0ohz7xe03jxswkp,S. Jarl,,,5730712011,155,,5730477545,1,,5730477535,56,Left,5730477537,140,59.6,5730477539,141,94.3,5730477541,212,50.6,5730477543,213,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336809,5,61,1,0,3,8q6cv8g4bd3xdl7m88kll16na,0,59.6,94.3,2025-05-16T18:00:19.084Z,2025-05-16T19:03:38Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5730477567,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336813,3,5,1,0,8,crlocdyqyb1fdhck54qxs65rl,1,37.0,-1.0,2025-05-16T18:00:23.759Z,2025-05-16T20:48:49Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5730477585,347,,5730477607,233,6,5730477583,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336811,6,5,1,0,8,8q6cv8g4bd3xdl7m88kll16na,0,63.0,101.0,2025-05-16T18:00:23.759Z,2025-05-16T18:00:29Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5730477581,347,,5730477631,233,3,5730477579,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336841,4,1,1,0,8,crlocdyqyb1fdhck54qxs65rl,1,35.6,0.0,2025-05-16T18:00:24.459Z,2025-05-16T18:00:29Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5730477745,213,2.75,5730477729,107,,5730477741,141,7.0,5730477743,212,14.9,5730477737,140,22.5,5730477733,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336847,5,1,1,0,11,crlocdyqyb1fdhck54qxs65rl,1,22.0,12.5,2025-05-16T18:00:27.075Z,2025-05-16T18:00:30Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5730477777,141,32.8,5730477773,56,Back,5730477779,212,21.0,5730477775,140,6.9,5730477781,213,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336891,6,1,1,0,14,crlocdyqyb1fdhck54qxs65rl,1,8.2,31.6,2025-05-16T18:00:29.786Z,2025-05-16T18:00:35Z,6y6xobx7t2qx431s59kv8hk9h,M. Sandberg,,,5730478009,1,,5730478007,213,5.88,5730478001,140,45.0,5730478003,141,7.4,5730478005,212,42.0,5730477997,157,,5730477999,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336893,7,1,1,0,19,crlocdyqyb1fdhck54qxs65rl,0,45.0,7.6,2025-05-16T18:00:35.035Z,2025-05-16T18:01:13Z,5yhieehol1p5crvzjd55ac8wk,A. Potur,,,5730478027,213,1.47,5730478021,140,45.9,5730478023,141,20.9,5730478019,56,Back,5730478025,212,9.1,5730478017,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336905,8,1,1,0,20,8q6cv8g4bd3xdl7m88kll16na,1,53.1,73.2,2025-05-16T18:00:36.004Z,2025-05-16T18:00:38Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5730478085,213,3.90,5730478079,140,36.3,5730478077,56,Back,5730478081,141,48.6,5730478083,212,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336959,9,1,1,0,22,8q6cv8g4bd3xdl7m88kll16na,1,33.9,44.8,2025-05-16T18:00:38.395Z,2025-05-16T18:00:44Z,3ga4zm8ifo0ohz7xe03jxswkp,S. Jarl,,,5730478349,213,5.04,5730478343,140,40.8,5730478341,56,Back,5730478347,212,22.5,5730478345,141,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815336975,10,1,1,0,28,8q6cv8g4bd3xdl7m88kll16na,1,48.1,19.5,2025-05-16T18:00:44.148Z,2025-05-16T18:00:46Z,2d9k8p22131is7op7vcn0arbp,V. Hedenstad,,,5730478433,213,1.56,5730478427,140,48.5,5730478431,212,33.4,5730478429,141,68.6,5730478425,56,Back,5730478435,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337011,11,1,1,0,31,8q6cv8g4bd3xdl7m88kll16na,1,47.3,70.7,2025-05-16T18:00:46.595Z,2025-05-16T18:56:14Z,cft1n7qn5juaedelpvqwo2f3d,K. Tshiembe,,,5730478655,56,Left,5730478663,213,0.60,5730478661,212,27.8,5730478657,140,69.1,5730478659,141,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815378931,353,61,1,0,32,8q6cv8g4bd3xdl7m88kll16na,0,67.6,96.1,2025-05-16T18:00:47.473Z,2025-05-16T19:03:38Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5730714583,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337091,8,5,1,0,34,crlocdyqyb1fdhck54qxs65rl,1,26.0,-1.6,2025-05-16T18:00:50.306Z,2025-05-16T20:48:49Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5730479047,347,,5730479079,233,12,5730479045,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337015,12,5,1,0,34,8q6cv8g4bd3xdl7m88kll16na,0,74.0,101.6,2025-05-16T18:00:50.306Z,2025-05-16T20:48:49Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5730478673,347,,5730478671,56,Left,5730479087,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337107,9,1,1,0,44,crlocdyqyb1fdhck54qxs65rl,0,25.4,0.0,2025-05-16T18:01:00.396Z,2025-05-16T18:01:02Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5730479151,1,,5730479145,141,8.0,5730479147,212,23.1,5730479141,56,Back,5730479143,140,46.5,5730479149,213,0.29,5730479139,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337133,13,1,1,0,48,8q6cv8g4bd3xdl7m88kll16na,1,45.0,82.7,2025-05-16T18:01:03.644Z,2025-05-16T18:01:06Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5730479303,213,5.68,5730479297,141,73.3,5730479291,56,Center,5730479289,3,,5730479293,140,53.9,5730479299,212,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337143,14,50,1,0,50,8q6cv8g4bd3xdl7m88kll16na,1,55.1,79.4,2025-05-16T18:01:06.179Z,2025-05-16T19:02:20Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5730479455,233,10,5730479343,286,,5730479341,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337157,10,7,1,0,50,crlocdyqyb1fdhck54qxs65rl,1,44.9,20.6,2025-05-16T18:01:06.180Z,2025-05-16T19:02:19Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5730479393,285,,5730479391,56,Back,5730479427,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337183,12,1,1,0,53,crlocdyqyb1fdhck54qxs65rl,0,62.6,14.9,2025-05-16T18:01:08.818Z,2025-05-16T18:57:07Z,bb7inex45spf3wj9dqw8sbqi,K. Lien,,,5730479535,56,Right,5730479585,286,,5730719585,233,15,5730479579,236,,5730479541,212,2.5,5730479543,213,3.81,5730479539,141,12.6,5730479537,140,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337167,15,74,1,0,53,8q6cv8g4bd3xdl7m88kll16na,1,47.1,70.2,2025-05-16T18:01:08.819Z,2025-05-16T18:57:22Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5730479423,56,Back,5730479425,285,,5730480823,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815379907,354,83,1,0,54,8q6cv8g4bd3xdl7m88kll16na,0,38.5,71.8,2025-05-16T18:01:09.473Z,2025-05-16T18:57:20Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5730720191,399,bb7inex45spf3wj9dqw8sbqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337163,11,50,1,0,54,crlocdyqyb1fdhck54qxs65rl,1,59.3,20.5,2025-05-16T18:01:09.803Z,2025-05-16T19:02:20Z,bb7inex45spf3wj9dqw8sbqi,K. Lien,,,5730479493,286,,5730479405,56,Right,5730719589,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337179,16,7,1,0,54,8q6cv8g4bd3xdl7m88kll16na,1,40.7,79.5,2025-05-16T18:01:09.804Z,2025-05-16T19:02:20Z,a4de7kgp5ivhwckmtv5htu162,E. Hagen,,,5730719565,233,11,5730479519,56,Back,5730479521,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815380321,355,1,1,0,57,8q6cv8g4bd3xdl7m88kll16na,1,38.4,84.7,2025-05-16T18:01:12.473Z,2025-05-16T18:57:38Z,uw1y94hwwthwor4cohho58gk,Vinícius Nogueira,,,5730722255,140,27.6,5730722259,212,11.3,5730722257,141,84.6,5730722253,56,Back,5730722261,213,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337245,18,1,1,0,59,8q6cv8g4bd3xdl7m88kll16na,1,41.9,86.4,2025-05-16T18:01:15.245Z,2025-05-16T18:01:19Z,cft1n7qn5juaedelpvqwo2f3d,K. Tshiembe,,,5730479869,141,80.6,5730479867,140,21.1,5730479871,212,22.2,5730479873,213,3.32,5730479865,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337255,19,1,1,1,3,8q6cv8g4bd3xdl7m88kll16na,0,12.9,56.5,2025-05-16T18:01:19.139Z,2025-05-16T18:01:20Z,cpcjoijkj6xhmcbfnyuarh1hx,J. Storevik,,,5730479905,213,6.06,5730479897,56,Center,5730479899,140,67.0,5730479895,157,,5730479907,1,,5730479903,212,58.3,5730479901,141,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337265,13,1,1,1,5,crlocdyqyb1fdhck54qxs65rl,0,35.9,54.8,2025-05-16T18:01:20.475Z,2025-05-16T18:01:21Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5730479955,56,Center,5730479961,212,24.8,5730479963,213,6.15,5730479959,141,50.0,5730479957,140,59.3,5730479953,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337299,20,1,1,1,7,8q6cv8g4bd3xdl7m88kll16na,1,45.2,54.4,2025-05-16T18:01:22.955Z,2025-05-16T18:01:26Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5730480135,56,Back,5730480133,3,,5730480137,140,39.5,5730480139,141,77.4,5730480141,212,16.7,5730480143,213,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337317,21,1,1,1,10,8q6cv8g4bd3xdl7m88kll16na,1,39.9,82.0,2025-05-16T18:01:26.060Z,2025-05-16T18:01:29Z,uw1y94hwwthwor4cohho58gk,Vinícius Nogueira,,,5730480235,140,34.4,5730480241,213,4.28,5730480233,56,Back,5730480237,141,63.8,5730480239,212,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337341,22,1,1,1,13,8q6cv8g4bd3xdl7m88kll16na,1,34.4,63.8,2025-05-16T18:01:29.108Z,2025-05-16T18:01:31Z,cft1n7qn5juaedelpvqwo2f3d,K. Tshiembe,,,5730480347,213,6.16,5730480341,140,44.6,5730480343,141,61.8,5730480345,212,10.8,5730480339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337399,23,1,1,1,16,8q6cv8g4bd3xdl7m88kll16na,1,46.1,63.3,2025-05-16T18:01:31.691Z,2025-05-16T18:01:37Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5730480573,212,24.7,5730480571,141,90.9,5730480575,213,0.86,5730480569,140,61.4,5730480567,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815337411,24,1,1,1,21,8q6cv8g4bd3xdl7m88kll16na,1,58.9,77.3,2025-05-16T18:01:37.035Z,2025-05-16T18:01:40Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5730480649,141,59.9,5730480647,140,46.5,5730480645,56,Back,5730480653,213,3.88,5730480651,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
