id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/17/value
2701830495,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-07-19T14:57:05.313Z,2024-07-19T16:07:29Z,,,,,5109007609,59,"1, 2, 11, 40, 5, 3, 8, 7, 9, 31, 6, 10, 13, 18, 19, 22, 23, 26, 27, 29",5109007615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109007611,130,12,5109028305,194,3sadup8mjwu4dc96wz6lmixn9,5109028307,197,14750,5109007605,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, 3l3v5wj4c7vtqqwu05b526590, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, bxea3tj0tpi7zmf6k5jtut889, esasiq4j83g377zb8zi0bgpnt, efubck8twu1elbhlomltnjjtg, cgkvw4q8ddcjl0po181upzwx6, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, 3gemcjqban843su9c9y5l2sk4, 654obqy73ov2t5800r2woo6w9, ca1b5707pdpx0ucug40ggnahh",5109007607,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5109007613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701830579,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-07-19T14:58:51.741Z,2024-07-19T16:15:03Z,,,,,5109008069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109008057,30,"7yim2aepctujr2m4p20a97755, 8yfw9f74h0yfz51bkxxc8p39x, ajhd3cqclubmexhscpd4w4ez9, drlp4xtkta08jiu0px6m4ocq2, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, e6p5i2ujvk0t9mo0h2gvrlka1, 78kzajya12k4sm0ebfl37d6ok, 1sdsqfn743j5tqem8ra7sppn8, elhmf9cc26ec5p1wnwonuxf4l, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, 2mawaijd9czgtd5jh9myk434l, djlyi0ad4x1p0k4thn8n0axw4, bidudbkachfl6126lhlr254wk, bcscjb9jdgu4ims9n3vwuj5k9, 5cjx2i2perp5vr62en4cyer1m, 3xp5g6ooahnnxyqpldskaytp1, 8mn8apr6n7t7s6lx4d4vvdnca, 4fhpb0b8muboggvquj2pvsiqx",5109028391,197,24384,5109008067,194,a87w6l9zsbahdi4knm1347zs9,5109008065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109008061,59,"16, 6, 29, 24, 4, 22, 9, 21, 7, 18, 58, 1, 2, 11, 13, 14, 17, 45, 55, 73",5109008063,130,2,5109008059,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701834179,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-07-19T16:03:02.581Z,2024-07-19T16:03:04Z,,,,,5109029303,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701834177,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-07-19T16:03:02.581Z,2024-07-19T19:20:02Z,,,,,5109029301,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701834183,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.1,50.0,2024-07-19T16:03:02.582Z,2024-07-19T17:04:14Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,,5109029323,212,4.1,5109029321,141,47.0,5109029319,140,53.5,5109029327,279,S,5109029325,213,5.76,5109029317,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701834187,4,1,1,0,2,5rz9enoyknpg8ji78za5b82p0,0,53.5,47.0,2024-07-19T16:03:05.308Z,2024-07-19T16:05:22Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5109029357,213,0.76,5109029355,212,46.5,5109029351,140,85.6,5109029353,141,94.2,5109029347,155,,5109029359,1,,5109029349,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701834193,3,12,1,0,5,59as3grjvj19voay31j3yfgni,1,21.4,5.2,2024-07-19T16:03:08.017Z,2024-07-19T16:03:09Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5109029379,140,32.1,5109029391,167,,5109029381,141,0.0,5109029385,213,5.92,5109029377,56,Back,5109029383,212,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701834195,4,5,1,0,6,59as3grjvj19voay31j3yfgni,0,34.2,-1.4,2024-07-19T16:03:09.037Z,2024-07-19T16:03:31Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5109029609,233,5,5109029387,56,Back,5109029389,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701834239,5,5,1,0,6,5rz9enoyknpg8ji78za5b82p0,1,65.8,101.4,2024-07-19T16:03:09.037Z,2024-07-19T16:40:38Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5109029603,347,,5109029605,233,4,5109029601,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701834245,6,1,1,0,27,5rz9enoyknpg8ji78za5b82p0,1,69.6,100.0,2024-07-19T16:03:30.269Z,2024-07-19T16:03:34Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5109029637,107,,5109029649,1,,5109029643,141,94.2,5109029641,140,95.0,5109029639,56,Left,5109029645,212,27.1,5109029647,213,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
