id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId
2780036369,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-02-23T12:07:35.878Z,2025-02-23T13:10:50Z,,,,,5536360737,194,1arzd8hqj73byhduozscqz5uy,5536216481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536216473,130,4,5536216469,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5536360741,197,17331,5536216477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536216467,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, bcdp9e3dezuaybm8ndrsanbx0, 6v1kpakd3t0jhnoh1eh75ev4k, 7yst1mucy7jynmpzu1thox2i, hpzxgnwobdttfgd04dykf26t, 8mkrj5bnkyhx8kutc4656cy96, 2k8bmlxzt0qi7divtxye0a5ii, 5vrsflxiv2dgfa8199a2qxsve, 1arzd8hqj73byhduozscqz5uy, 5lz41celw55rz3zh8pohclw5w, 3q4tnk1z46lop4rbdpjtfoc2c, 8vi3l756ez0e96k7muvg4ekbu, 8bi1tlz62rjwyak4pnnzgp562, 20g27z0cklenjg7k0ox73wyc5, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, brinkgys7026490q3ixx6h9uc, bm3k1knugkwa8z319dscr2yhg, 697f50qoetodmfe8ybcuey2ac",5536216471,59,"1, 20, 5, 16, 4, 2, 6, 23, 27, 11, 10, 8, 13, 17, 19, 21, 22, 24, 26, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780036415,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-02-23T12:07:41.343Z,2025-02-23T13:43:58Z,,,,,5536216747,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, 654obqy73ov2t5800r2woo6w9, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 7je01bs3a4q6c2gd02ee6da3u, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, 3l3v5wj4c7vtqqwu05b526590, 9lecsi8eqpy3jj9zvvhahkvmc, ca1b5707pdpx0ucug40ggnahh, 5lssweodhkyifhj333v6f6r6c, 5f4qlbohzja204gxm9tkiekq2, cgkvw4q8ddcjl0po181upzwx6, 6jgd09iosfe5mn3tputmjx2ad, bz77hr28a1yskifpuvzu8smsq, 8xrco8qhcvplvc3wmcschoi22",5536216755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536216751,59,"1, 2, 11, 27, 5, 3, 8, 10, 9, 31, 6, 40, 30, 29, 23, 22, 19, 16, 15, 14",5536216749,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5536216757,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536362169,194,3sadup8mjwu4dc96wz6lmixn9,5536361913,197,14750,5536216753,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064913,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-02-23T13:02:55.505Z,2025-02-23T17:44:14Z,,,,,5536365991,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064921,3,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-02-23T13:02:55.505Z,2025-02-23T13:02:57Z,,,,,5536366023,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064949,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,49.8,50.0,2025-02-23T13:02:55.506Z,2025-02-23T13:02:59Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5536366203,56,Back,5536366213,279,S,5536366207,141,51.3,5536366205,140,34.4,5536366209,212,16.2,5536366211,213,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064969,4,1,1,0,3,5rz9enoyknpg8ji78za5b82p0,0,34.9,44.4,2025-02-23T13:02:59.279Z,2025-02-23T17:45:22Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5536366347,1,,5536366341,141,29.9,5536366345,213,6.09,5536366337,56,Center,5536366343,212,51.0,5536366339,140,82.6,5536366335,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064991,4,12,1,0,7,36g6ifzjliec1jqnbtf7yesme,1,18.3,69.6,2025-02-23T13:03:03.006Z,2025-02-23T13:03:04Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5536366461,141,61.8,5536366465,213,5.83,5536366463,212,12.2,5536366459,140,28.8,5536366501,15,,5536366457,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065019,5,1,1,0,8,5rz9enoyknpg8ji78za5b82p0,0,67.8,37.6,2025-02-23T13:03:03.935Z,2025-02-23T17:57:42Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5536366615,141,33.1,5536366607,157,,5536366619,213,6.03,5536366621,1,,5536366611,56,Center,5536366613,140,79.2,5536366617,212,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780065059,5,1,1,0,9,36g6ifzjliec1jqnbtf7yesme,0,21.9,58.7,2025-02-23T13:03:05.394Z,2025-02-23T17:58:13Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5536366799,3,,5536366805,141,65.7,5536366809,213,1.21,5536366807,212,5.1,5536366801,56,Back,5536366803,140,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780118783,387,61,1,0,10,5rz9enoyknpg8ji78za5b82p0,1,74.2,35.2,2025-02-23T13:03:05.612Z,2025-02-23T17:58:15Z,61sojkdsmaz9hbwaskt4rws15,M. Anderson,,,5536650881,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
