id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2711024191,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-19T15:56:24.951Z,2024-08-19T16:56:54Z,,,,,5160051503,194,3sadup8mjwu4dc96wz6lmixn9,5159972161,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5159972163,59,"1, 2, 11, 19, 5, 3, 8, 7, 9, 31, 6, 10, 18, 22, 23, 24, 26, 29, 33, 40",5159972159,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, bxea3tj0tpi7zmf6k5jtut889, efubck8twu1elbhlomltnjjtg, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, em0yawcqyqwf53hbj0zlz4duc, 3gemcjqban843su9c9y5l2sk4, ca1b5707pdpx0ucug40ggnahh, 9delpquqv81o7ftrgefb0wpp0, 3l3v5wj4c7vtqqwu05b526590",5160051331,197,14750,5159972169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5159972167,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5159972165,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711024631,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-19T15:59:54.568Z,2024-08-19T16:59:58Z,,,,,5159974681,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5159974673,30,"53y263xxfdf1itytiqhg3v6c5, 9s85lkd1qi525r4horgbtostl, 6xjbcik3a56d0vqy4vrq5eokp, 7hukebiijqntuvetwzralzuju, 6ylzm57bvpufg3cenadtv7qhh, 1ykl08k2c2kwxukw0gvslf6qd, 7uia9zlz3axnuc6usdn9u4kfe, 2anc9ug5nr25khmtcc4id2pxx, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 1yqlkot5sh85ot3eemo67djv9, 22zuxw8lez5w4vjd8spzzysyc, 3ylgelxr6ssp42hidfnchqp2i, 7rtrg77m3xozgfhu3p2ihfey2, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 6c2isptqoy4cq5c8rlr9s1roq, 6uvp2evoo07gv5rc5ht2l012i",5159974683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5160052461,197,12608,5160053251,194,7hukebiijqntuvetwzralzuju,5159974679,130,17,5159974677,59,"1, 25, 38, 4, 14, 13, 34, 5, 9, 37, 17, 3, 7, 8, 10, 11, 18, 24, 59, 71",5159974675,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711038331,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-19T17:00:31.498Z,2024-08-19T19:19:15Z,,,,,5160053589,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711038333,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-19T17:00:31.498Z,2024-08-19T17:00:32Z,,,,,5160053595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711038337,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,49.8,49.9,2024-08-19T17:00:31.499Z,2024-08-19T17:07:10Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,,5160053629,278,,5160053619,140,54.1,5160053625,213,5.91,5160053617,56,Center,5160053627,279,S,5160053621,141,47.3,5160053623,212,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711038341,4,1,1,0,7,5rz9enoyknpg8ji78za5b82p0,1,54.6,50.9,2024-08-19T17:00:38.606Z,2024-08-19T17:07:11Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5160053643,56,Left,5160053647,141,92.1,5160053653,1,,5160053645,140,73.6,5160053651,213,0.95,5160053649,212,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711038343,5,1,1,0,8,5rz9enoyknpg8ji78za5b82p0,1,73.6,92.1,2024-08-19T17:00:39.741Z,2024-08-19T17:00:40Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5160053657,56,Left,5160053661,141,82.3,5160053663,212,7.1,5160053659,140,75.9,5160053665,213,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711038349,6,1,1,0,8,5rz9enoyknpg8ji78za5b82p0,1,75.9,82.3,2024-08-19T17:00:40.364Z,2024-08-19T18:00:01Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,,5160053691,140,59.6,5160053693,141,92.0,5160053689,56,Left,5160202543,156,,5160053697,213,2.77,5160053695,212,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711038351,7,1,1,0,10,5rz9enoyknpg8ji78za5b82p0,1,59.6,92.0,2024-08-19T17:00:42.157Z,2024-08-19T17:00:44Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5160053707,140,70.4,5160053713,213,0.13,5160053705,56,Left,5160053711,212,11.4,5160053709,141,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711038361,8,1,1,0,12,5rz9enoyknpg8ji78za5b82p0,0,70.4,94.2,2024-08-19T17:00:44.284Z,2024-08-19T17:00:48Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,,5160053763,213,5.31,5160053759,141,42.4,5160053757,140,93.0,5160053755,56,Center,5160053761,212,42.5,5160053833,233,3,5160053751,2,,5160053765,1,,5160053753,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
