id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/9/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2783148231,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-02T15:57:24.023Z,2025-03-02T19:12:06Z,,,,5553194225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5553194219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5553194217,130,2,5553194211,30,"f2ibn3ej2doay3b4u8ezeix62, 6b8vhoisrfwkljhz4u7pduej8, dux0skggr99ydjz3kn58p3wmh, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, 6tckvu2rw7ns18dq7dim0sout, c9u2w9ikckbrra8vln2ucbf9w, 8inyievyp1az6q3dtlkpynf56, 8g4r9maz4invihjmdzpfxy0np, bbezbukg20q5b6kfnjuzhs55g, ckhhpn9ppgvlrtubf7li3se09, 7xc0qldxpidl07vij2wgu1sk5, ajjw1ikceu3g39sy6dsf9kdg4, 823p7p1amx8lp445bo6bi01lg, 9ic9msq3tj4gx8wqa6wfwk50q, 2ubad2kxha6n1c8c8sr2ogmad, ssluj1c3ft94nkfs58dc8cq2, rq6npjy37kolscu8lrj4r2dx, ftw3io63hk5vuoa3lyfgowes",5553194213,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5553194223,197,27262,5553194221,194,8g4r9maz4invihjmdzpfxy0np,5553194215,59,"41, 13, 15, 27, 5, 6, 10, 17, 8, 7, 16, 1, 2, 4, 19, 22, 24, 30, 33, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783150717,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-02T16:00:56.968Z,2025-03-02T17:13:13Z,,,,5553207645,130,2,5553207657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5553207643,59,"1, 20, 24, 16, 4, 13, 21, 26, 23, 10, 11, 2, 5, 6, 17, 19, 22, 27, 28, 33",5553207637,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, brinkgys7026490q3ixx6h9uc, 6v1kpakd3t0jhnoh1eh75ev4k, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, ejixz16616b7krftxyzv9yiac, bm3k1knugkwa8z319dscr2yhg, 2k8bmlxzt0qi7divtxye0a5ii, 5lz41celw55rz3zh8pohclw5w, 1arzd8hqj73byhduozscqz5uy, hpzxgnwobdttfgd04dykf26t, bcdp9e3dezuaybm8ndrsanbx0, 8mkrj5bnkyhx8kutc4656cy96, 8bi1tlz62rjwyak4pnnzgp562, 20g27z0cklenjg7k0ox73wyc5, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve, 5521epytthhw9afm2r3jn3384, 697f50qoetodmfe8ybcuey2ac",5553207641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5553207653,197,1731,5553207649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5553209701,194,1arzd8hqj73byhduozscqz5uy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783207549,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-02T17:03:11.838Z,2025-03-02T17:03:14Z,,,,5553518265,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783207529,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-02T17:03:11.838Z,2025-03-02T22:15:24Z,,,,5553518181,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783207561,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,50.3,50.0,2025-03-02T17:03:11.915Z,2025-03-02T17:03:15Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,5553518337,213,3.32,5553518331,140,28.8,5553518333,141,44.0,5553518339,279,S,5553518329,56,Back,5553518335,212,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783207605,4,1,1,0,2,b3r6d8ydtmtjckam6pku9y400,1,28.8,44.0,2025-03-02T17:03:14.243Z,2025-03-02T17:03:17Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,5553518659,212,31.8,5553518649,56,Back,5553518657,141,89.7,5553518661,213,1.36,5553518655,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783207675,5,1,1,0,5,b3r6d8ydtmtjckam6pku9y400,1,35.3,91.5,2025-03-02T17:03:16.948Z,2025-03-02T17:03:20Z,dux0skggr99ydjz3kn58p3wmh,M. López,,5553519067,212,35.0,5553519061,140,67.7,5553519063,141,79.4,5553519071,213,6.05,5553519059,56,Left,5553519073,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783207685,6,1,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,67.7,79.4,2025-03-02T17:03:20.803Z,2025-03-02T17:03:21Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,5553519143,56,Left,5553519157,213,0.50,5553519153,212,15.4,5553519141,168,,5553519149,141,90.2,5553519145,140,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783207797,7,1,1,0,11,b3r6d8ydtmtjckam6pku9y400,1,90.3,87.9,2025-03-02T17:03:23.315Z,2025-03-02T22:38:53Z,bbezbukg20q5b6kfnjuzhs55g,Robert,1.0,5553519737,56,Center,5553519743,212,29.2,5553523379,154,,5553519733,2,,5553519741,141,45.0,5553523377,210,15,5553519739,140,91.2,5553519745,213,4.74,5553519735,155,5554800387,224,5554800389,72,,,,,,,,,,,,,,,,,,,,,,,
2783207801,8,15,1,0,13,b3r6d8ydtmtjckam6pku9y400,1,91.3,44.3,2025-03-02T17:03:25.031Z,2025-03-02T22:39:11Z,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,,5553801391,133,,5553519761,17,,5553519759,22,,5553523417,29,,5553523447,147,49.5,5553523435,103,10.1,5554800971,78,,5553523421,154,,5553523443,146,5553523437,328,5553523431,102,99.1,50.7,5553523425,55,7,5553523471,233,3,5553523099,72,5553799597,108,5553519763,56,Center,,,,,,,,
2783207777,3,10,1,0,13,36g6ifzjliec1jqnbtf7yesme,1,2.3,49.8,2025-03-02T17:03:25.131Z,2025-03-02T22:39:14Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,5553519655,56,Back,5553519775,179,,5553519653,182,,5553523489,233,8,5554801113,377,,5553519773,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783207805,4,52,1,0,14,36g6ifzjliec1jqnbtf7yesme,1,2.3,49.8,2025-03-02T17:03:26.141Z,2025-03-02T22:39:17Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,5554801293,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
