id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2816355107,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-05-18T11:13:11.632Z,2025-05-18T12:04:35Z,,,,,5735995683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735995671,30,"b2492j7qzdo7g3ysxz6gq4g5x, 7h39w16zvj1lbfb0rqr7kvt1x, 2513579m13glsous1p82fbjzd, bplpqy3ierwlm12d1f3prue7e, 9zhmwx3g0m6xi2oh57g4z35nu, 4qo7eu3xwhkpssbuyk4n70fe1, cuufy3ioo1kio56er2cfn0mqc, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, lioz4hr2umpne2bwar18qa96, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 9kjdw81u1rprgi5j8f92afaqc, 9ftdwt0udamsh6k5sdaoqxyc4, d8nahz092xxj6muqc24hocp3o, abaapwjdtbk2vmdv69v49fyms, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5735995681,194,b2492j7qzdo7g3ysxz6gq4g5x,5735995677,130,9,5735995679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735995675,59,"1, 19, 2, 6, 3, 4, 33, 20, 23, 17, 21, 8, 9, 11, 26, 27, 30, 35, 36, 41",5735995673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5736130717,197,21755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816355137,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-05-18T11:13:14.170Z,2025-05-18T12:36:49Z,,,,,5736131649,197,1731,5735995851,130,11,5735995847,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5735995845,30,"a2l4ep71txn2edtjjcgewai5m, dj2f6zk2cd8u9lt6odoei9cdl, 8bi1tlz62rjwyak4pnnzgp562, 8vi3l756ez0e96k7muvg4ekbu, 7yst1mucy7jynmpzu1thox2i, de0dokhb6u6hts2hu5aupgiga, 1arzd8hqj73byhduozscqz5uy, 6v1kpakd3t0jhnoh1eh75ev4k, rv6r0bwbl75er38wklyfpsr9, ejixz16616b7krftxyzv9yiac, 3q4tnk1z46lop4rbdpjtfoc2c, hpzxgnwobdttfgd04dykf26t, 5lz41celw55rz3zh8pohclw5w, 20g27z0cklenjg7k0ox73wyc5, 2k8bmlxzt0qi7divtxye0a5ii, brinkgys7026490q3ixx6h9uc, bm3k1knugkwa8z319dscr2yhg, 5521epytthhw9afm2r3jn3384, 3tka46re2gsi9uw7pbxx5m0pg, e7wytawxwiszq1aass5ujio7o",5735995849,59,"1, 14, 17, 13, 4, 20, 11, 16, 9, 21, 8, 2, 10, 19, 23, 24, 26, 28, 40, 47",5735995855,194,1arzd8hqj73byhduozscqz5uy,5735995857,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735995853,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816382251,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-05-18T12:02:47.234Z,2025-05-18T12:02:47Z,,,,,5736140251,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816382265,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-05-18T12:02:47.234Z,2025-05-18T14:48:21Z,,,,,5736140297,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816382271,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,50.4,49.7,2025-05-18T12:02:47.235Z,2025-05-18T12:02:49Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5736140339,140,50.9,5736140337,56,Center,5736140341,141,54.5,5736140345,213,1.41,5736140349,278,,5736140347,279,S,5736140343,212,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816382309,4,1,1,0,2,ahnt9ejgwj58ul8auzdvi3czf,1,49.7,50.7,2025-05-18T12:02:49.600Z,2025-05-18T12:02:53Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5736140501,213,4.45,5736140497,141,21.8,5736140495,140,44.6,5736140499,212,20.4,5736140493,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816382319,5,1,1,0,6,ahnt9ejgwj58ul8auzdvi3czf,1,57.8,21.0,2025-05-18T12:02:53.744Z,2025-05-18T12:02:55Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5736140553,213,4.66,5736140551,212,7.4,5736140549,141,10.1,5736140545,56,Right,5736140547,140,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816382343,6,1,1,0,7,ahnt9ejgwj58ul8auzdvi3czf,1,57.1,10.6,2025-05-18T12:02:54.881Z,2025-05-18T12:02:57Z,7h39w16zvj1lbfb0rqr7kvt1x,J. Gammelby,,,5736140639,56,Back,5736140641,140,40.4,5736140645,212,20.0,5736140647,213,2.64,5736140643,141,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816382379,7,1,1,0,10,ahnt9ejgwj58ul8auzdvi3czf,1,39.8,31.8,2025-05-18T12:02:57.729Z,2025-05-18T12:03:02Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5736140867,213,1.60,5736140865,212,20.8,5736140863,141,62.4,5736140859,56,Back,5736140861,140,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816382407,8,1,1,0,14,ahnt9ejgwj58ul8auzdvi3czf,1,41.9,64.5,2025-05-18T12:03:01.505Z,2025-05-18T12:03:06Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5736141023,212,24.4,5736141017,56,Back,5736141019,140,43.9,5736141025,213,4.80,5736141021,141,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
