id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/13/value,qualifier/12/value,qualifier/14/value
2724275025,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-09-22T13:10:23.142Z,2024-09-22T14:05:33Z,,,,5232566551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232566557,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232926119,197,6291,5232566545,130,17,5232599009,194,5733iw16239m83syv5dm8huj9,5232566541,59,"32, 7, 20, 5, 23, 12, 14, 30, 26, 21, 17, 1, 3, 4, 6, 8, 9, 11, 15, 22",5232566537,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5232566533,30,"15fo180vixn0lb65fujttit3p, 6v4ykv7aw86ql22oksh682kus, 8ydi45wh0naevno6aos78vi09, 5is9bcj143orulo4biogwxzl6, c36ffo382u9flu5foebt4di39, 6ul2nma4j0a7e2li6wyyrpal1, 6d0lxiep13vdv32bdb0xwyrys, 5733iw16239m83syv5dm8huj9, deyq3zqd0vwc821ngqldxqor9, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, cl3w811fge6189cbclaslb26t, 5kghds186740jygx97bihh6mt, 2wwpfsducpmryacr17y8k70iy, 5q5ph311bi310zt1e45u7i7dh, b13l1wrb747y9cdc8wqltan6d, 39f0bq9uk4etkf75uzu6qyrmy, diwrq7ulrey4juxk4dafct0q1, 58o5ram4bf58357786j9jr7kk, 79b0b6eqck5vn4b3fawxsaok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724280037,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-09-22T13:13:25.131Z,2024-09-22T14:01:51Z,,,,5232593249,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5232922993,197,23900,5232602697,194,3sadup8mjwu4dc96wz6lmixn9,5232593247,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 61sojkdsmaz9hbwaskt4rws15, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, 3l3v5wj4c7vtqqwu05b526590, 7je01bs3a4q6c2gd02ee6da3u, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, 10lj2qekb1e4c8ful68b1pazt, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, efubck8twu1elbhlomltnjjtg, 5qvy65ckiigykkowpyco05zv9, 5f4qlbohzja204gxm9tkiekq2, 3gemcjqban843su9c9y5l2sk4, ca1b5707pdpx0ucug40ggnahh, 9delpquqv81o7ftrgefb0wpp0",5232593261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232593251,59,"1, 2, 8, 19, 5, 40, 10, 7, 9, 31, 6, 4, 15, 16, 18, 20, 22, 26, 29, 33",5232593257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232593253,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724347329,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-09-22T14:02:49.870Z,2024-09-22T14:02:50Z,,,,5232952963,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724347337,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-09-22T14:02:49.870Z,2024-09-22T17:19:42Z,,,,5232953009,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724347367,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,49.9,50.2,2024-09-22T14:02:49.871Z,2024-09-22T14:04:08Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,5232953189,279,S,5232953185,213,3.98,5232953177,140,46.9,5232953181,212,4.7,5232953179,141,45.0,5232953175,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724347387,4,1,1,0,2,5rz9enoyknpg8ji78za5b82p0,1,46.7,53.3,2024-09-22T14:02:52.628Z,2024-09-22T14:02:54Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,5232953349,56,Back,5232953353,140,34.0,5232953365,213,2.42,5232953361,212,17.8,5232953357,141,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724347419,5,1,1,0,4,5rz9enoyknpg8ji78za5b82p0,1,34.0,70.6,2024-09-22T14:02:54.869Z,2024-09-22T14:02:56Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5232953511,213,1.00,5232953503,140,40.9,5232953507,141,87.1,5232953509,212,13.4,5232953499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724347439,6,1,1,0,6,5rz9enoyknpg8ji78za5b82p0,1,40.9,87.1,2024-09-22T14:02:56.468Z,2024-09-22T14:02:58Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5232953631,140,34.3,5232953629,56,Back,5232953637,213,4.23,5232953633,141,67.7,5232953635,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724347477,7,1,1,0,8,5rz9enoyknpg8ji78za5b82p0,1,33.6,66.3,2024-09-22T14:02:58.404Z,2024-09-22T14:03:01Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,5232953909,213,4.53,5232953907,212,20.4,5232953901,56,Back,5232953905,141,36.8,5232953903,140,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724347499,8,1,1,0,11,5rz9enoyknpg8ji78za5b82p0,1,28.6,30.8,2024-09-22T14:03:00.964Z,2024-09-22T14:03:03Z,3l3v5wj4c7vtqqwu05b526590,J. Jensen-Abbew,,5232954047,213,5.35,5232954041,140,37.3,5232954045,212,15.4,5232954043,141,12.6,5232954039,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
