id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,qualifier/15/value,qualifier/17/value
2714921515,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-30T16:01:37.807Z,2024-08-30T17:06:34Z,,,,,5181570433,197,12608,5181506615,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5181506621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181506613,30,"53y263xxfdf1itytiqhg3v6c5, 6c2isptqoy4cq5c8rlr9s1roq, 6xjbcik3a56d0vqy4vrq5eokp, chsirsawrhuh787kofklnjmqd, 6ylzm57bvpufg3cenadtv7qhh, 1ykl08k2c2kwxukw0gvslf6qd, 22zuxw8lez5w4vjd8spzzysyc, 2anc9ug5nr25khmtcc4id2pxx, 9yiz575rldkwu7icgqwk1qmdx, 7rtrg77m3xozgfhu3p2ihfey2, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 1yqlkot5sh85ot3eemo67djv9, 3ylgelxr6ssp42hidfnchqp2i, 2rgil8e1uix2orli95p1si0ut, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 7uia9zlz3axnuc6usdn9u4kfe, 1hbucfyn2l3bxcw5r4zcb1dlg, 6uvp2evoo07gv5rc5ht2l012i",5181506619,130,13,5181573731,194,2anc9ug5nr25khmtcc4id2pxx,5181506623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181506617,59,"1, 59, 38, 29, 14, 13, 8, 5, 18, 11, 17, 3, 7, 10, 15, 24, 25, 34, 37, 71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714921849,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-30T16:05:14.663Z,2024-08-30T16:57:35Z,,,,,5181508611,30,"84f41rjxyp3rthpk1fu66wrqi, 4bstdc3zla1sn85ev3bcmw1lg, 6v4ykv7aw86ql22oksh682kus, 5kghds186740jygx97bihh6mt, c36ffo382u9flu5foebt4di39, 2wwpfsducpmryacr17y8k70iy, d854rlweyk5wq6d2veyviukq2, 6d0lxiep13vdv32bdb0xwyrys, 39f0bq9uk4etkf75uzu6qyrmy, diwrq7ulrey4juxk4dafct0q1, 9pnirb3qt48zeui3su8cvu1ka, 5is9bcj143orulo4biogwxzl6, 58o5ram4bf58357786j9jr7kk, bpw4cd5vmghjhelb3uxupmqjt, 79b0b6eqck5vn4b3fawxsaok, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, 15fo180vixn0lb65fujttit3p, d85h1t14o7agqal849ca7fehg, 8ydi45wh0naevno6aos78vi09",5181570727,197,6291,5181508617,130,13,5181508613,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5181508619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181508621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181508615,59,"31, 24, 7, 3, 23, 4, 13, 14, 9, 11, 17, 5, 15, 21, 22, 27, 30, 32, 33, 20",5181570725,194,d854rlweyk5wq6d2veyviukq2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934713,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-30T17:01:53.304Z,2024-08-30T19:37:08Z,,,,,5181576125,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934717,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-30T17:01:53.304Z,2024-08-30T17:01:55Z,,,,,5181576137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934725,3,1,1,0,1,c165yjiny1qnmfdvefxvflnkc,1,50.3,49.7,2024-08-30T17:01:54.320Z,2024-08-30T19:27:35Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5181576163,141,58.3,5181576169,279,S,5181576167,213,2.90,5181576161,140,28.0,5181576159,56,Back,5181576165,212,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934765,4,1,1,0,3,c165yjiny1qnmfdvefxvflnkc,0,31.3,58.1,2024-08-30T17:01:56.483Z,2024-08-30T19:38:14Z,chsirsawrhuh787kofklnjmqd,R. Jensen,,,5181576373,141,29.3,5181576379,1,,5181576371,140,77.4,5181576377,213,5.90,5181576369,56,Center,5181576375,212,52.2,5181576367,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934763,3,44,1,0,5,anga7587r1zv4ey71ge9zxol3,1,20.0,71.7,2024-08-30T17:01:58.714Z,2024-08-30T19:38:16Z,c36ffo382u9flu5foebt4di39,P. Gregor,,,5181576363,56,Back,5181576365,285,,5181576415,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934769,5,44,1,0,5,c165yjiny1qnmfdvefxvflnkc,0,80.0,28.3,2024-08-30T17:01:58.715Z,2024-08-30T19:38:18Z,9yiz575rldkwu7icgqwk1qmdx,A. Jacobsen,,,5181576397,56,Center,5181576419,233,3,5181576399,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934771,4,1,1,0,5,anga7587r1zv4ey71ge9zxol3,0,25.9,65.8,2024-08-30T17:01:59.029Z,2024-08-30T19:38:38Z,c36ffo382u9flu5foebt4di39,P. Gregor,,,5181576403,56,Back,5181576409,212,13.7,5181576401,3,,5181576407,141,66.7,5181576405,140,38.9,5181576411,213,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714934785,6,1,1,0,7,c165yjiny1qnmfdvefxvflnkc,1,70.4,32.7,2024-08-30T17:02:00.963Z,2024-08-30T19:38:40Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5181576475,140,55.0,5181576477,141,11.8,5181576481,213,3.86,5181576479,212,21.5,5181576473,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
