id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId
2727935517,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-09-29T13:08:35.255Z,2024-09-29T14:03:02Z,,,,,5252641679,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5252641687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252641685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5253050391,194,deyq3zqd0vwc821ngqldxqor9,5252641681,59,"32, 7, 20, 5, 12, 23, 14, 13, 26, 21, 17, 1, 3, 4, 8, 9, 11, 15, 22, 30",5252641683,130,13,5252641677,30,"15fo180vixn0lb65fujttit3p, 6v4ykv7aw86ql22oksh682kus, 8ydi45wh0naevno6aos78vi09, 5is9bcj143orulo4biogwxzl6, 6ul2nma4j0a7e2li6wyyrpal1, c36ffo382u9flu5foebt4di39, 6d0lxiep13vdv32bdb0xwyrys, d854rlweyk5wq6d2veyviukq2, deyq3zqd0vwc821ngqldxqor9, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, cl3w811fge6189cbclaslb26t, 5kghds186740jygx97bihh6mt, 2wwpfsducpmryacr17y8k70iy, b13l1wrb747y9cdc8wqltan6d, 39f0bq9uk4etkf75uzu6qyrmy, diwrq7ulrey4juxk4dafct0q1, 58o5ram4bf58357786j9jr7kk, 79b0b6eqck5vn4b3fawxsaok, 5733iw16239m83syv5dm8huj9",5253050393,197,6291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727941805,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-09-29T13:11:42.194Z,2024-09-29T14:04:18Z,,,,,5252675391,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252675383,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5253049881,197,6293,5252675381,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 2513579m13glsous1p82fbjzd, bplpqy3ierwlm12d1f3prue7e, cw6s5hf1tytvb98vjuosz9r6d, 4qo7eu3xwhkpssbuyk4n70fe1, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, avtms6bcr8i7qdacuv225evo5, bb8q9cgqzw9n2tmkl8s3bth0q, 9zhmwx3g0m6xi2oh57g4z35nu, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 349g9rdismqpb1aarjp011bd, 7h39w16zvj1lbfb0rqr7kvt1x, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, ew91bx066dre4xck30vmz10yc, lmrff8mviimc33yyrpjzr2tw",5253049879,194,b2492j7qzdo7g3ysxz6gq4g5x,5252675387,130,4,5252675385,59,"1, 5, 2, 6, 15, 4, 20, 33, 23, 8, 10, 3, 9, 11, 17, 19, 30, 36, 40, 41",5252675395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728012707,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-09-29T14:01:26.206Z,2024-09-29T14:01:26Z,,,,,5253055713,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728012711,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-09-29T14:01:26.206Z,2024-09-29T17:19:33Z,,,,,5253055735,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728012725,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,50.0,50.0,2024-09-29T14:01:26.207Z,2024-09-29T14:52:12Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5253055839,140,36.7,5253055843,141,64.9,5253055849,213,2.51,5253055851,279,S,5253055847,212,17.3,5253055837,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728012787,4,1,1,0,3,anga7587r1zv4ey71ge9zxol3,0,36.4,64.3,2024-09-29T14:01:29.807Z,2024-09-29T14:52:15Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5253056169,1,,5253056161,140,70.8,5253056157,157,,5253056163,141,15.0,5253056165,212,49.3,5253056167,213,5.54,5253056159,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728302473,857,44,1,0,5,ahnt9ejgwj58ul8auzdvi3czf,1,24.1,90.5,2024-09-29T14:01:32.075Z,2024-09-29T18:17:41Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5254655197,56,Back,5254689747,233,851,5254655201,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728302477,851,44,1,0,5,anga7587r1zv4ey71ge9zxol3,0,75.9,9.5,2024-09-29T14:01:32.076Z,2024-09-29T18:10:23Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5254655223,56,Right,5254655227,286,,5254655229,233,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728012813,4,1,1,0,5,ahnt9ejgwj58ul8auzdvi3czf,0,36.7,95.0,2024-09-29T14:01:32.175Z,2024-09-29T18:10:31Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5253056333,140,42.1,5253056337,212,9.4,5253056335,141,84.0,5253056331,56,Back,5253056329,3,,5253056339,213,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728089299,421,43,1,0,6,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-09-29T14:01:32.206Z,2024-09-29T14:52:33Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5253475185,144,44,5253474381,286,0,5253474377,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728012801,3,43,1,0,7,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-09-29T14:01:33.532Z,2024-09-29T14:49:44Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5253454339,144,44,5253056239,56,Back,5253056241,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
