id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2777349401,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-02-16T15:58:51.564Z,2025-02-16T17:03:55Z,,,,5521497637,194,a87w6l9zsbahdi4knm1347zs9,5521497633,130,4,5521497627,30,"7yim2aepctujr2m4p20a97755, 8yfw9f74h0yfz51bkxxc8p39x, 8mn8apr6n7t7s6lx4d4vvdnca, 1qcf5gb8wf8f4tu94xh96yqy, c3sp1x0shf2b24rl5ike6v0iy, a87w6l9zsbahdi4knm1347zs9, djlyi0ad4x1p0k4thn8n0axw4, e73sexp7kse0wlykdi7xcbg2c, elhmf9cc26ec5p1wnwonuxf4l, 1sdsqfn743j5tqem8ra7sppn8, e64kcio0848bpw39eedbjyd5g, 41ii5y9ebz5e3xhaif9kc8qmt, bidudbkachfl6126lhlr254wk, bcscjb9jdgu4ims9n3vwuj5k9, bwfg9frq2ecbzg7wlzqjtnv2s, ajhd3cqclubmexhscpd4w4ez9, fwu0bja02waqct7l682s5mfp, 4zrsiizdbzwwkmit3ta0f0dbe, 4fhpb0b8muboggvquj2pvsiqx, 78kzajya12k4sm0ebfl37d6ok",5521497631,59,"16, 6, 55, 80, 3, 22, 11, 20, 18, 7, 41, 1, 13, 14, 19, 29, 43, 58, 73, 21",5521497629,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5521497643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5521497635,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5521497641,197,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777365181,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-02-16T16:15:18.123Z,2025-02-16T20:31:46Z,,,,5521583127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5521583123,130,7,5521583121,59,"32, 2, 20, 22, 12, 5, 21, 13, 18, 8, 15, 11, 14, 17, 19, 27, 30, 6, 23, 40",5521834471,194,6ul2nma4j0a7e2li6wyyrpal1,5521583117,30,"15fo180vixn0lb65fujttit3p, 8822s8ns7oyvjqade4oaxzg0l, 8ydi45wh0naevno6aos78vi09, 79b0b6eqck5vn4b3fawxsaok, 6ul2nma4j0a7e2li6wyyrpal1, 5is9bcj143orulo4biogwxzl6, bpw4cd5vmghjhelb3uxupmqjt, d854rlweyk5wq6d2veyviukq2, 8gdfn7j6xac9p4jh94hk40jdg, b13l1wrb747y9cdc8wqltan6d, 58o5ram4bf58357786j9jr7kk, diwrq7ulrey4juxk4dafct0q1, 6d0lxiep13vdv32bdb0xwyrys, 9pnirb3qt48zeui3su8cvu1ka, 6zhj070huc77sl5o5bx6ey5g4, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, cw6s5hf1tytvb98vjuosz9r6d, 8ynqwlysks0dvn46ja7zq5vit, 52vwj2s29n7wngablotd7pboq",5521583119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5521834475,197,21353,5521583125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414655,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-02-16T17:00:59.588Z,2025-02-16T20:21:11Z,,,,5521855101,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414663,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-02-16T17:00:59.588Z,2025-02-16T17:01:01Z,,,,5521855143,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414669,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,50.0,50.0,2025-02-16T17:00:59.683Z,2025-02-16T20:32:55Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,5521855173,56,Back,5521855187,279,S,5521855177,140,33.2,5521855183,212,18.7,5521855181,141,59.3,5521855185,213,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414761,4,1,1,0,4,anga7587r1zv4ey71ge9zxol3,1,34.8,52.7,2025-02-16T17:01:03.789Z,2025-02-16T17:01:07Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,5521855721,213,5.67,5521855715,140,70.4,5521855723,1,,5521855711,157,,5521855717,141,14.1,5521855719,212,45.7,5521855713,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414775,5,1,1,0,6,anga7587r1zv4ey71ge9zxol3,0,70.4,14.1,2025-02-16T17:01:06.004Z,2025-02-16T17:04:49Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,5521855793,3,,5521855799,140,78.6,5521855797,56,Right,5521855801,141,8.9,5521855809,213,5.89,5521855805,212,9.3,5521855795,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414797,3,1,1,0,7,59as3grjvj19voay31j3yfgni,1,20.2,83.3,2025-02-16T17:01:06.971Z,2025-02-16T17:01:09Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,5521855935,56,Back,5521855941,212,5.1,5521855943,213,5.54,5521855939,141,78.2,5521855937,140,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414813,5,1,1,0,10,59as3grjvj19voay31j3yfgni,1,22.7,77.0,2025-02-16T17:01:09.596Z,2025-02-16T17:01:11Z,1qcf5gb8wf8f4tu94xh96yqy,Dani Silva,,5521856047,213,3.19,5521856043,141,76.0,5521856037,56,Back,5521856039,140,7.8,5521856045,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414835,6,1,1,0,11,59as3grjvj19voay31j3yfgni,1,7.8,76.0,2025-02-16T17:01:10.874Z,2025-02-16T17:01:12Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,5521856185,56,Back,5521856193,213,4.35,5521856189,141,61.2,5521856191,212,10.8,5521856187,140,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414881,7,1,1,0,12,59as3grjvj19voay31j3yfgni,0,4.2,61.2,2025-02-16T17:01:12.234Z,2025-02-16T17:01:16Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,5521856485,213,0.86,5521856475,157,,5521856481,141,100.0,5521856479,140,26.8,5521856487,1,,5521856483,212,36.4,5521856477,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414941,6,5,1,0,15,anga7587r1zv4ey71ge9zxol3,1,69.9,-1.7,2025-02-16T17:01:14.956Z,2025-02-16T17:04:36Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,5521856857,56,Right,5521856859,347,,5521856893,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414885,8,5,1,0,15,59as3grjvj19voay31j3yfgni,0,30.1,101.7,2025-02-16T17:01:14.956Z,2025-02-16T17:04:36Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,5521856495,347,,5521856919,233,6,5521856493,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414983,7,1,1,0,21,anga7587r1zv4ey71ge9zxol3,0,67.4,0.0,2025-02-16T17:01:20.637Z,2025-02-16T17:01:22Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,5521857083,212,23.6,5521857077,56,Right,5521857073,107,,5521857087,1,,5521857079,140,87.0,5521857081,141,15.8,5521857085,213,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777414987,9,8,1,0,23,59as3grjvj19voay31j3yfgni,1,11.0,82.4,2025-02-16T17:01:23.050Z,2025-02-16T20:33:21Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,5521857093,56,Back,5522782679,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777415047,10,1,1,0,26,59as3grjvj19voay31j3yfgni,0,13.3,95.9,2025-02-16T17:01:26.410Z,2025-02-16T20:33:31Z,e64kcio0848bpw39eedbjyd5g,M. Krüger-Johnsen,,5521857385,212,11.0,5522783335,157,,5521857381,140,23.5,5522783337,1,,5521857383,141,92.4,5521857387,213,6.06,5521857379,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777415093,8,1,1,0,28,anga7587r1zv4ey71ge9zxol3,1,71.6,4.4,2025-02-16T17:01:28.157Z,2025-02-16T17:01:30Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,5521857673,140,80.6,5521857679,213,6.09,5521857677,212,9.6,5521857671,56,Right,5521857669,3,,5521857675,141,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777415105,9,1,1,0,30,anga7587r1zv4ey71ge9zxol3,0,80.8,1.7,2025-02-16T17:01:30.541Z,2025-02-16T17:01:31Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,5521857749,212,3.2,5521857741,140,83.0,5521857737,56,Right,5521857753,213,0.77,5521857733,3,,5521857745,141,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777415115,11,1,1,0,31,59as3grjvj19voay31j3yfgni,0,13.6,93.3,2025-02-16T17:01:31.355Z,2025-02-16T17:01:31Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,5521857819,141,92.3,5521857813,3,,5521857817,140,18.2,5521857815,56,Back,5521857821,212,4.9,5521857823,213,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777415143,10,1,1,0,32,anga7587r1zv4ey71ge9zxol3,1,79.7,9.8,2025-02-16T17:01:32.381Z,2025-02-16T17:01:33Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,5521857997,212,5.6,5521857999,213,5.60,5521857993,140,83.8,5521857991,56,Right,5521857989,3,,5521857995,141,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
