id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2712318755,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-08-24T13:09:10.627Z,2024-08-24T13:58:26Z,,,,,5167172211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5167172209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5167309297,197,4600,5167172205,59,"16, 13, 73, 19, 3, 22, 11, 21, 18, 14, 24, 1, 4, 5, 6, 7, 9, 17, 41, 58",5167172201,30,"7yim2aepctujr2m4p20a97755, bidudbkachfl6126lhlr254wk, 4fhpb0b8muboggvquj2pvsiqx, bwfg9frq2ecbzg7wlzqjtnv2s, c3sp1x0shf2b24rl5ike6v0iy, a87w6l9zsbahdi4knm1347zs9, djlyi0ad4x1p0k4thn8n0axw4, 78kzajya12k4sm0ebfl37d6ok, elhmf9cc26ec5p1wnwonuxf4l, bcscjb9jdgu4ims9n3vwuj5k9, drlp4xtkta08jiu0px6m4ocq2, 41ii5y9ebz5e3xhaif9kc8qmt, ddl5g7raihnc9s4u3wetz8v10, arhoud4vfjvmjaf2pkbm6s48a, 8yfw9f74h0yfz51bkxxc8p39x, 1sdsqfn743j5tqem8ra7sppn8, e6p5i2ujvk0t9mo0h2gvrlka1, 5cjx2i2perp5vr62en4cyer1m, e64kcio0848bpw39eedbjyd5g, 4zrsiizdbzwwkmit3ta0f0dbe",5167172207,130,2,5167172203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5167313841,194,a87w6l9zsbahdi4knm1347zs9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712319975,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-08-24T13:11:10.463Z,2024-08-24T15:44:55Z,,,,,5167179217,130,4,5167179213,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5167179211,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 5q4p56lg1vjsqo824aql0e1d6, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, a8opuarwq9byw73nhfgvo9nca, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 6gh4z3yubnpypzoakjom1rj3e, bh06w40pwo6dy3cjrw3r2i0ru, bdxcd38y99nrbv72uh2v4fhg4, d88feog3dgv09oxbzn15xqesq, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50, 1tfsketff72i4c7q7cyzgzcic",5167179215,59,"16, 22, 13, 6, 12, 4, 7, 8, 10, 15, 25, 9, 11, 17, 18, 19, 20, 26, 31, 34",5167309775,197,23447,5167179221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5167179219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5168328985,194,5j9d1plbsd5ic01r3ggziutwp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347585,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-08-24T14:00:11.510Z,2024-08-24T16:41:31Z,,,,,5167318481,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347451,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-08-24T14:00:11.510Z,2024-08-24T14:00:11Z,,,,,5167317843,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347529,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.1,50.0,2024-08-24T14:00:11.511Z,2024-08-24T14:00:15Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5167318221,56,Back,5167318227,212,11.0,5167318231,279,S,5167318223,140,39.6,5167318225,141,50.4,5167318229,213,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347599,4,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,1,38.1,52.2,2024-08-24T14:00:15.319Z,2024-08-24T14:51:26Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5167318559,213,2.70,5167318553,212,14.2,5167318541,140,25.9,5167318547,141,61.2,5167318535,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347685,5,1,1,0,6,aljua8crr0vkwit0j3m59jw9j,1,22.1,61.7,2024-08-24T14:00:17.925Z,2024-08-24T14:00:20Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5167319019,213,3.63,5167319015,141,51.6,5167319011,56,Back,5167319013,140,9.9,5167319017,212,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347753,6,1,1,0,8,aljua8crr0vkwit0j3m59jw9j,0,9.9,51.6,2024-08-24T14:00:20.100Z,2024-08-24T14:00:22Z,c7gwbtdqptxjtu3tn3xctvit,J. Busk,,,5167319275,157,,5167319285,213,0.16,5167319279,140,66.4,5167319283,212,60.1,5167319287,1,,5167319281,141,65.8,5167319277,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712351609,14,44,1,0,11,59as3grjvj19voay31j3yfgni,1,31.9,32.3,2024-08-24T14:00:23.041Z,2024-08-24T15:28:18Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5167337921,285,,5167337919,56,Back,5167338403,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347813,7,44,1,0,11,aljua8crr0vkwit0j3m59jw9j,0,68.1,67.7,2024-08-24T14:00:23.042Z,2024-08-24T15:28:19Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5167338441,233,14,5167319541,286,,5167319539,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712351695,15,1,1,0,11,59as3grjvj19voay31j3yfgni,0,27.9,27.9,2024-08-24T14:00:23.441Z,2024-08-24T14:14:06Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5167338349,141,27.9,5167338351,212,2.2,5167338343,140,30.0,5167338331,3,,5167338337,56,Back,5167338357,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347827,8,61,1,0,12,aljua8crr0vkwit0j3m59jw9j,1,65.7,65.1,2024-08-24T14:00:24.278Z,2024-08-24T14:00:24Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5167319611,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347995,9,1,1,0,15,aljua8crr0vkwit0j3m59jw9j,0,59.5,98.7,2024-08-24T14:00:26.612Z,2024-08-24T14:00:29Z,5q4p56lg1vjsqo824aql0e1d6,D. Wilkins,,,5167320297,140,88.6,5167320293,157,,5167320299,141,83.0,5167320305,1,,5167320301,212,32.4,5167320295,56,Left,5167320303,213,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
