id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2802186933,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-17T15:49:22.489Z,2025-04-17T15:59:02Z,,,,,5657898119,30,"ckhhpn9ppgvlrtubf7li3se09, 6b8vhoisrfwkljhz4u7pduej8, 9ic9msq3tj4gx8wqa6wfwk50q, ajjw1ikceu3g39sy6dsf9kdg4, ayqy2vql1oumokqly9ahfrnx1, 4cbaoo2irqtme9goxuz6s3ey2, c9u2w9ikckbrra8vln2ucbf9w, ftw3io63hk5vuoa3lyfgowes, 7hw1plnv7nvxnqpnfnxcxszpx, aahyom322jdc6f21960ycuzth, 6tckvu2rw7ns18dq7dim0sout, quh8tfvwi106toymoh38tbrp, 8g4r9maz4invihjmdzpfxy0np, al9l7egkwbc0pv68zk42gegut, dux0skggr99ydjz3kn58p3wmh, 823p7p1amx8lp445bo6bi01lg, 4gqnyyx3i92fayq6cxvekqwut, ssluj1c3ft94nkfs58dc8cq2, rq6npjy37kolscu8lrj4r2dx, 66psa7xh8odnlp39ue5vzpes4",5657898127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657898121,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657898125,130,17,5657898129,194,4cbaoo2irqtme9goxuz6s3ey2,5657898131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657898123,59,"1, 13, 22, 4, 6, 5, 17, 36, 14, 11, 10, 31, 7, 12, 15, 19, 27, 30, 33, 40",5657906875,197,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802186957,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-17T15:49:30.645Z,2025-04-17T15:53:54Z,,,,,5657904833,197,4600,5657898277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657898267,30,"41ii5y9ebz5e3xhaif9kc8qmt, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, 1qcf5gb8wf8f4tu94xh96yqy, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, bwfg9frq2ecbzg7wlzqjtnv2s, drlp4xtkta08jiu0px6m4ocq2, elhmf9cc26ec5p1wnwonuxf4l, djlyi0ad4x1p0k4thn8n0axw4, e64kcio0848bpw39eedbjyd5g, c3sp1x0shf2b24rl5ike6v0iy, 8yfw9f74h0yfz51bkxxc8p39x, 1sdsqfn743j5tqem8ra7sppn8, bcscjb9jdgu4ims9n3vwuj5k9, 8mcb1hiuk9rzf48cx3vj5i3th, 7yim2aepctujr2m4p20a97755, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, 4zrsiizdbzwwkmit3ta0f0dbe",5657898275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657898271,59,"1, 43, 55, 80, 4, 22, 19, 24, 18, 11, 41, 3, 6, 7, 14, 15, 16, 20, 21, 58",5657904831,194,a87w6l9zsbahdi4knm1347zs9,5657898269,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657898273,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802189907,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-17T16:00:12.420Z,2025-04-17T21:28:20Z,,,,,5657914389,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802189903,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-17T16:00:12.420Z,2025-04-17T16:00:12Z,,,,,5657914369,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802189921,3,1,1,0,0,59as3grjvj19voay31j3yfgni,1,50.0,50.0,2025-04-17T16:00:12.421Z,2025-04-17T16:00:16Z,elhmf9cc26ec5p1wnwonuxf4l,A. Buksa,,,5657914463,56,Back,5657914473,279,S,5657914469,212,6.6,5657914465,140,43.8,5657914475,278,,5657914471,213,3.02,5657914467,141,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802189933,4,1,1,0,3,59as3grjvj19voay31j3yfgni,0,43.9,51.2,2025-04-17T16:00:16.094Z,2025-04-17T16:00:19Z,1qcf5gb8wf8f4tu94xh96yqy,Dani Silva,,,5657914533,157,,5657914541,212,24.4,5657914545,1,,5657914539,141,31.8,5657914535,56,Center,5657914537,140,63.4,5657914543,213,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802189929,3,61,1,0,6,b3r6d8ydtmtjckam6pku9y400,1,19.5,75.3,2025-04-17T16:00:18.954Z,2025-04-17T16:00:19Z,ftw3io63hk5vuoa3lyfgowes,W. Clem,,,5657914519,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802189935,5,61,1,0,7,59as3grjvj19voay31j3yfgni,1,63.8,31.8,2025-04-17T16:00:20.054Z,2025-04-17T16:00:35Z,elhmf9cc26ec5p1wnwonuxf4l,A. Buksa,,,5657914547,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802189945,4,1,1,0,7,b3r6d8ydtmtjckam6pku9y400,1,27.7,73.0,2025-04-17T16:00:20.333Z,2025-04-17T16:00:21Z,c9u2w9ikckbrra8vln2ucbf9w,V. Froholdt,,,5657914593,56,Back,5657914599,212,12.0,5657914595,140,25.2,5657914597,141,90.2,5657914601,213,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802189963,6,4,1,0,12,b3r6d8ydtmtjckam6pku9y400,1,25.7,94.4,2025-04-17T16:00:24.882Z,2025-04-17T16:00:36Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5657914719,285,,5657914713,56,Back,5657914757,233,6,5657914715,152,,5657914711,13,,5657914977,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
