id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2743522837,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-11-03T12:08:15.329Z,2024-11-03T19:21:28Z,,,,,5338042439,197,19904,5337793407,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, acp1ba2irpv5wfmxke7ucmaga, vrzye4jqrafujmjw3wakjpxw, 4n3t1p3zn5yzjv4w0clo3xvjd, 9qskwuil30g48xr3ax5p9j6j9, 6d8194j12jdzgqk5uwcemecr8, 9o10vhew3jar8tqnkabw0qoyx, akxcr1xe62dyl5jmh3ataq13o, 5f3wfx327z9hef9k9l37c90wl, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, auk14ut8cwaqop549u2zmfgt1, wnin2353js3p5rh4d7e2ymwa, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, eq7tnnzwq0g9q4eac0o9t9xey, xyt0wq20toh97811t65vu4no, b6q0tf252xvikt39g8jevju38, bp2ellllifbtxgf0p8qlbm1nt",5337793411,59,"16, 18, 23, 12, 24, 2, 17, 19, 11, 13, 10, 1, 4, 6, 8, 14, 30, 32, 37, 55",5338037569,194,5f3wfx327z9hef9k9l37c90wl,5337793417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337793413,130,5,5337793415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337793409,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743523791,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-11-03T12:09:13.643Z,2024-11-03T13:05:45Z,,,,,5338039239,197,4597,5337798211,59,"13, 2, 5, 16, 19, 24, 8, 6, 7, 14, 10, 11, 15, 17, 18, 21, 32, 36, 38, 45",5337798207,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, c9e54hwefvwos94ri459uylbe, 5r1v2w303bvj0vv1893qr5d5h, ddsv1cx4vopu1xis5xwkx2qz8, 2rvx2wlfj2rxzcgye6wiw0v84, 4cubrfqgrc5ivbd6fdj3k3zf8, etfoa7t308eq1xdmo9m2gfcgl, 4rgz5z372h6sbwhpxl69cb6c5, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 76k8ic97o66kaq2e52bmp27ai, 179f3j88wnmze82aicikkez9, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, 3zc9hy5uicgp21wr6z5wyuntg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5337798217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338039237,194,etfoa7t308eq1xdmo9m2gfcgl,5337798213,130,4,5337798215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337798209,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743571847,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-11-03T13:01:21.709Z,2024-11-03T13:01:23Z,,,,,5338053211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743571841,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-11-03T13:01:21.709Z,2024-11-03T19:32:49Z,,,,,5338053189,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743571875,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.0,50.0,2024-11-03T13:01:21.710Z,2024-11-03T13:01:24Z,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,5338053361,141,53.3,5338053357,56,Back,5338053369,278,,5338053365,213,2.18,5338053359,140,48.5,5338053367,279,S,5338053363,212,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743571907,4,1,1,0,1,77tfx9me4aaqhzv78bmgsy9bg,1,51.4,55.0,2024-11-03T13:01:23.379Z,2024-11-03T17:07:18Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5338053539,141,82.2,5338053543,213,2.15,5338053537,140,39.9,5338053533,56,Back,5338053541,212,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743571971,5,1,1,0,4,77tfx9me4aaqhzv78bmgsy9bg,1,43.0,79.0,2024-11-03T13:01:26.084Z,2024-11-03T13:01:28Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5338053839,212,19.5,5338053841,213,4.74,5338053835,140,43.6,5338053833,56,Back,5338053837,141,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572009,6,1,1,0,7,77tfx9me4aaqhzv78bmgsy9bg,1,45.2,48.1,2024-11-03T13:01:28.787Z,2024-11-03T17:07:30Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5338054083,140,55.4,5338054087,141,5.2,5338054093,213,5.06,5338054079,56,Right,5338054091,212,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572059,7,1,1,0,9,77tfx9me4aaqhzv78bmgsy9bg,1,54.4,6.1,2024-11-03T13:01:31.283Z,2024-11-03T13:50:38Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5338054363,140,38.1,5338054375,213,2.59,5338054371,212,20.1,5338054367,141,21.6,5338054359,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572095,8,1,1,0,13,77tfx9me4aaqhzv78bmgsy9bg,1,40.1,22.4,2024-11-03T13:01:35.235Z,2024-11-03T13:50:57Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5338054591,212,25.2,5338054589,141,5.5,5338054585,56,Right,5338054593,213,5.81,5338054587,140,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572149,9,1,1,0,15,77tfx9me4aaqhzv78bmgsy9bg,1,61.3,5.9,2024-11-03T13:01:37.235Z,2024-11-03T13:51:08Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5338054903,141,25.8,5338054899,56,Center,5338054907,213,1.23,5338054901,140,65.9,5338054905,212,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572161,10,1,1,0,18,77tfx9me4aaqhzv78bmgsy9bg,1,75.4,15.2,2024-11-03T13:01:40.115Z,2024-11-03T13:52:20Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5338054979,213,2.66,5338054969,140,66.2,5338054967,56,Center,5338054971,141,22.7,5338054975,212,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743572209,11,1,1,0,18,77tfx9me4aaqhzv78bmgsy9bg,1,62.5,32.4,2024-11-03T13:01:40.707Z,2024-11-03T13:01:42Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5338055197,212,14.0,5338055193,140,60.5,5338055199,213,4.56,5338055191,56,Right,5338055195,141,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
