id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2701842119,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-07-19T17:03:40.404Z,2024-07-19T17:58:09Z,,,,,5109075669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109170383,194,55gunqozsj8gs6oua7ee5xxhx,5109075665,59,"13, 2, 23, 6, 4, 19, 29, 5, 40, 7, 22, 11, 15, 17, 21, 31, 32, 43, 36, 45",5109075667,130,4,5109075661,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, bxx5rebv553opcpvc2x70g6sq, etfoa7t308eq1xdmo9m2gfcgl, 55gunqozsj8gs6oua7ee5xxhx, ddsv1cx4vopu1xis5xwkx2qz8, 4cubrfqgrc5ivbd6fdj3k3zf8, c9e54hwefvwos94ri459uylbe, 3nok8qxxj2zl831wgvc7abxuc, 4rgz5z372h6sbwhpxl69cb6c5, 3nto7ft0b2a47lqd7ethkkrxm, 76k8ic97o66kaq2e52bmp27ai, 179f3j88wnmze82aicikkez9, 3qcjzsb466tfri5yrj35wztw4, 6rd6a2f1k124dzp1p904yq3h0, a2cehkxue1tit6hyc6qykmlii, e07zv7ag985v8lq9sebfi27l5, 7a1vtc0e7ubua2t0dwx9ufk7o, 3zc9hy5uicgp21wr6z5wyuntg, apspqh3shqfwobvh35x60q5g4",5109170385,197,4597,5109075671,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109075663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701845323,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-07-19T17:13:24.652Z,2024-07-19T18:09:34Z,,,,,5109094049,130,4,5109094045,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5109094055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109171879,197,17331,5109094051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109094047,59,"1, 20, 24, 16, 4, 3, 8, 14, 10, 11, 19, 6, 13, 15, 17, 22, 26, 27, 37, 50",5109094053,194,1arzd8hqj73byhduozscqz5uy,5109094043,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, brinkgys7026490q3ixx6h9uc, 6v1kpakd3t0jhnoh1eh75ev4k, 7yst1mucy7jynmpzu1thox2i, dq2eqqywinhsh9ijg8amqyp78, 3q4tnk1z46lop4rbdpjtfoc2c, eyx42tgneccybvhk8bfhtcaqy, 5lz41celw55rz3zh8pohclw5w, 1arzd8hqj73byhduozscqz5uy, 5hw5sfiqhzg7mnghdp52f7fqi, 8mkrj5bnkyhx8kutc4656cy96, 8vi3l756ez0e96k7muvg4ekbu, 974s3rwvb2ls1k1no4hlaz8ph, 8bi1tlz62rjwyak4pnnzgp562, cul6phe87idi5dn1hsfywxhwp, cw6s5hf1tytvb98vjuosz9r6d, 5vrsflxiv2dgfa8199a2qxsve, ezi8426ran0bffeyfvloc2ihg, 3tka46re2gsi9uw7pbxx5m0pg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701859073,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-07-19T18:00:21.798Z,2024-07-19T18:00:22Z,,,,,5109173461,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701859069,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-07-19T18:00:21.798Z,2024-07-19T20:51:44Z,,,,,5109173447,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701859079,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.1,50.0,2024-07-19T18:00:21.799Z,2024-07-19T18:12:58Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5109173483,56,Back,5109173491,213,3.27,5109173485,140,44.0,5109173487,141,48.8,5109173489,212,6.5,5109173493,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701859097,4,1,1,0,1,77tfx9me4aaqhzv78bmgsy9bg,1,44.0,48.8,2024-07-19T18:00:23.554Z,2024-07-19T18:00:26Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5109173609,141,70.5,5109173613,213,1.92,5109173611,212,15.7,5109173605,56,Back,5109173607,140,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701859109,5,1,1,0,4,77tfx9me4aaqhzv78bmgsy9bg,1,38.7,69.0,2024-07-19T18:00:26.427Z,2024-07-19T18:00:28Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5109173671,212,27.8,5109173673,213,4.52,5109173667,140,33.7,5109173665,56,Back,5109173669,141,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701859117,6,1,1,0,6,77tfx9me4aaqhzv78bmgsy9bg,1,33.7,28.9,2024-07-19T18:00:28.547Z,2024-07-19T18:00:30Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5109173713,56,Back,5109173721,213,1.93,5109173719,212,17.1,5109173717,141,52.4,5109173715,140,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701859125,7,1,1,0,8,77tfx9me4aaqhzv78bmgsy9bg,1,28.0,55.8,2024-07-19T18:00:30.562Z,2024-07-19T18:00:31Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5109173751,141,56.7,5109173747,56,Back,5109173755,213,0.07,5109173749,140,36.8,5109173753,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701859139,8,1,1,0,9,77tfx9me4aaqhzv78bmgsy9bg,1,36.8,56.7,2024-07-19T18:00:31.521Z,2024-07-19T19:01:57Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5109173819,56,Back,5109173823,141,13.8,5109313475,156,,5109173827,213,4.46,5109173821,140,29.6,5109173825,212,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
