id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2731476139,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-10-06T11:14:49.651Z,2024-10-06T12:05:49Z,,,,,5272126563,197,21353,5271981377,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5271981365,30,"15fo180vixn0lb65fujttit3p, 6v4ykv7aw86ql22oksh682kus, 8ydi45wh0naevno6aos78vi09, 5is9bcj143orulo4biogwxzl6, 6ul2nma4j0a7e2li6wyyrpal1, 2wwpfsducpmryacr17y8k70iy, d854rlweyk5wq6d2veyviukq2, 6d0lxiep13vdv32bdb0xwyrys, deyq3zqd0vwc821ngqldxqor9, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, cl3w811fge6189cbclaslb26t, 5q5ph311bi310zt1e45u7i7dh, b13l1wrb747y9cdc8wqltan6d, diwrq7ulrey4juxk4dafct0q1, 39f0bq9uk4etkf75uzu6qyrmy, 58o5ram4bf58357786j9jr7kk, c36ffo382u9flu5foebt4di39, 5733iw16239m83syv5dm8huj9, d85h1t14o7agqal849ca7fehg",5271981371,130,13,5271981369,59,"32, 7, 20, 5, 12, 4, 13, 14, 26, 21, 17, 1, 6, 8, 11, 9, 15, 23, 30, 33",5271981373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5271981367,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5271981375,194,deyq3zqd0vwc821ngqldxqor9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731476953,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-10-06T11:16:48.942Z,2024-10-06T11:58:40Z,,,,,5271985915,194,8cox96ikk1k4c24f0y5ef45x,5271985917,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5271985909,59,"1, 27, 29, 28, 3, 4, 6, 9, 26, 10, 17, 5, 7, 15, 16, 18, 19, 24, 25, 90",5271985913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272137891,197,4650,5271985911,130,9,5271985905,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 2lyhi7j3id7emsh54ehdva3ca, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 6uj3c69lgu6boblkjiuhoy6eh, 606hufq6dapf3qxcgilbc8tt5, 54ipja7wrxji6kn8yw5uhr6ga, ag40mk09zc8tzbkr7dnnqumay, 8domjmewnw5h6b19vef8w0afp, 1t67kvg37jg2elz9voix5kcet, 1329qhvvxpp6j4q5esh4n3hii, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3aoh34sqan7y34c2qa1d6xkyy, 6w9yjs87tue7noq71ftksxez8, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 9yuyz4ci6wqikd6ckjstbt2i1",5271985907,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508787,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-10-06T12:02:47.565Z,2024-10-06T14:57:43Z,,,,,5272156819,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508775,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-10-06T12:02:47.565Z,2024-10-06T12:02:49Z,,,,,5272156773,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508861,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,50.1,49.9,2024-10-06T12:02:47.566Z,2024-10-06T12:02:52Z,deyq3zqd0vwc821ngqldxqor9,F. Gytkjær,,,5272157205,279,S,5272157203,213,2.61,5272157197,141,65.4,5272157201,212,20.9,5272157195,140,32.9,5272157193,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508937,4,1,1,0,4,anga7587r1zv4ey71ge9zxol3,0,32.5,61.5,2024-10-06T12:02:51.951Z,2024-10-06T12:02:55Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5272157499,157,,5272157509,213,5.98,5272157507,212,44.7,5272157501,56,Center,5272157503,140,73.1,5272157511,1,,5272157505,141,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508953,3,44,1,0,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,27.4,58.8,2024-10-06T12:02:54.639Z,2024-10-06T13:10:26Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5272157585,56,Back,5272157635,233,5,5272157587,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508941,5,44,1,0,7,anga7587r1zv4ey71ge9zxol3,0,72.6,41.2,2024-10-06T12:02:54.640Z,2024-10-06T13:10:26Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5272157537,56,Center,5272157539,286,,5272157651,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508981,4,1,1,0,7,9w3sjm5ml4sjr2v81oxzdrt8v,0,28.4,59.7,2024-10-06T12:02:55.191Z,2024-10-06T12:02:56Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5272157729,140,42.5,5272157731,141,61.7,5272157725,3,,5272157727,56,Back,5272157733,212,14.9,5272157735,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731748973,855,44,1,0,7,anga7587r1zv4ey71ge9zxol3,1,56.0,36.9,2024-10-06T12:02:55.517Z,2024-10-06T17:56:16Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5273460029,56,Center,5273460033,286,,5274516785,233,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
