id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/8/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2786021215,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-03-09T11:57:10.951Z,2025-03-09T13:01:12Z,,,,,5568969955,194,6ul2nma4j0a7e2li6wyyrpal1,5568969959,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568969957,197,21353,5568969951,130,7,5568969947,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5568969949,59,"32, 2, 5, 22, 12, 6, 18, 13, 26, 8, 21, 3, 9, 14, 15, 17, 19, 27, 30, 40",5568969953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568969945,30,"15fo180vixn0lb65fujttit3p, 8822s8ns7oyvjqade4oaxzg0l, 5is9bcj143orulo4biogwxzl6, 79b0b6eqck5vn4b3fawxsaok, 6ul2nma4j0a7e2li6wyyrpal1, cw6s5hf1tytvb98vjuosz9r6d, 8gdfn7j6xac9p4jh94hk40jdg, d854rlweyk5wq6d2veyviukq2, deyq3zqd0vwc821ngqldxqor9, b13l1wrb747y9cdc8wqltan6d, bpw4cd5vmghjhelb3uxupmqjt, 5kghds186740jygx97bihh6mt, 39f0bq9uk4etkf75uzu6qyrmy, 6d0lxiep13vdv32bdb0xwyrys, 58o5ram4bf58357786j9jr7kk, 9pnirb3qt48zeui3su8cvu1ka, 6zhj070huc77sl5o5bx6ey5g4, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, 52vwj2s29n7wngablotd7pboq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786022865,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-09T12:02:14.702Z,2025-03-09T18:55:54Z,,,,,5568978601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568978587,30,"b2492j7qzdo7g3ysxz6gq4g5x, 9zhmwx3g0m6xi2oh57g4z35nu, 89xit2bryc0g4yhqina7akjkk, bplpqy3ierwlm12d1f3prue7e, 7zaveckhldl5rieo5ddsqtt2i, ew91bx066dre4xck30vmz10yc, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, lioz4hr2umpne2bwar18qa96, bb8q9cgqzw9n2tmkl8s3bth0q, 4qo7eu3xwhkpssbuyk4n70fe1, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, 8ngloyr6r0m71p8kgpfe69bvu, 349g9rdismqpb1aarjp011bd, 7h39w16zvj1lbfb0rqr7kvt1x, d8nahz092xxj6muqc24hocp3o, lmrff8mviimc33yyrpjzr2tw",5568978589,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5568978593,130,4,5568978591,59,"1, 3, 36, 6, 25, 40, 20, 33, 23, 21, 10, 4, 7, 8, 9, 14, 17, 19, 30, 41",5568978599,197,6293,5568978597,194,b2492j7qzdo7g3ysxz6gq4g5x,5568978595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054167,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-09T13:00:43.501Z,2025-03-09T18:43:22Z,,,,,5569141413,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054163,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-03-09T13:00:43.501Z,2025-03-09T13:00:44Z,,,,,5569141391,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054199,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,50.0,50.0,2025-03-09T13:00:43.502Z,2025-03-09T20:11:53Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5569141605,140,56.2,5569141609,141,52.6,5569141617,279,S,5569141615,213,0.27,5569141603,56,Center,5569141613,212,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054215,4,1,1,0,3,ahnt9ejgwj58ul8auzdvi3czf,1,57.7,50.6,2025-03-09T13:00:47.157Z,2025-03-09T13:31:03Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5569141661,212,15.7,5569141663,213,2.99,5569141655,56,Back,5569141659,141,54.0,5569141657,140,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054235,5,1,1,0,5,ahnt9ejgwj58ul8auzdvi3czf,1,43.9,53.6,2025-03-09T13:00:49.189Z,2025-03-09T18:58:24Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5569141751,213,0.74,5569141743,56,Back,5569141747,141,60.3,5569141749,212,6.8,5569141745,140,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054281,6,1,1,0,6,ahnt9ejgwj58ul8auzdvi3czf,1,48.1,61.1,2025-03-09T13:00:50.293Z,2025-03-09T18:58:28Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5569141935,213,3.93,5569141931,141,56.6,5569141929,140,45.2,5569141927,56,Back,5569141933,212,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786081435,301,1,1,0,7,ahnt9ejgwj58ul8auzdvi3czf,1,41.6,60.5,2025-03-09T13:00:50.888Z,2025-03-09T13:31:27Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5569286679,212,15.0,5569286673,56,Back,5569286677,141,78.2,5569286675,140,33.1,5569286681,213,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054327,7,1,1,0,11,ahnt9ejgwj58ul8auzdvi3czf,1,33.3,69.8,2025-03-09T13:00:54.837Z,2025-03-09T13:00:59Z,ew91bx066dre4xck30vmz10yc,A. Busch,,,5569142117,213,1.13,5569142115,212,18.1,5569142111,140,40.7,5569142109,56,Back,5569142113,141,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
