id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2736555263,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-10-20T15:14:58.006Z,2024-10-20T16:00:35Z,,,,,5299700105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5299700097,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 1902oagnhlo7x9xpumxvg1t78, 5x8064b3yr7txk0czddfjtffu, 3ejggtt1du1cui3wc1f8oqx62, 94560hgwsjkx8qgz48f7gzitw, adg5dfvzxjrzlz1n2jsfeyx3o, a6ham5hnwv62w3tynikyal68l, 33sxiwcjeqcop3ukuok86ujmd, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 6gh4z3yubnpypzoakjom1rj3e, bh06w40pwo6dy3cjrw3r2i0ru, d88feog3dgv09oxbzn15xqesq, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50",5299979179,194,5j9d1plbsd5ic01r3ggziutwp,5299974931,197,23447,5299700107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5299700099,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5299700101,59,"16, 22, 23, 6, 12, 4, 8, 7, 15, 24, 25, 1, 5, 9, 11, 17, 18, 20, 26, 31",5299700103,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736557227,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-10-20T15:16:39.990Z,2024-10-20T16:06:56Z,,,,,5299979641,197,24384,5299711593,59,"16, 6, 55, 5, 4, 22, 20, 17, 25, 7, 58, 1, 3, 11, 15, 18, 21, 24, 41, 73",5299711591,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5299711589,30,"7yim2aepctujr2m4p20a97755, 8yfw9f74h0yfz51bkxxc8p39x, 8mn8apr6n7t7s6lx4d4vvdnca, arhoud4vfjvmjaf2pkbm6s48a, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, e73sexp7kse0wlykdi7xcbg2c, 5cjx2i2perp5vr62en4cyer1m, 10esz9pvzonegry7p78n3ce09, 1sdsqfn743j5tqem8ra7sppn8, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, djlyi0ad4x1p0k4thn8n0axw4, 8mcb1hiuk9rzf48cx3vj5i3th, elhmf9cc26ec5p1wnwonuxf4l, 78kzajya12k4sm0ebfl37d6ok, drlp4xtkta08jiu0px6m4ocq2, e64kcio0848bpw39eedbjyd5g, 4fhpb0b8muboggvquj2pvsiqx",5299711597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5299985163,194,a87w6l9zsbahdi4knm1347zs9,5299711599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5299711595,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736607065,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-10-20T16:01:59.059Z,2024-10-20T16:02:01Z,,,,,5299987373,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736607051,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-10-20T16:01:59.059Z,2024-10-20T16:01:59Z,,,,,5299987319,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736607097,3,1,1,0,0,59as3grjvj19voay31j3yfgni,1,50.2,50.0,2024-10-20T16:01:59.060Z,2024-10-20T16:49:01Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5299987549,213,3.04,5299987551,279,S,5299987547,212,19.1,5299987545,141,52.8,5299987537,56,Back,5299987543,140,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736607151,4,1,1,0,3,59as3grjvj19voay31j3yfgni,0,32.1,52.8,2024-10-20T16:02:02.482Z,2024-10-20T16:02:05Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5299987861,141,12.0,5299987863,212,53.2,5299987855,157,,5299987859,140,75.3,5299987867,1,,5299987857,56,Right,5299987865,213,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736607187,3,1,1,0,6,aljua8crr0vkwit0j3m59jw9j,0,35.4,73.5,2024-10-20T16:02:05.761Z,2024-10-20T16:02:08Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5299988021,3,,5299988023,56,Back,5299988031,213,0.75,5299988027,141,74.5,5299988029,212,1.0,5299988025,140,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736607315,5,2,1,0,11,59as3grjvj19voay31j3yfgni,1,62.7,24.8,2024-10-20T16:02:10.451Z,2024-10-20T16:49:17Z,e73sexp7kse0wlykdi7xcbg2c,V. Byskov,,,5299988887,7,1sdsqfn743j5tqem8ra7sppn8,5299988781,141,18.4,5299988775,140,72.7,5299988889,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736607535,5,1,1,0,25,aljua8crr0vkwit0j3m59jw9j,1,23.1,70.2,2024-10-20T16:02:24.096Z,2024-10-20T16:02:28Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5299990043,140,9.4,5299990055,213,3.80,5299990045,141,53.9,5299990037,56,Back,5299990035,241,,5299990051,212,18.2,5299990033,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736607575,6,1,1,0,29,aljua8crr0vkwit0j3m59jw9j,1,12.1,52.4,2024-10-20T16:02:28.831Z,2024-10-20T16:02:31Z,c7gwbtdqptxjtu3tn3xctvit,J. Busk,,,5299990327,212,16.5,5299990321,56,Back,5299990323,140,26.7,5299990325,141,43.4,5299990329,213,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
