id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2706367017,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-05T16:10:21.921Z,2024-08-05T17:02:48Z,,,,,5134232653,194,7hukebiijqntuvetwzralzuju,5134216685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5134216677,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5134216675,30,"53y263xxfdf1itytiqhg3v6c5, 6c2isptqoy4cq5c8rlr9s1roq, 6xjbcik3a56d0vqy4vrq5eokp, 7hukebiijqntuvetwzralzuju, 6ylzm57bvpufg3cenadtv7qhh, 1ykl08k2c2kwxukw0gvslf6qd, 7uia9zlz3axnuc6usdn9u4kfe, 2anc9ug5nr25khmtcc4id2pxx, babnrlnt04mal0268p9dxas8a, 7rtrg77m3xozgfhu3p2ihfey2, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 1yqlkot5sh85ot3eemo67djv9, 22zuxw8lez5w4vjd8spzzysyc, 3ylgelxr6ssp42hidfnchqp2i, 9yiz575rldkwu7icgqwk1qmdx, ejeagwkwh1ijuwgfpiya8cel1, 1k9g7x8jwhzcpx8bc5ji7og0k, 1hbucfyn2l3bxcw5r4zcb1dlg, 6uvp2evoo07gv5rc5ht2l012i",5134232403,197,12608,5134216681,130,13,5134216679,59,"1, 59, 38, 4, 14, 13, 34, 5, 9, 11, 17, 3, 7, 8, 10, 18, 20, 24, 37, 71",5134216683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706367161,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-05T16:12:13.275Z,2024-08-05T17:00:41Z,,,,,5134232551,197,21751,5134217423,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, c9e54hwefvwos94ri459uylbe, etfoa7t308eq1xdmo9m2gfcgl, 55gunqozsj8gs6oua7ee5xxhx, ddsv1cx4vopu1xis5xwkx2qz8, 6rd6a2f1k124dzp1p904yq3h0, 4cubrfqgrc5ivbd6fdj3k3zf8, 3nok8qxxj2zl831wgvc7abxuc, 4rgz5z372h6sbwhpxl69cb6c5, 3nto7ft0b2a47lqd7ethkkrxm, 5uqf7a0y0fd1hf2rrmgx11tuy, 76k8ic97o66kaq2e52bmp27ai, 179f3j88wnmze82aicikkez9, bxx5rebv553opcpvc2x70g6sq, 2rvx2wlfj2rxzcgye6wiw0v84, a2cehkxue1tit6hyc6qykmlii, e07zv7ag985v8lq9sebfi27l5, 7a1vtc0e7ubua2t0dwx9ufk7o, 2r8s61bmydlumhg62wd0y6fis",5134217433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5134217431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5134217429,130,4,5134217427,59,"13, 2, 5, 6, 4, 19, 21, 29, 40, 7, 22, 9, 11, 15, 23, 24, 31, 32, 43, 18",5134232549,194,55gunqozsj8gs6oua7ee5xxhx,5134217425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706369755,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-05T17:00:08.012Z,2024-08-05T17:00:08Z,,,,,5134232853,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706369757,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-05T17:00:08.012Z,2024-08-05T19:44:31Z,,,,,5134232857,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706369759,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.1,50.0,2024-08-05T17:00:08.013Z,2024-08-05T18:01:50Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5134232861,140,42.2,5134232859,56,Back,5134232869,279,S,5134232863,141,52.6,5134232865,212,8.5,5134232867,213,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706369761,4,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,44.4,47.4,2024-08-05T17:00:11.486Z,2024-08-05T17:00:13Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5134232879,140,35.5,5134232883,212,18.7,5134232877,56,Back,5134232885,213,4.19,5134232881,141,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706369765,5,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,1,36.0,23.9,2024-08-05T17:00:13.582Z,2024-08-05T17:00:19Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5134232899,213,1.66,5134232891,56,Back,5134232895,141,56.5,5134232893,140,34.2,5134232897,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706369767,6,1,1,0,11,77tfx9me4aaqhzv78bmgsy9bg,1,44.6,53.6,2024-08-05T17:00:19.021Z,2024-08-05T17:00:21Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5134232905,140,41.5,5134232907,141,27.5,5134232909,212,18.0,5134232911,213,4.53,5134232903,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706369769,7,1,1,0,13,77tfx9me4aaqhzv78bmgsy9bg,0,44.2,19.6,2024-08-05T17:00:21.823Z,2024-08-05T17:00:24Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5134232915,155,,5134232923,212,45.0,5134232927,1,,5134232919,140,85.7,5134232917,56,Center,5134232921,141,36.3,5134232925,213,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706369771,3,52,1,0,17,c165yjiny1qnmfdvefxvflnkc,1,14.3,68.7,2024-08-05T17:00:25.823Z,2024-08-05T19:50:43Z,53y263xxfdf1itytiqhg3v6c5,I. Vekić,,,5134476999,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
