id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2745511665,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-11-08T17:00:29.374Z,2024-11-08T17:55:33Z,,,,,5348763679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348763675,59,"1, 2, 38, 34, 14, 4, 11, 8, 18, 10, 17, 3, 5, 7, 24, 25, 29, 33, 37, 71",5348763671,30,"53y263xxfdf1itytiqhg3v6c5, 1xjhud4hyekcg08nue1iosmsq, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 6ylzm57bvpufg3cenadtv7qhh, 7hukebiijqntuvetwzralzuju, 7rtrg77m3xozgfhu3p2ihfey2, 22zuxw8lez5w4vjd8spzzysyc, 9yiz575rldkwu7icgqwk1qmdx, 3ylgelxr6ssp42hidfnchqp2i, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 2anc9ug5nr25khmtcc4id2pxx, 1yqlkot5sh85ot3eemo67djv9, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, chsirsawrhuh787kofklnjmqd, 22760086vtvx2xulry32q21hw, 1hbucfyn2l3bxcw5r4zcb1dlg, 6uvp2evoo07gv5rc5ht2l012i",5348883227,197,12608,5348763673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5348763677,130,8,5348883225,194,7hukebiijqntuvetwzralzuju,5348763681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745512285,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-11-08T17:02:37.231Z,2024-11-08T18:41:18Z,,,,,5348883017,194,5j9d1plbsd5ic01r3ggziutwp,5348767407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348767403,59,"16, 22, 23, 6, 12, 4, 7, 8, 15, 25, 11, 1, 9, 13, 17, 18, 20, 24, 26, 31",5348767399,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, 7foqorbwhgqjghtxa2nax6kgk, a6ham5hnwv62w3tynikyal68l, 828b7y3phhpb62srvtrjhtgk4, 5q4p56lg1vjsqo824aql0e1d6, 6gh4z3yubnpypzoakjom1rj3e, bh06w40pwo6dy3cjrw3r2i0ru, d88feog3dgv09oxbzn15xqesq, 94560hgwsjkx8qgz48f7gzitw, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50",5348767401,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5348767405,130,4,5348883019,197,23448,5348767409,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534685,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-11-08T18:00:52.662Z,2024-11-08T18:00:52Z,,,,,5348888981,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534687,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-11-08T18:00:52.662Z,2024-11-08T21:23:56Z,,,,,5348888983,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534699,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,49.7,50.4,2024-11-08T18:00:52.663Z,2024-11-08T18:00:56Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5348889041,279,S,5348889037,212,27.7,5348889035,141,67.2,5348889039,213,2.72,5348889033,140,25.7,5348889031,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534709,4,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,0,25.3,67.2,2024-11-08T18:00:56.384Z,2024-11-08T18:01:00Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5348889097,1,,5348889087,56,Center,5348889093,212,39.0,5348889091,141,76.9,5348889095,213,0.17,5348889089,140,61.9,5348889085,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534717,3,44,1,0,6,c165yjiny1qnmfdvefxvflnkc,1,33.3,22.1,2024-11-08T18:00:59.426Z,2024-11-08T18:56:00Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5348889119,285,,5348889129,233,5,5348889117,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534711,5,44,1,0,6,aljua8crr0vkwit0j3m59jw9j,0,66.7,77.9,2024-11-08T18:00:59.427Z,2024-11-08T18:56:01Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5348889101,56,Center,5348889103,286,,5348889135,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534729,4,1,1,0,7,c165yjiny1qnmfdvefxvflnkc,1,25.3,20.3,2024-11-08T18:01:00.268Z,2024-11-08T18:01:02Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5348889167,140,28.8,5348889173,213,5.06,5348889171,212,10.9,5348889169,141,5.2,5348889165,56,Back,5348889163,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534747,6,1,1,0,11,c165yjiny1qnmfdvefxvflnkc,0,24.4,2.9,2024-11-08T18:01:03.868Z,2024-11-08T18:01:06Z,7rtrg77m3xozgfhu3p2ihfey2,M. Juwara,,,5348889281,213,2.78,5348889273,56,Back,5348889279,212,10.2,5348889277,141,8.2,5348889275,140,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
