id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2789307717,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-03-16T15:20:06.520Z,2025-03-16T16:52:20Z,,,,,5587211667,197,12608,5586981655,130,4,5586981659,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586981651,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5587572155,194,1xjhud4hyekcg08nue1iosmsq,5586981657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586981653,59,"1, 23, 38, 10, 13, 14, 2, 34, 45, 37, 17, 5, 7, 11, 18, 24, 25, 26, 29, 59",5586981649,30,"53y263xxfdf1itytiqhg3v6c5, 6lap0wrnichfxxqm5kgtoflec, 6xjbcik3a56d0vqy4vrq5eokp, 3ylgelxr6ssp42hidfnchqp2i, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 1xjhud4hyekcg08nue1iosmsq, 7uia9zlz3axnuc6usdn9u4kfe, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 94hei5v2f93ga4b0iwxxisbu1, 2anc9ug5nr25khmtcc4id2pxx, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 6kdy9i4p9fgyn45d9avb66cd0, chsirsawrhuh787kofklnjmqd, 6c2isptqoy4cq5c8rlr9s1roq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789316219,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-03-16T15:28:06.070Z,2025-03-16T16:08:55Z,,,,,5587216545,197,21749,5587234685,194,3sadup8mjwu4dc96wz6lmixn9,5587026779,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, bz77hr28a1yskifpuvzu8smsq, 7je01bs3a4q6c2gd02ee6da3u, 8og8nxbkcb63van4llvpkbe8l, 8xrco8qhcvplvc3wmcschoi22, 6jgd09iosfe5mn3tputmjx2ad, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, ca1b5707pdpx0ucug40ggnahh, 9lecsi8eqpy3jj9zvvhahkvmc, 3uytpqx0e0jr6zgbfl1znsm7e, 3l3v5wj4c7vtqqwu05b526590",5587026783,59,"1, 2, 11, 19, 5, 3, 8, 7, 9, 15, 10, 6, 14, 16, 22, 23, 29, 30, 31, 40",5587026787,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5587026781,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5587026789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5587026785,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347649,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-03-16T16:00:06.914Z,2025-03-16T19:16:56Z,,,,,5587198575,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347661,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-03-16T16:00:06.914Z,2025-03-16T18:54:48Z,,,,,5587198589,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789516587,728,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,49.9,50.3,2025-03-16T16:00:06.915Z,2025-03-16T18:09:21Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5588116335,141,53.0,5588116339,213,3.06,5588116331,56,Back,5588116333,140,28.0,5588116337,212,23.1,5588116341,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347703,3,43,1,0,2,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-03-16T16:01:15.947Z,2025-03-16T18:08:24Z,,,,,5587198759,344,0,5588110647,144,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789517139,729,1,1,0,3,c165yjiny1qnmfdvefxvflnkc,0,27.6,52.5,2025-03-16T16:00:09.914Z,2025-03-16T18:09:57Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5588119461,213,5.85,5588119453,56,Center,5588119457,141,21.9,5588119463,1,,5588119459,212,49.5,5588119455,140,70.4,5588119451,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347719,3,43,1,0,3,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-03-16T16:01:16.491Z,2025-03-16T16:01:24Z,,,,,5587199411,144,79,5587198795,344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347739,4,43,1,0,4,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-03-16T16:01:17.546Z,2025-03-16T18:34:27Z,,,,,5587198897,344,0,5588219795,144,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789515377,841,44,1,0,6,5rz9enoyknpg8ji78za5b82p0,1,26.8,74.5,2025-03-16T16:00:12.949Z,2025-03-16T21:11:52Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5588109899,285,,5588109897,56,Back,5588120007,233,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
