id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value
2821291333,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-04T23:11:13.093Z,2025-06-05T00:37:17Z,,,,,5763577185,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5763577191,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5763577195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5763621999,197,29697,5763577187,59,"1, 2, 27, 17, 13, 43, 15, 6, 9, 19, 7, 5, 8, 10, 21, 25, 32, 47, 57",5763577189,130,8,5763577183,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, beq6yluq1raxsrvxo77qlrf56, cbjd834y2hdx5jr3bda1zz6ga, 9etod4kwf9f5ye7jzc5ez0e3u, 5uv1a9rj5wot3wcgefjoxhkdm, 357vd87hv0jvljqtt2qf4vmz8, dhi7890xe8zsmzhw2cad7sul1, b708ir5u7r34j9oemje8f8z1m, 2rsduabh7r8i29f9i6znwbfu1, e6uww9a9ssp0n20ksoolesa8l, 7drelguz6c1htw10sq7zyxh0q, 8lk5ve59333boqzpcmd0yidck, 272w5ezobn1o53b3yxnbgjckq, dglf4uhg5wnc68cg8ijovfmy1, 7xe0ov84ztwduks4x3utn05ck, 8t6b8q53ovws370a1b27s85jo, 5iuzoq7alcxdn37rp7lvqyexg, 86fbk8r7wsy14weicjdxj76z8, 2ig362xub2syd45v3usgymbkk",5763577193,194,e6uww9a9ssp0n20ksoolesa8l,,,,,,,,,,,,,,,,,,,,,,,,
2821292195,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-06-04T23:15:44.654Z,2025-06-05T02:58:35Z,,,,,5763581981,30,"d38osra1p83cgtmrwqt6w60yy, 1lk61nwcvayf0ep21p31xcfzd, 2pka62t1zg04jwkcx6zbc4wlw, 54yx5xkqrktd2hp0sxjx6hm8l, 97d0drjb3zqkh5ozfufg17nys, arxprecroj7kqwx1tmkhhfsdm, blts89a19itip4gjeagcwc1xx, e93nozniig2wriw9doit6a4tl, 5fhb206czgy2ul5j0tsqeo7ah, 9tispdm7tc3te31awsfcmd905, 2co6fedrz8anjzy9ise76dplh, n6ubi9lw3fjau0xzvd09myqy, 1nl79aq9il743hgoaijmupmmt, 8delieh6jv1cgaukmgcwfjsic, 7ad4uvgwiwtjy23nt3yjsmctm, cv7nd9tnk6j2ixvnlibiip2vp, dr544s11qpyo2mg32cvq6g6vp, d50x000h9o6i8kd8aihie4lx",5763581987,130,11,5763581989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5763581983,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5763581985,59,"98, 27, 4, 41, 3, 30, 6, 5, 22, 14, 8, 2, 18, 19, 21, 23, 32, 99",5763581993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5763581991,194,9tispdm7tc3te31awsfcmd905,5763621593,197,22472,,,,,,,,,,,,,,,,,,,,,,,,
2821299657,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-05T00:07:50.755Z,2025-06-05T00:07:54Z,,,,,5763622689,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299651,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-06-05T00:07:50.755Z,2025-06-05T00:07:57Z,,,,,5763622671,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299661,3,1,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,50.0,50.0,2025-06-05T00:07:50.863Z,2025-06-05T00:08:14Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5763622739,278,,5763622711,140,53.4,5763622715,212,3.8,5763622723,279,S,5763622719,213,5.90,5763622709,56,Center,5763622713,141,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299671,4,1,1,0,2,c9xffml4i7ihblp1qhus9w3fu,1,58.8,41.6,2025-06-05T00:07:53.069Z,2025-06-05T00:07:55Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5763622763,213,5.17,5763622755,56,Right,5763622761,212,20.5,5763622759,141,14.6,5763622757,140,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299689,5,1,1,0,4,c9xffml4i7ihblp1qhus9w3fu,1,67.4,14.6,2025-06-05T00:07:54.829Z,2025-06-05T00:07:59Z,dhi7890xe8zsmzhw2cad7sul1,T. Pasher,,,5763622839,56,Back,5763622847,213,2.59,5763622843,141,33.1,5763622841,140,47.9,5763622845,212,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299693,6,1,1,0,8,c9xffml4i7ihblp1qhus9w3fu,1,47.9,33.1,2025-06-05T00:07:59.556Z,2025-06-05T00:08:00Z,b708ir5u7r34j9oemje8f8z1m,S. McIllhatton,,,5763622871,56,Back,5763622875,141,57.8,5763622877,212,16.9,5763622873,140,46.2,5763622879,213,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299709,7,1,1,0,9,c9xffml4i7ihblp1qhus9w3fu,1,46.2,57.8,2025-06-05T00:08:00.662Z,2025-06-05T00:08:03Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,,5763622969,213,1.16,5763622963,140,56.3,5763622967,212,26.6,5763622961,56,Left,5763622965,141,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299713,8,1,1,0,12,c9xffml4i7ihblp1qhus9w3fu,1,56.3,93.6,2025-06-05T00:08:03.365Z,2025-06-05T00:08:04Z,cbjd834y2hdx5jr3bda1zz6ga,E. Centeno,,,5763622991,212,18.0,5763622985,56,Back,5763622993,213,3.89,5763622987,140,43.7,5763622989,141,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299723,9,1,1,0,13,c9xffml4i7ihblp1qhus9w3fu,0,43.7,75.6,2025-06-05T00:08:04.308Z,2025-06-05T00:08:05Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,,5763623037,140,33.2,5763623039,141,100.0,5763623035,56,Back,5763623041,212,20.8,5763623043,213,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299763,3,5,1,0,14,8cpjplodpphtkbt0hq8sr8mqs,1,65.9,-1.8,2025-06-05T00:08:05.680Z,2025-06-05T02:14:31Z,1lk61nwcvayf0ep21p31xcfzd,B. Rendón,,,5763623213,233,10,5763623209,56,Right,5763623211,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299731,10,5,1,0,14,c9xffml4i7ihblp1qhus9w3fu,0,34.1,101.8,2025-06-05T00:08:05.680Z,2025-06-05T02:14:31Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,,5763623217,233,3,5763623071,56,Back,5763623073,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299767,4,1,1,0,30,8cpjplodpphtkbt0hq8sr8mqs,1,64.4,0.0,2025-06-05T00:08:21.644Z,2025-06-05T00:08:23Z,1lk61nwcvayf0ep21p31xcfzd,B. Rendón,,,5763623241,213,2.17,5763623231,56,Right,5763623239,212,15.4,5763623237,141,16.7,5763623235,140,56.1,5763623225,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821299775,5,1,1,0,32,8cpjplodpphtkbt0hq8sr8mqs,1,56.1,16.7,2025-06-05T00:08:23.273Z,2025-06-05T00:08:27Z,blts89a19itip4gjeagcwc1xx,C. Lindley,,,5763623275,1,,5763623269,141,24.6,5763623271,212,36.3,5763623263,155,,5763623267,140,21.9,5763623273,213,2.99,5763623265,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
