id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value
2809924647,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-04T00:24:53.652Z,2025-05-04T05:05:20Z,,,,,5700506363,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700602355,194,7i29w1zl3m6xdnurdll08jsvd,5700647875,197,28293,5700506361,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700506355,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5700506353,30,"8m19c2e0raanzp3dzf7aaf6jt, 2h53fzt0ubszmkuwfnez8n622, b9lt0sfts2zxf2ali8vpf0pn9, cnqxbvy77blk2ulx06t65it49, 7i29w1zl3m6xdnurdll08jsvd, dqekbs06e79n3vapj437pwyc, rtca480n5ehey5ffvt8nudck, drbcpa8qvrgin42q3it10nieh, 4ccmn07kk0thmg6apfxgivmc5, 6eqvj5hboqw5c21ofhsgo4p9l, cfx7vo0kbjvcly2nf1b7papsk, duuhalibp64gdz6nub5ub0ovd, ody1ty0csq2lnatvjwdrrv11, dio84sg1k4gsedcpordxs69lg, 3djjepgynp4qnhgvvqh9oa1ka, bym89mq8vrfb8756rddemyzh0, dokvihfznn6m11rcoonhp589g, 3ljxfq84ubqzlooixppmpfdd6, 39t59x9q2xumbn2hphk7urp7u, caeg1a6mrwrgknibgyjq66jh0",5700506357,59,"24, 3, 14, 21, 5, 23, 17, 10, 77, 22, 20, 1, 7, 11, 18, 19, 25, 27, 33, 80",5700506359,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809924713,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-05-04T00:24:59.310Z,2025-05-04T07:27:34Z,,,,,5700506757,59,"1, 2, 34, 17, 51, 6, 8, 10, 9, 7, 29, 13, 15, 19, 22, 35, 38, 88, 91",5700506759,130,4,5700506753,30,"7y56spdjsagw833hgo5ranvf9, 9xjixcn3jhf7m75dl49u0qe7e, 3csngjh4kjgpkfayppiwfbw2c, 39jhew6iao7uriko5shx2tnje, e23yyl43xtcve09dx234uuj8, 74rnjizxzn5a0oag6sue0ja7e, 6ahu72g0u39bxbjiz7ggefai1, 74bhj4xi5zgq6evsr4c766p04, c0of0cn2tec0yn2vtwdqgxxpl, 6dpxvfpnaua6y4gevop02qc8a, 6naqq6f6acfec3zh2msuxrmqd, cdaayu6d9xzn4gyn5jg5p6vl6, cxm5xmc7zajd0j1zirav6q2qy, 2lpjr3oys0s0u2pnhut8epqwa, 6m158yzashjy4y3dcbresua22, 70zee6haaisqkez4xxnaa7klw, dt8nthxqalx3bhz723zdty39w, bb524gi3hf6soharvgp7bumtw, 4x3md4d2zvyvxlhtqp0ocvmqx",5700506755,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5700506761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5700648431,194,74rnjizxzn5a0oag6sue0ja7e,5700506765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700506763,197,24964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809949887,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-04T01:07:34.817Z,2025-05-04T07:10:37Z,,,,,5700654525,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809949875,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-05-04T01:07:34.817Z,2025-05-04T01:07:35Z,,,,,5700654465,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809949913,3,1,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,49.9,50.0,2025-05-04T01:07:35.149Z,2025-05-04T02:08:42Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5700654697,140,26.6,5700654699,141,57.2,5700654705,279,S,5700654695,56,Back,5700654703,213,2.94,5700654701,212,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809949915,4,1,1,0,2,2iwybwokic7nmr1t33abdbjoq,0,26.9,56.0,2025-05-04T01:07:37.506Z,2025-05-04T02:08:52Z,74rnjizxzn5a0oag6sue0ja7e,C. Sainté,,,5700654709,157,,5700654729,1,,5700654721,212,2.5,5700654711,56,Back,5700654713,140,29.3,5700654717,141,56.4,5700654725,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809949949,3,61,1,0,7,ak0rmms5xl49w57i2rvid1tk9,1,63.8,42.2,2025-05-04T01:07:42.110Z,2025-05-04T02:01:26Z,6eqvj5hboqw5c21ofhsgo4p9l,M. Micaletto,,,5700654873,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950133,4,5,1,0,8,ak0rmms5xl49w57i2rvid1tk9,0,74.2,101.6,2025-05-04T01:07:42.818Z,2025-05-04T03:36:01Z,rtca480n5ehey5ffvt8nudck,H. Endeley,,,5700655849,347,,5700655847,56,Left,5701053185,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950091,5,5,1,0,8,2iwybwokic7nmr1t33abdbjoq,1,25.8,-1.6,2025-05-04T01:07:42.818Z,2025-05-04T03:29:35Z,74rnjizxzn5a0oag6sue0ja7e,C. Sainté,,,5700655643,347,,5700655641,56,Back,5701053171,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950125,6,1,1,0,18,2iwybwokic7nmr1t33abdbjoq,1,34.0,0.0,2025-05-04T01:07:53.425Z,2025-05-04T07:21:35Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5700655823,1,,5700655811,107,,5700655815,140,52.7,5700655821,213,0.45,5700655813,56,Right,5700655819,212,21.9,5700655817,141,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950141,7,44,1,0,19,2iwybwokic7nmr1t33abdbjoq,1,54.4,11.7,2025-05-04T01:07:54.600Z,2025-05-04T08:52:48Z,c0of0cn2tec0yn2vtwdqgxxpl,I. Sacko,,,5700656009,233,5,5700655875,286,,5700655873,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950157,5,44,1,0,19,ak0rmms5xl49w57i2rvid1tk9,0,45.6,88.3,2025-05-04T01:07:54.601Z,2025-05-04T07:21:53Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5700655991,233,7,5700655961,56,Back,5700655963,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810073681,731,1,1,0,19,2iwybwokic7nmr1t33abdbjoq,0,53.4,12.1,2025-05-04T01:07:54.764Z,2025-05-04T07:21:50Z,c0of0cn2tec0yn2vtwdqgxxpl,I. Sacko,,,5701306581,168,,5701306591,213,0.43,5701306583,56,Right,5701306589,212,2.8,5701306587,141,13.8,5701306579,3,,5701306585,140,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950209,6,61,1,0,19,ak0rmms5xl49w57i2rvid1tk9,1,43.6,89.0,2025-05-04T01:07:54.794Z,2025-05-04T07:21:59Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5700656273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950217,7,1,1,0,24,ak0rmms5xl49w57i2rvid1tk9,1,39.6,76.1,2025-05-04T01:07:59.210Z,2025-05-04T01:08:02Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5700656303,157,,5700656309,141,80.6,5700656307,140,69.7,5700656321,1,,5700656313,212,31.8,5700656317,213,0.10,5700656305,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950241,8,1,1,0,26,ak0rmms5xl49w57i2rvid1tk9,0,70.0,81.1,2025-05-04T01:08:01.739Z,2025-05-04T07:22:16Z,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,,,5700656429,140,75.3,5700656427,56,Center,5700656435,213,5.04,5700656431,141,56.7,5700656433,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950283,8,1,1,0,29,2iwybwokic7nmr1t33abdbjoq,1,20.9,56.4,2025-05-04T01:08:04.377Z,2025-05-04T07:22:35Z,3csngjh4kjgpkfayppiwfbw2c,B. Montgomery,,,5700656729,140,25.5,5700656727,56,Back,5700656735,213,5.44,5700656731,141,48.5,5700656733,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950349,10,1,1,0,31,2iwybwokic7nmr1t33abdbjoq,1,29.4,53.7,2025-05-04T01:08:06.521Z,2025-05-04T01:08:10Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5700657029,140,34.1,5700657035,213,1.37,5700657025,56,Back,5700657031,141,89.4,5700657033,212,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950387,11,1,1,0,35,2iwybwokic7nmr1t33abdbjoq,1,33.1,89.9,2025-05-04T01:08:10.065Z,2025-05-04T01:08:12Z,6naqq6f6acfec3zh2msuxrmqd,D. Formella,,,5700657185,56,Back,5700657193,213,3.37,5700657191,212,14.2,5700657187,140,19.9,5700657189,141,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950439,12,1,1,0,37,2iwybwokic7nmr1t33abdbjoq,1,14.2,83.9,2025-05-04T01:08:12.569Z,2025-05-04T01:08:15Z,3csngjh4kjgpkfayppiwfbw2c,B. Montgomery,,,5700657467,141,67.2,5700657465,140,9.6,5700657473,212,12.3,5700657479,213,4.31,5700657461,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950485,13,1,1,0,40,2iwybwokic7nmr1t33abdbjoq,1,10.8,65.1,2025-05-04T01:08:15.138Z,2025-05-04T01:08:19Z,74rnjizxzn5a0oag6sue0ja7e,C. Sainté,,,5700657789,157,,5700657801,1,,5700657793,140,40.4,5700657797,212,51.7,5700657799,213,5.36,5700657795,141,4.4,5700657791,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950497,14,1,1,0,44,2iwybwokic7nmr1t33abdbjoq,0,40.4,4.4,2025-05-04T01:08:19.281Z,2025-05-04T01:08:20Z,6dpxvfpnaua6y4gevop02qc8a,J. Margaritha,,,5700657833,212,10.4,5700657831,141,7.4,5700657897,156,,5700657827,56,Back,5700657829,140,30.7,5700657835,213,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950577,10,1,1,0,47,ak0rmms5xl49w57i2rvid1tk9,1,66.0,90.9,2025-05-04T01:08:22.682Z,2025-05-04T01:09:08Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5700658197,212,21.4,5700658185,56,Back,5700658195,141,81.1,5700658191,140,46.6,5700658201,213,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
